code_point	symbol	block	block_name	name	tab_completion	latex_code
02B0	"""ʰ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter small h		
02B1	"""ʱ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter small h with hook		
02B2	"""ʲ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter small j		
02B3	"""ʳ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter small r		
02B4	"""ʴ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter small turned r		
02B5	"""ʵ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter small turned r with hook		
02B6	"""ʶ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter small capital inverted r		
02B7	"""ʷ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter small w		
02B8	"""ʸ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter small y		
02B9	"""ʹ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter prime		
02BA	"""ʺ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter double prime		
02BB	"""ʻ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter turned comma		
02BC	"""ʼ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter apostrophe		
02BD	"""ʽ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter reversed comma		
02BE	"""ʾ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter right half ring		
02BF	"""ʿ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter left half ring		
02C0	"""ˀ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter glottal stop		
02C1	"""ˁ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter reversed glottal stop		
02C2	"""˂"""	02B0..02FF	Spacing Modifier Letters	Modifier letter left arrowhead		
02C3	"""˃"""	02B0..02FF	Spacing Modifier Letters	Modifier letter right arrowhead		
02C4	"""˄"""	02B0..02FF	Spacing Modifier Letters	Modifier letter up arrowhead		
02C5	"""˅"""	02B0..02FF	Spacing Modifier Letters	Modifier letter down arrowhead		
02C6	"""ˆ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter circumflex accent		
02C7	"""ˇ"""	02B0..02FF	Spacing Modifier Letters	Caron		
02C8	"""ˈ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter vertical line		
02C9	"""ˉ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter macron		
02CA	"""ˊ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter acute accent		
02CB	"""ˋ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter grave accent		
02CC	"""ˌ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter low vertical line		
02CD	"""ˍ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter low macron		
02CE	"""ˎ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter low grave accent		
02CF	"""ˏ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter low acute accent		
02D0	"""ː"""	02B0..02FF	Spacing Modifier Letters	Modifier letter triangular colon		
02D1	"""ˑ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter half triangular colon		
02D2	"""˒"""	02B0..02FF	Spacing Modifier Letters	Modifier letter centred right half ring		
02D3	"""˓"""	02B0..02FF	Spacing Modifier Letters	Modifier letter centred left half ring		
02D4	"""˔"""	02B0..02FF	Spacing Modifier Letters	Modifier letter up tack		
02D5	"""˕"""	02B0..02FF	Spacing Modifier Letters	Modifier letter down tack		
02D6	"""˖"""	02B0..02FF	Spacing Modifier Letters	Modifier letter plus sign		
02D7	"""˗"""	02B0..02FF	Spacing Modifier Letters	Modifier letter minus sign		
02D8	"""˘"""	02B0..02FF	Spacing Modifier Letters	Breve		
02D9	"""˙"""	02B0..02FF	Spacing Modifier Letters	Dot above		
02DA	"""˚"""	02B0..02FF	Spacing Modifier Letters	Ring above		
02DB	"""˛"""	02B0..02FF	Spacing Modifier Letters	Ogonek		
02DC	"""˜"""	02B0..02FF	Spacing Modifier Letters	Small tilde		
02DD	"""˝"""	02B0..02FF	Spacing Modifier Letters	Double acute accent		
02DE	"""˞"""	02B0..02FF	Spacing Modifier Letters	Modifier letter rhotic hook		
02DF	"""˟"""	02B0..02FF	Spacing Modifier Letters	Modifier letter cross accent		
02E0	"""ˠ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter small gamma		
02E1	"""ˡ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter small l		
02E2	"""ˢ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter small s		
02E3	"""ˣ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter small x		
02E4	"""ˤ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter small reversed glottal stop		
02E5	"""˥"""	02B0..02FF	Spacing Modifier Letters	Modifier letter extra-high tone bar		
02E6	"""˦"""	02B0..02FF	Spacing Modifier Letters	Modifier letter high tone bar		
02E7	"""˧"""	02B0..02FF	Spacing Modifier Letters	Modifier letter mid tone bar		
02E8	"""˨"""	02B0..02FF	Spacing Modifier Letters	Modifier letter low tone bar		
02E9	"""˩"""	02B0..02FF	Spacing Modifier Letters	Modifier letter extra-low tone bar		
02EA	"""˪"""	02B0..02FF	Spacing Modifier Letters	Modifier letter yin departing tone mark		
02EB	"""˫"""	02B0..02FF	Spacing Modifier Letters	Modifier letter yang departing tone mark		
02EC	"""ˬ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter voicing		
02ED	"""˭"""	02B0..02FF	Spacing Modifier Letters	Modifier letter unaspirated		
02EE	"""ˮ"""	02B0..02FF	Spacing Modifier Letters	Modifier letter double apostrophe		
02EF	"""˯"""	02B0..02FF	Spacing Modifier Letters	Modifier letter low down arrowhead		
02F0	"""˰"""	02B0..02FF	Spacing Modifier Letters	Modifier letter low up arrowhead		
02F1	"""˱"""	02B0..02FF	Spacing Modifier Letters	Modifier letter low left arrowhead		
02F2	"""˲"""	02B0..02FF	Spacing Modifier Letters	Modifier letter low right arrowhead		
02F3	"""˳"""	02B0..02FF	Spacing Modifier Letters	Modifier letter low ring		
02F4	"""˴"""	02B0..02FF	Spacing Modifier Letters	Modifier letter middle grave accent		
02F5	"""˵"""	02B0..02FF	Spacing Modifier Letters	Modifier letter middle double grave accent		
02F6	"""˶"""	02B0..02FF	Spacing Modifier Letters	Modifier letter middle double acute accent		
02F7	"""˷"""	02B0..02FF	Spacing Modifier Letters	Modifier letter low tilde		
02F8	"""˸"""	02B0..02FF	Spacing Modifier Letters	Modifier letter raised colon		
02F9	"""˹"""	02B0..02FF	Spacing Modifier Letters	Modifier letter begin high tone		
02FA	"""˺"""	02B0..02FF	Spacing Modifier Letters	Modifier letter end high tone		
02FB	"""˻"""	02B0..02FF	Spacing Modifier Letters	Modifier letter begin low tone		
02FC	"""˼"""	02B0..02FF	Spacing Modifier Letters	Modifier letter end low tone		
02FD	"""˽"""	02B0..02FF	Spacing Modifier Letters	Modifier letter shelf		
02FE	"""˾"""	02B0..02FF	Spacing Modifier Letters	Modifier letter open shelf		
02FF	"""˿"""	02B0..02FF	Spacing Modifier Letters	Modifier letter low left arrow		
