code_point	symbol	block	block_name	name	tab_completion	latex_code
0600	"""؀"""	0600..06FF	Arabic	Arabic number sign		
0601	"""؁"""	0600..06FF	Arabic	Arabic sign sanah		
0602	"""؂"""	0600..06FF	Arabic	Arabic footnote marker		
0603	"""؃"""	0600..06FF	Arabic	Arabic sign safha		
0604	"""؄"""	0600..06FF	Arabic	Arabic sign samvat		
0605	"""؅"""	0600..06FF	Arabic	Arabic number mark above		
0606	"""؆"""	0600..06FF	Arabic	Arabic-indic cube root		
0607	"""؇"""	0600..06FF	Arabic	Arabic-indic fourth root		
0608	"""؈"""	0600..06FF	Arabic	Arabic ray		
0609	"""؉"""	0600..06FF	Arabic	Arabic-indic per mille sign		
060A	"""؊"""	0600..06FF	Arabic	Arabic-indic per ten thousand sign		
060B	"""؋"""	0600..06FF	Arabic	Afghani sign		
060C	"""،"""	0600..06FF	Arabic	Arabic comma		
060D	"""؍"""	0600..06FF	Arabic	Arabic date separator		
060E	"""؎"""	0600..06FF	Arabic	Arabic poetic verse sign		
060F	"""؏"""	0600..06FF	Arabic	Arabic sign misra		
0610	"""ؐ"""	0600..06FF	Arabic	Arabic sign sallallahou alayhe wassallam		
0611	"""ؑ"""	0600..06FF	Arabic	Arabic sign alayhe assallam		
0612	"""ؒ"""	0600..06FF	Arabic	Arabic sign rahmatullah alayhe		
0613	"""ؓ"""	0600..06FF	Arabic	Arabic sign radi allahou anhu		
0614	"""ؔ"""	0600..06FF	Arabic	Arabic sign takhallus		
0615	"""ؕ"""	0600..06FF	Arabic	Arabic small high tah		
0616	"""ؖ"""	0600..06FF	Arabic	Arabic small high ligature alef with lam with yeh		
0617	"""ؗ"""	0600..06FF	Arabic	Arabic small high zain		
0618	"""ؘ"""	0600..06FF	Arabic	Arabic small fatha		
0619	"""ؙ"""	0600..06FF	Arabic	Arabic small damma		
061A	"""ؚ"""	0600..06FF	Arabic	Arabic small kasra		
061B	"""؛"""	0600..06FF	Arabic	Arabic semicolon		
061C	"""؜"""	0600..06FF	Arabic	Arabic letter mark		
061D	"""؝"""	0600..06FF	Arabic	Arabic end of text mark		
061E	"""؞"""	0600..06FF	Arabic	Arabic triple dot punctuation mark		
061F	"""؟"""	0600..06FF	Arabic	Arabic question mark		
0620	"""ؠ"""	0600..06FF	Arabic	Arabic letter kashmiri yeh		
0621	"""ء"""	0600..06FF	Arabic	Arabic letter hamza		
0622	"""آ"""	0600..06FF	Arabic	Arabic letter alef with madda above		
0623	"""أ"""	0600..06FF	Arabic	Arabic letter alef with hamza above		
0624	"""ؤ"""	0600..06FF	Arabic	Arabic letter waw with hamza above		
0625	"""إ"""	0600..06FF	Arabic	Arabic letter alef with hamza below		
0626	"""ئ"""	0600..06FF	Arabic	Arabic letter yeh with hamza above		
0627	"""ا"""	0600..06FF	Arabic	Arabic letter alef		
0628	"""ب"""	0600..06FF	Arabic	Arabic letter beh		
0629	"""ة"""	0600..06FF	Arabic	Arabic letter teh marbuta		
062A	"""ت"""	0600..06FF	Arabic	Arabic letter teh		
062B	"""ث"""	0600..06FF	Arabic	Arabic letter theh		
062C	"""ج"""	0600..06FF	Arabic	Arabic letter jeem		
062D	"""ح"""	0600..06FF	Arabic	Arabic letter hah		
062E	"""خ"""	0600..06FF	Arabic	Arabic letter khah		
062F	"""د"""	0600..06FF	Arabic	Arabic letter dal		
0630	"""ذ"""	0600..06FF	Arabic	Arabic letter thal		
0631	"""ر"""	0600..06FF	Arabic	Arabic letter reh		
0632	"""ز"""	0600..06FF	Arabic	Arabic letter zain		
0633	"""س"""	0600..06FF	Arabic	Arabic letter seen		
0634	"""ش"""	0600..06FF	Arabic	Arabic letter sheen		
0635	"""ص"""	0600..06FF	Arabic	Arabic letter sad		
0636	"""ض"""	0600..06FF	Arabic	Arabic letter dad		
0637	"""ط"""	0600..06FF	Arabic	Arabic letter tah		
0638	"""ظ"""	0600..06FF	Arabic	Arabic letter zah		
0639	"""ع"""	0600..06FF	Arabic	Arabic letter ain		
063A	"""غ"""	0600..06FF	Arabic	Arabic letter ghain		
063B	"""ػ"""	0600..06FF	Arabic	Arabic letter keheh with two dots above		
063C	"""ؼ"""	0600..06FF	Arabic	Arabic letter keheh with three dots below		
063D	"""ؽ"""	0600..06FF	Arabic	Arabic letter farsi yeh with inverted v		
063E	"""ؾ"""	0600..06FF	Arabic	Arabic letter farsi yeh with two dots above		
063F	"""ؿ"""	0600..06FF	Arabic	Arabic letter farsi yeh with three dots above		
0640	"""ـ"""	0600..06FF	Arabic	Arabic tatweel		
0641	"""ف"""	0600..06FF	Arabic	Arabic letter feh		
0642	"""ق"""	0600..06FF	Arabic	Arabic letter qaf		
0643	"""ك"""	0600..06FF	Arabic	Arabic letter kaf		
0644	"""ل"""	0600..06FF	Arabic	Arabic letter lam		
0645	"""م"""	0600..06FF	Arabic	Arabic letter meem		
0646	"""ن"""	0600..06FF	Arabic	Arabic letter noon		
0647	"""ه"""	0600..06FF	Arabic	Arabic letter heh		
0648	"""و"""	0600..06FF	Arabic	Arabic letter waw		
0649	"""ى"""	0600..06FF	Arabic	Arabic letter alef maksura		
064A	"""ي"""	0600..06FF	Arabic	Arabic letter yeh		
064B	"""ً"""	0600..06FF	Arabic	Arabic fathatan		
064C	"""ٌ"""	0600..06FF	Arabic	Arabic dammatan		
064D	"""ٍ"""	0600..06FF	Arabic	Arabic kasratan		
064E	"""َ"""	0600..06FF	Arabic	Arabic fatha		
064F	"""ُ"""	0600..06FF	Arabic	Arabic damma		
0650	"""ِ"""	0600..06FF	Arabic	Arabic kasra		
0651	"""ّ"""	0600..06FF	Arabic	Arabic shadda		
0652	"""ْ"""	0600..06FF	Arabic	Arabic sukun		
0653	"""ٓ"""	0600..06FF	Arabic	Arabic maddah above		
0654	"""ٔ"""	0600..06FF	Arabic	Arabic hamza above		
0655	"""ٕ"""	0600..06FF	Arabic	Arabic hamza below		
0656	"""ٖ"""	0600..06FF	Arabic	Arabic subscript alef		
0657	"""ٗ"""	0600..06FF	Arabic	Arabic inverted damma		
0658	"""٘"""	0600..06FF	Arabic	Arabic mark noon ghunna		
0659	"""ٙ"""	0600..06FF	Arabic	Arabic zwarakay		
065A	"""ٚ"""	0600..06FF	Arabic	Arabic vowel sign small v above		
065B	"""ٛ"""	0600..06FF	Arabic	Arabic vowel sign inverted small v above		
065C	"""ٜ"""	0600..06FF	Arabic	Arabic vowel sign dot below		
065D	"""ٝ"""	0600..06FF	Arabic	Arabic reversed damma		
065E	"""ٞ"""	0600..06FF	Arabic	Arabic fatha with two dots		
065F	"""ٟ"""	0600..06FF	Arabic	Arabic wavy hamza below		
0660	"""٠"""	0600..06FF	Arabic	Arabic-indic digit zero		
0661	"""١"""	0600..06FF	Arabic	Arabic-indic digit one		
0662	"""٢"""	0600..06FF	Arabic	Arabic-indic digit two		
0663	"""٣"""	0600..06FF	Arabic	Arabic-indic digit three		
0664	"""٤"""	0600..06FF	Arabic	Arabic-indic digit four		
0665	"""٥"""	0600..06FF	Arabic	Arabic-indic digit five		
0666	"""٦"""	0600..06FF	Arabic	Arabic-indic digit six		
0667	"""٧"""	0600..06FF	Arabic	Arabic-indic digit seven		
0668	"""٨"""	0600..06FF	Arabic	Arabic-indic digit eight		
0669	"""٩"""	0600..06FF	Arabic	Arabic-indic digit nine		
066A	"""٪"""	0600..06FF	Arabic	Arabic percent sign		
066B	"""٫"""	0600..06FF	Arabic	Arabic decimal separator		
066C	"""٬"""	0600..06FF	Arabic	Arabic thousands separator		
