code_point	symbol	block	block_name	name	tab_completion	latex_code
08A0	"""ࢠ"""	08A0..08FF	Arabic Extended-A	Arabic letter beh with small v below		
08A1	"""ࢡ"""	08A0..08FF	Arabic Extended-A	Arabic letter beh with hamza above		
08A2	"""ࢢ"""	08A0..08FF	Arabic Extended-A	Arabic letter jeem with two dots above		
08A3	"""ࢣ"""	08A0..08FF	Arabic Extended-A	Arabic letter tah with two dots above		
08A4	"""ࢤ"""	08A0..08FF	Arabic Extended-A	Arabic letter feh with dot below and three dots above		
08A5	"""ࢥ"""	08A0..08FF	Arabic Extended-A	Arabic letter qaf with dot below		
08A6	"""ࢦ"""	08A0..08FF	Arabic Extended-A	Arabic letter lam with double bar		
08A7	"""ࢧ"""	08A0..08FF	Arabic Extended-A	Arabic letter meem with three dots above		
08A8	"""ࢨ"""	08A0..08FF	Arabic Extended-A	Arabic letter yeh with two dots below and hamza above		
08A9	"""ࢩ"""	08A0..08FF	Arabic Extended-A	Arabic letter yeh with two dots below and dot above		
08AA	"""ࢪ"""	08A0..08FF	Arabic Extended-A	Arabic letter reh with loop		
08AB	"""ࢫ"""	08A0..08FF	Arabic Extended-A	Arabic letter waw with dot within		
08AC	"""ࢬ"""	08A0..08FF	Arabic Extended-A	Arabic letter rohingya yeh		
08AD	"""ࢭ"""	08A0..08FF	Arabic Extended-A	Arabic letter low alef		
08AE	"""ࢮ"""	08A0..08FF	Arabic Extended-A	Arabic letter dal with three dots below		
08AF	"""ࢯ"""	08A0..08FF	Arabic Extended-A	Arabic letter sad with three dots below		
08B0	"""ࢰ"""	08A0..08FF	Arabic Extended-A	Arabic letter gaf with inverted stroke		
08B1	"""ࢱ"""	08A0..08FF	Arabic Extended-A	Arabic letter straight waw		
08B2	"""ࢲ"""	08A0..08FF	Arabic Extended-A	Arabic letter zain with inverted v above		
08B3	"""ࢳ"""	08A0..08FF	Arabic Extended-A	Arabic letter ain with three dots below		
08B4	"""ࢴ"""	08A0..08FF	Arabic Extended-A	Arabic letter kaf with dot below		
08B5	"""ࢵ"""	08A0..08FF	Arabic Extended-A	Arabic letter qaf with dot below and no dots above		
08B6	"""ࢶ"""	08A0..08FF	Arabic Extended-A	Arabic letter beh with small meem above		
08B7	"""ࢷ"""	08A0..08FF	Arabic Extended-A	Arabic letter peh with small meem above		
08B8	"""ࢸ"""	08A0..08FF	Arabic Extended-A	Arabic letter teh with small teh above		
08B9	"""ࢹ"""	08A0..08FF	Arabic Extended-A	Arabic letter reh with small noon above		
08BA	"""ࢺ"""	08A0..08FF	Arabic Extended-A	Arabic letter yeh with two dots below and small noon above		
08BB	"""ࢻ"""	08A0..08FF	Arabic Extended-A	Arabic letter african feh		
08BC	"""ࢼ"""	08A0..08FF	Arabic Extended-A	Arabic letter african qaf		
08BD	"""ࢽ"""	08A0..08FF	Arabic Extended-A	Arabic letter african noon		
08BE	"""ࢾ"""	08A0..08FF	Arabic Extended-A	Arabic letter peh with small v		
