code_point	symbol	block	block_name	name	tab_completion	latex_code
0980	"""ঀ"""	0980..09FF	Bengali	Bengali anji		
0981	"""ঁ"""	0980..09FF	Bengali	Bengali sign candrabindu		
0982	"""ং"""	0980..09FF	Bengali	Bengali sign anusvara		
0983	"""ঃ"""	0980..09FF	Bengali	Bengali sign visarga		
0985	"""অ"""	0980..09FF	Bengali	Bengali letter a		
0986	"""আ"""	0980..09FF	Bengali	Bengali letter aa		
0987	"""ই"""	0980..09FF	Bengali	Bengali letter i		
0988	"""ঈ"""	0980..09FF	Bengali	Bengali letter ii		
0989	"""উ"""	0980..09FF	Bengali	Bengali letter u		
098A	"""ঊ"""	0980..09FF	Bengali	Bengali letter uu		
098B	"""ঋ"""	0980..09FF	Bengali	Bengali letter vocalic r		
098C	"""ঌ"""	0980..09FF	Bengali	Bengali letter vocalic l		
098F	"""এ"""	0980..09FF	Bengali	Bengali letter e		
0990	"""ঐ"""	0980..09FF	Bengali	Bengali letter ai		
0993	"""ও"""	0980..09FF	Bengali	Bengali letter o		
0994	"""ঔ"""	0980..09FF	Bengali	Bengali letter au		
0995	"""ক"""	0980..09FF	Bengali	Bengali letter ka		
0996	"""খ"""	0980..09FF	Bengali	Bengali letter kha		
0997	"""গ"""	0980..09FF	Bengali	Bengali letter ga		
0998	"""ঘ"""	0980..09FF	Bengali	Bengali letter gha		
0999	"""ঙ"""	0980..09FF	Bengali	Bengali letter nga		
099A	"""চ"""	0980..09FF	Bengali	Bengali letter ca		
099B	"""ছ"""	0980..09FF	Bengali	Bengali letter cha		
099C	"""জ"""	0980..09FF	Bengali	Bengali letter ja		
099D	"""ঝ"""	0980..09FF	Bengali	Bengali letter jha		
099E	"""ঞ"""	0980..09FF	Bengali	Bengali letter nya		
099F	"""ট"""	0980..09FF	Bengali	Bengali letter tta		
09A0	"""ঠ"""	0980..09FF	Bengali	Bengali letter ttha		
09A1	"""ড"""	0980..09FF	Bengali	Bengali letter dda		
09A2	"""ঢ"""	0980..09FF	Bengali	Bengali letter ddha		
09A3	"""ণ"""	0980..09FF	Bengali	Bengali letter nna		
09A4	"""ত"""	0980..09FF	Bengali	Bengali letter ta		
09A5	"""থ"""	0980..09FF	Bengali	Bengali letter tha		
09A6	"""দ"""	0980..09FF	Bengali	Bengali letter da		
09A7	"""ধ"""	0980..09FF	Bengali	Bengali letter dha		
09A8	"""ন"""	0980..09FF	Bengali	Bengali letter na		
09AA	"""প"""	0980..09FF	Bengali	Bengali letter pa		
09AB	"""ফ"""	0980..09FF	Bengali	Bengali letter pha		
09AC	"""ব"""	0980..09FF	Bengali	Bengali letter ba		
09AD	"""ভ"""	0980..09FF	Bengali	Bengali letter bha		
09AE	"""ম"""	0980..09FF	Bengali	Bengali letter ma		
09AF	"""য"""	0980..09FF	Bengali	Bengali letter ya		
09B0	"""র"""	0980..09FF	Bengali	Bengali letter ra		
09B2	"""ল"""	0980..09FF	Bengali	Bengali letter la		
09B6	"""শ"""	0980..09FF	Bengali	Bengali letter sha		
09B7	"""ষ"""	0980..09FF	Bengali	Bengali letter ssa		
09B8	"""স"""	0980..09FF	Bengali	Bengali letter sa		
