code_point	symbol	block	block_name	name	tab_completion	latex_code
1400	"""᐀"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics hyphen		
1401	"""ᐁ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics e		
1402	"""ᐂ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics aai		
1403	"""ᐃ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics i		
1404	"""ᐄ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics ii		
1405	"""ᐅ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics o		
1406	"""ᐆ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics oo		
1407	"""ᐇ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics y-cree oo		
1408	"""ᐈ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics carrier ee		
1409	"""ᐉ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics carrier i		
140A	"""ᐊ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics a		
140B	"""ᐋ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics aa		
140C	"""ᐌ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics we		
140D	"""ᐍ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics west-cree we		
140E	"""ᐎ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics wi		
140F	"""ᐏ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics west-cree wi		
1410	"""ᐐ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics wii		
1411	"""ᐑ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics west-cree wii		
1412	"""ᐒ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics wo		
1413	"""ᐓ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics west-cree wo		
1414	"""ᐔ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics woo		
1415	"""ᐕ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics west-cree woo		
1416	"""ᐖ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics naskapi woo		
1417	"""ᐗ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics wa		
1418	"""ᐘ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics west-cree wa		
1419	"""ᐙ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics waa		
141A	"""ᐚ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics west-cree waa		
141B	"""ᐛ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics naskapi waa		
141C	"""ᐜ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics ai		
141D	"""ᐝ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics y-cree w		
141E	"""ᐞ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics glottal stop		
141F	"""ᐟ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics final acute		
1420	"""ᐠ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics final grave		
1421	"""ᐡ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics final bottom half ring		
1422	"""ᐢ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics final top half ring		
1423	"""ᐣ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics final right half ring		
1424	"""ᐤ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics final ring		
1425	"""ᐥ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics final double acute		
1426	"""ᐦ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics final double short vertical strokes		
1427	"""ᐧ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics final middle dot		
1428	"""ᐨ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics final short horizontal stroke		
1429	"""ᐩ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics final plus		
142A	"""ᐪ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics final down tack		
142B	"""ᐫ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics en		
142C	"""ᐬ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics in		
142D	"""ᐭ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics on		
142E	"""ᐮ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics an		
142F	"""ᐯ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics pe		
1430	"""ᐰ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics paai		
1431	"""ᐱ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics pi		
1432	"""ᐲ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics pii		
1433	"""ᐳ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics po		
1434	"""ᐴ"""	1400..167F	Unified Canadian Aboriginal Syllabics	Canadian syllabics poo		
