code_point	symbol	block	block_name	name	tab_completion	latex_code
1680	""" """	1680..169F	Ogham	Ogham space mark		
1681	"""ᚁ"""	1680..169F	Ogham	Ogham letter beith		
1682	"""ᚂ"""	1680..169F	Ogham	Ogham letter luis		
1683	"""ᚃ"""	1680..169F	Ogham	Ogham letter fearn		
1684	"""ᚄ"""	1680..169F	Ogham	Ogham letter sail		
1685	"""ᚅ"""	1680..169F	Ogham	Ogham letter nion		
1686	"""ᚆ"""	1680..169F	Ogham	Ogham letter uath		
1687	"""ᚇ"""	1680..169F	Ogham	Ogham letter dair		
1688	"""ᚈ"""	1680..169F	Ogham	Ogham letter tinne		
1689	"""ᚉ"""	1680..169F	Ogham	Ogham letter coll		
168A	"""ᚊ"""	1680..169F	Ogham	Ogham letter ceirt		
168B	"""ᚋ"""	1680..169F	Ogham	Ogham letter muin		
168C	"""ᚌ"""	1680..169F	Ogham	Ogham letter gort		
168D	"""ᚍ"""	1680..169F	Ogham	Ogham letter ngeadal		
168E	"""ᚎ"""	1680..169F	Ogham	Ogham letter straif		
168F	"""ᚏ"""	1680..169F	Ogham	Ogham letter ruis		
1690	"""ᚐ"""	1680..169F	Ogham	Ogham letter ailm		
1691	"""ᚑ"""	1680..169F	Ogham	Ogham letter onn		
1692	"""ᚒ"""	1680..169F	Ogham	Ogham letter ur		
1693	"""ᚓ"""	1680..169F	Ogham	Ogham letter eadhadh		
1694	"""ᚔ"""	1680..169F	Ogham	Ogham letter iodhadh		
1695	"""ᚕ"""	1680..169F	Ogham	Ogham letter eabhadh		
1696	"""ᚖ"""	1680..169F	Ogham	Ogham letter or		
1697	"""ᚗ"""	1680..169F	Ogham	Ogham letter uilleann		
1698	"""ᚘ"""	1680..169F	Ogham	Ogham letter ifin		
1699	"""ᚙ"""	1680..169F	Ogham	Ogham letter eamhancholl		
169A	"""ᚚ"""	1680..169F	Ogham	Ogham letter peith		
169B	"""᚛"""	1680..169F	Ogham	Ogham feather mark		
169C	"""᚜"""	1680..169F	Ogham	Ogham reversed feather mark		
