code_point	symbol	block	block_name	name	tab_completion	latex_code
1720	"""ᜠ"""	1720..173F	Hanunoo	Hanunoo letter a		
1721	"""ᜡ"""	1720..173F	Hanunoo	Hanunoo letter i		
1722	"""ᜢ"""	1720..173F	Hanunoo	Hanunoo letter u		
1723	"""ᜣ"""	1720..173F	Hanunoo	Hanunoo letter ka		
1724	"""ᜤ"""	1720..173F	Hanunoo	Hanunoo letter ga		
1725	"""ᜥ"""	1720..173F	Hanunoo	Hanunoo letter nga		
1726	"""ᜦ"""	1720..173F	Hanunoo	Hanunoo letter ta		
1727	"""ᜧ"""	1720..173F	Hanunoo	Hanunoo letter da		
1728	"""ᜨ"""	1720..173F	Hanunoo	Hanunoo letter na		
1729	"""ᜩ"""	1720..173F	Hanunoo	Hanunoo letter pa		
172A	"""ᜪ"""	1720..173F	Hanunoo	Hanunoo letter ba		
172B	"""ᜫ"""	1720..173F	Hanunoo	Hanunoo letter ma		
172C	"""ᜬ"""	1720..173F	Hanunoo	Hanunoo letter ya		
172D	"""ᜭ"""	1720..173F	Hanunoo	Hanunoo letter ra		
172E	"""ᜮ"""	1720..173F	Hanunoo	Hanunoo letter la		
172F	"""ᜯ"""	1720..173F	Hanunoo	Hanunoo letter wa		
1730	"""ᜰ"""	1720..173F	Hanunoo	Hanunoo letter sa		
1731	"""ᜱ"""	1720..173F	Hanunoo	Hanunoo letter ha		
1732	"""ᜲ"""	1720..173F	Hanunoo	Hanunoo vowel sign i		
1733	"""ᜳ"""	1720..173F	Hanunoo	Hanunoo vowel sign u		
1734	"""᜴"""	1720..173F	Hanunoo	Hanunoo sign pamudpod		
1735	"""᜵"""	1720..173F	Hanunoo	Philippine single punctuation		
1736	"""᜶"""	1720..173F	Hanunoo	Philippine double punctuation		
