code_point	symbol	block	block_name	name	tab_completion	latex_code
18B0	"""ᢰ"""	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics oy		
18B1	"""ᢱ"""	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics ay		
18B2	"""ᢲ"""	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics aay		
18B3	"""ᢳ"""	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics way		
18B4	"""ᢴ"""	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics poy		
18B5	"""ᢵ"""	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics pay		
18B6	"""ᢶ"""	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics pwoy		
18B7	"""ᢷ"""	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics tay		
18B8	"""ᢸ"""	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics kay		
18B9	"""ᢹ"""	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics kway		
18BA	"""ᢺ"""	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics may		
18BB	"""ᢻ"""	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics noy		
18BC	"""ᢼ"""	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics nay		
18BD	"""ᢽ"""	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics lay		
18BE	"""ᢾ"""	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics soy		
18BF	"""ᢿ"""	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics say		
18C0	"""ᣀ"""	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics shoy		
18C1	"""ᣁ"""	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics shay		
18C2	"""ᣂ"""	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics shwoy		
18C3	"""ᣃ"""	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics yoy		
18C4	"""ᣄ"""	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics yay		
18C5	"""ᣅ"""	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics ray		
18C6	"""ᣆ"""	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics nwi		
18C7	"""ᣇ"""	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics ojibway nwi		
18C8	"""ᣈ"""	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics nwii		
