code_point	symbol	block	block_name	name	tab_completion	latex_code
1900	"""ᤀ"""	1900..194F	Limbu	Limbu vowel-carrier letter		
1901	"""ᤁ"""	1900..194F	Limbu	Limbu letter ka		
1902	"""ᤂ"""	1900..194F	Limbu	Limbu letter kha		
1903	"""ᤃ"""	1900..194F	Limbu	Limbu letter ga		
1904	"""ᤄ"""	1900..194F	Limbu	Limbu letter gha		
1905	"""ᤅ"""	1900..194F	Limbu	Limbu letter nga		
1906	"""ᤆ"""	1900..194F	Limbu	Limbu letter ca		
1907	"""ᤇ"""	1900..194F	Limbu	Limbu letter cha		
1908	"""ᤈ"""	1900..194F	Limbu	Limbu letter ja		
1909	"""ᤉ"""	1900..194F	Limbu	Limbu letter jha		
190A	"""ᤊ"""	1900..194F	Limbu	Limbu letter yan		
190B	"""ᤋ"""	1900..194F	Limbu	Limbu letter ta		
190C	"""ᤌ"""	1900..194F	Limbu	Limbu letter tha		
190D	"""ᤍ"""	1900..194F	Limbu	Limbu letter da		
190E	"""ᤎ"""	1900..194F	Limbu	Limbu letter dha		
190F	"""ᤏ"""	1900..194F	Limbu	Limbu letter na		
1910	"""ᤐ"""	1900..194F	Limbu	Limbu letter pa		
1911	"""ᤑ"""	1900..194F	Limbu	Limbu letter pha		
1912	"""ᤒ"""	1900..194F	Limbu	Limbu letter ba		
1913	"""ᤓ"""	1900..194F	Limbu	Limbu letter bha		
1914	"""ᤔ"""	1900..194F	Limbu	Limbu letter ma		
1915	"""ᤕ"""	1900..194F	Limbu	Limbu letter ya		
1916	"""ᤖ"""	1900..194F	Limbu	Limbu letter ra		
1917	"""ᤗ"""	1900..194F	Limbu	Limbu letter la		
1918	"""ᤘ"""	1900..194F	Limbu	Limbu letter wa		
1919	"""ᤙ"""	1900..194F	Limbu	Limbu letter sha		
191A	"""ᤚ"""	1900..194F	Limbu	Limbu letter ssa		
191B	"""ᤛ"""	1900..194F	Limbu	Limbu letter sa		
191C	"""ᤜ"""	1900..194F	Limbu	Limbu letter ha		
191D	"""ᤝ"""	1900..194F	Limbu	Limbu letter gyan		
191E	"""ᤞ"""	1900..194F	Limbu	Limbu letter tra		
1920	"""ᤠ"""	1900..194F	Limbu	Limbu vowel sign a		
1921	"""ᤡ"""	1900..194F	Limbu	Limbu vowel sign i		
1922	"""ᤢ"""	1900..194F	Limbu	Limbu vowel sign u		
1923	"""ᤣ"""	1900..194F	Limbu	Limbu vowel sign ee		
1924	"""ᤤ"""	1900..194F	Limbu	Limbu vowel sign ai		
1925	"""ᤥ"""	1900..194F	Limbu	Limbu vowel sign oo		
1926	"""ᤦ"""	1900..194F	Limbu	Limbu vowel sign au		
1927	"""ᤧ"""	1900..194F	Limbu	Limbu vowel sign e		
1928	"""ᤨ"""	1900..194F	Limbu	Limbu vowel sign o		
1929	"""ᤩ"""	1900..194F	Limbu	Limbu subjoined letter ya		
192A	"""ᤪ"""	1900..194F	Limbu	Limbu subjoined letter ra		
192B	"""ᤫ"""	1900..194F	Limbu	Limbu subjoined letter wa		
1930	"""ᤰ"""	1900..194F	Limbu	Limbu small letter ka		
1931	"""ᤱ"""	1900..194F	Limbu	Limbu small letter nga		
1932	"""ᤲ"""	1900..194F	Limbu	Limbu small letter anusvara		
1933	"""ᤳ"""	1900..194F	Limbu	Limbu small letter ta		
1934	"""ᤴ"""	1900..194F	Limbu	Limbu small letter na		
1935	"""ᤵ"""	1900..194F	Limbu	Limbu small letter pa		
1936	"""ᤶ"""	1900..194F	Limbu	Limbu small letter ma		
1937	"""ᤷ"""	1900..194F	Limbu	Limbu small letter ra		
1938	"""ᤸ"""	1900..194F	Limbu	Limbu small letter la		
1939	"""᤹"""	1900..194F	Limbu	Limbu sign mukphreng		
193A	"""᤺"""	1900..194F	Limbu	Limbu sign kemphreng		
193B	"""᤻"""	1900..194F	Limbu	Limbu sign sa-i		
1940	"""᥀"""	1900..194F	Limbu	Limbu sign loo		
1944	"""᥄"""	1900..194F	Limbu	Limbu exclamation mark		
1945	"""᥅"""	1900..194F	Limbu	Limbu question mark		
1946	"""᥆"""	1900..194F	Limbu	Limbu digit zero		
1947	"""᥇"""	1900..194F	Limbu	Limbu digit one		
1948	"""᥈"""	1900..194F	Limbu	Limbu digit two		
1949	"""᥉"""	1900..194F	Limbu	Limbu digit three		
194A	"""᥊"""	1900..194F	Limbu	Limbu digit four		
194B	"""᥋"""	1900..194F	Limbu	Limbu digit five		
194C	"""᥌"""	1900..194F	Limbu	Limbu digit six		
194D	"""᥍"""	1900..194F	Limbu	Limbu digit seven		
194E	"""᥎"""	1900..194F	Limbu	Limbu digit eight		
194F	"""᥏"""	1900..194F	Limbu	Limbu digit nine		
