code_point	symbol	block	block_name	name	tab_completion	latex_code
1950	"""ᥐ"""	1950..197F	Tai Le	Tai le letter ka		
1951	"""ᥑ"""	1950..197F	Tai Le	Tai le letter xa		
1952	"""ᥒ"""	1950..197F	Tai Le	Tai le letter nga		
1953	"""ᥓ"""	1950..197F	Tai Le	Tai le letter tsa		
1954	"""ᥔ"""	1950..197F	Tai Le	Tai le letter sa		
1955	"""ᥕ"""	1950..197F	Tai Le	Tai le letter ya		
1956	"""ᥖ"""	1950..197F	Tai Le	Tai le letter ta		
1957	"""ᥗ"""	1950..197F	Tai Le	Tai le letter tha		
1958	"""ᥘ"""	1950..197F	Tai Le	Tai le letter la		
1959	"""ᥙ"""	1950..197F	Tai Le	Tai le letter pa		
195A	"""ᥚ"""	1950..197F	Tai Le	Tai le letter pha		
195B	"""ᥛ"""	1950..197F	Tai Le	Tai le letter ma		
195C	"""ᥜ"""	1950..197F	Tai Le	Tai le letter fa		
195D	"""ᥝ"""	1950..197F	Tai Le	Tai le letter va		
195E	"""ᥞ"""	1950..197F	Tai Le	Tai le letter ha		
195F	"""ᥟ"""	1950..197F	Tai Le	Tai le letter qa		
1960	"""ᥠ"""	1950..197F	Tai Le	Tai le letter kha		
1961	"""ᥡ"""	1950..197F	Tai Le	Tai le letter tsha		
1962	"""ᥢ"""	1950..197F	Tai Le	Tai le letter na		
1963	"""ᥣ"""	1950..197F	Tai Le	Tai le letter a		
1964	"""ᥤ"""	1950..197F	Tai Le	Tai le letter i		
1965	"""ᥥ"""	1950..197F	Tai Le	Tai le letter ee		
1966	"""ᥦ"""	1950..197F	Tai Le	Tai le letter eh		
1967	"""ᥧ"""	1950..197F	Tai Le	Tai le letter u		
1968	"""ᥨ"""	1950..197F	Tai Le	Tai le letter oo		
1969	"""ᥩ"""	1950..197F	Tai Le	Tai le letter o		
196A	"""ᥪ"""	1950..197F	Tai Le	Tai le letter ue		
196B	"""ᥫ"""	1950..197F	Tai Le	Tai le letter e		
196C	"""ᥬ"""	1950..197F	Tai Le	Tai le letter aue		
196D	"""ᥭ"""	1950..197F	Tai Le	Tai le letter ai		
1970	"""ᥰ"""	1950..197F	Tai Le	Tai le letter tone-2		
1971	"""ᥱ"""	1950..197F	Tai Le	Tai le letter tone-3		
1972	"""ᥲ"""	1950..197F	Tai Le	Tai le letter tone-4		
1973	"""ᥳ"""	1950..197F	Tai Le	Tai le letter tone-5		
1974	"""ᥴ"""	1950..197F	Tai Le	Tai le letter tone-6		
