code_point	symbol	block	block_name	name	tab_completion	latex_code
19E0	"""᧠"""	19E0..19FF	Khmer Symbols	Khmer symbol pathamasat		
19E1	"""᧡"""	19E0..19FF	Khmer Symbols	Khmer symbol muoy koet		
19E2	"""᧢"""	19E0..19FF	Khmer Symbols	Khmer symbol pii koet		
19E3	"""᧣"""	19E0..19FF	Khmer Symbols	Khmer symbol bei koet		
19E4	"""᧤"""	19E0..19FF	Khmer Symbols	Khmer symbol buon koet		
19E5	"""᧥"""	19E0..19FF	Khmer Symbols	Khmer symbol pram koet		
19E6	"""᧦"""	19E0..19FF	Khmer Symbols	Khmer symbol pram-muoy koet		
19E7	"""᧧"""	19E0..19FF	Khmer Symbols	Khmer symbol pram-pii koet		
19E8	"""᧨"""	19E0..19FF	Khmer Symbols	Khmer symbol pram-bei koet		
19E9	"""᧩"""	19E0..19FF	Khmer Symbols	Khmer symbol pram-buon koet		
19EA	"""᧪"""	19E0..19FF	Khmer Symbols	Khmer symbol dap koet		
19EB	"""᧫"""	19E0..19FF	Khmer Symbols	Khmer symbol dap-muoy koet		
19EC	"""᧬"""	19E0..19FF	Khmer Symbols	Khmer symbol dap-pii koet		
19ED	"""᧭"""	19E0..19FF	Khmer Symbols	Khmer symbol dap-bei koet		
19EE	"""᧮"""	19E0..19FF	Khmer Symbols	Khmer symbol dap-buon koet		
19EF	"""᧯"""	19E0..19FF	Khmer Symbols	Khmer symbol dap-pram koet		
19F0	"""᧰"""	19E0..19FF	Khmer Symbols	Khmer symbol tuteyasat		
19F1	"""᧱"""	19E0..19FF	Khmer Symbols	Khmer symbol muoy roc		
19F2	"""᧲"""	19E0..19FF	Khmer Symbols	Khmer symbol pii roc		
19F3	"""᧳"""	19E0..19FF	Khmer Symbols	Khmer symbol bei roc		
19F4	"""᧴"""	19E0..19FF	Khmer Symbols	Khmer symbol buon roc		
19F5	"""᧵"""	19E0..19FF	Khmer Symbols	Khmer symbol pram roc		
19F6	"""᧶"""	19E0..19FF	Khmer Symbols	Khmer symbol pram-muoy roc		
19F7	"""᧷"""	19E0..19FF	Khmer Symbols	Khmer symbol pram-pii roc		
19F8	"""᧸"""	19E0..19FF	Khmer Symbols	Khmer symbol pram-bei roc		
19F9	"""᧹"""	19E0..19FF	Khmer Symbols	Khmer symbol pram-buon roc		
19FA	"""᧺"""	19E0..19FF	Khmer Symbols	Khmer symbol dap roc		
19FB	"""᧻"""	19E0..19FF	Khmer Symbols	Khmer symbol dap-muoy roc		
19FC	"""᧼"""	19E0..19FF	Khmer Symbols	Khmer symbol dap-pii roc		
19FD	"""᧽"""	19E0..19FF	Khmer Symbols	Khmer symbol dap-bei roc		
19FE	"""᧾"""	19E0..19FF	Khmer Symbols	Khmer symbol dap-buon roc		
19FF	"""᧿"""	19E0..19FF	Khmer Symbols	Khmer symbol dap-pram roc		
