code_point	symbol	block	block_name	name	tab_completion	latex_code
1D80	"""ᶀ"""	1D80..1DBF	Phonetic Extensions Supplement	Latin small letter b with palatal hook		
1D81	"""ᶁ"""	1D80..1DBF	Phonetic Extensions Supplement	Latin small letter d with palatal hook		
1D82	"""ᶂ"""	1D80..1DBF	Phonetic Extensions Supplement	Latin small letter f with palatal hook		
1D83	"""ᶃ"""	1D80..1DBF	Phonetic Extensions Supplement	Latin small letter g with palatal hook		
1D84	"""ᶄ"""	1D80..1DBF	Phonetic Extensions Supplement	Latin small letter k with palatal hook		
1D85	"""ᶅ"""	1D80..1DBF	Phonetic Extensions Supplement	Latin small letter l with palatal hook		
1D86	"""ᶆ"""	1D80..1DBF	Phonetic Extensions Supplement	Latin small letter m with palatal hook		
1D87	"""ᶇ"""	1D80..1DBF	Phonetic Extensions Supplement	Latin small letter n with palatal hook		
1D88	"""ᶈ"""	1D80..1DBF	Phonetic Extensions Supplement	Latin small letter p with palatal hook		
1D89	"""ᶉ"""	1D80..1DBF	Phonetic Extensions Supplement	Latin small letter r with palatal hook		
1D8A	"""ᶊ"""	1D80..1DBF	Phonetic Extensions Supplement	Latin small letter s with palatal hook		
1D8B	"""ᶋ"""	1D80..1DBF	Phonetic Extensions Supplement	Latin small letter esh with palatal hook		
1D8C	"""ᶌ"""	1D80..1DBF	Phonetic Extensions Supplement	Latin small letter v with palatal hook		
1D8D	"""ᶍ"""	1D80..1DBF	Phonetic Extensions Supplement	Latin small letter x with palatal hook		
1D8E	"""ᶎ"""	1D80..1DBF	Phonetic Extensions Supplement	Latin small letter z with palatal hook		
1D8F	"""ᶏ"""	1D80..1DBF	Phonetic Extensions Supplement	Latin small letter a with retroflex hook		
1D90	"""ᶐ"""	1D80..1DBF	Phonetic Extensions Supplement	Latin small letter alpha with retroflex hook		
1D91	"""ᶑ"""	1D80..1DBF	Phonetic Extensions Supplement	Latin small letter d with hook and tail		
1D92	"""ᶒ"""	1D80..1DBF	Phonetic Extensions Supplement	Latin small letter e with retroflex hook		
1D93	"""ᶓ"""	1D80..1DBF	Phonetic Extensions Supplement	Latin small letter open e with retroflex hook		
1D94	"""ᶔ"""	1D80..1DBF	Phonetic Extensions Supplement	Latin small letter reversed open e with retroflex hook		
1D95	"""ᶕ"""	1D80..1DBF	Phonetic Extensions Supplement	Latin small letter schwa with retroflex hook		
1D96	"""ᶖ"""	1D80..1DBF	Phonetic Extensions Supplement	Latin small letter i with retroflex hook		
1D97	"""ᶗ"""	1D80..1DBF	Phonetic Extensions Supplement	Latin small letter open o with retroflex hook		
1D98	"""ᶘ"""	1D80..1DBF	Phonetic Extensions Supplement	Latin small letter esh with retroflex hook		
1D99	"""ᶙ"""	1D80..1DBF	Phonetic Extensions Supplement	Latin small letter u with retroflex hook		
1D9A	"""ᶚ"""	1D80..1DBF	Phonetic Extensions Supplement	Latin small letter ezh with retroflex hook		
1D9B	"""ᶛ"""	1D80..1DBF	Phonetic Extensions Supplement	Modifier letter small turned alpha		
1D9C	"""ᶜ"""	1D80..1DBF	Phonetic Extensions Supplement	Modifier letter small c		
1D9D	"""ᶝ"""	1D80..1DBF	Phonetic Extensions Supplement	Modifier letter small c with curl		
1D9E	"""ᶞ"""	1D80..1DBF	Phonetic Extensions Supplement	Modifier letter small eth		
1D9F	"""ᶟ"""	1D80..1DBF	Phonetic Extensions Supplement	Modifier letter small reversed open e		
1DA0	"""ᶠ"""	1D80..1DBF	Phonetic Extensions Supplement	Modifier letter small f		
1DA1	"""ᶡ"""	1D80..1DBF	Phonetic Extensions Supplement	Modifier letter small dotless j with stroke		
1DA2	"""ᶢ"""	1D80..1DBF	Phonetic Extensions Supplement	Modifier letter small script g		
1DA3	"""ᶣ"""	1D80..1DBF	Phonetic Extensions Supplement	Modifier letter small turned h		
1DA4	"""ᶤ"""	1D80..1DBF	Phonetic Extensions Supplement	Modifier letter small i with stroke		
1DA5	"""ᶥ"""	1D80..1DBF	Phonetic Extensions Supplement	Modifier letter small iota		
1DA6	"""ᶦ"""	1D80..1DBF	Phonetic Extensions Supplement	Modifier letter small capital i		
1DA7	"""ᶧ"""	1D80..1DBF	Phonetic Extensions Supplement	Modifier letter small capital i with stroke		
1DA8	"""ᶨ"""	1D80..1DBF	Phonetic Extensions Supplement	Modifier letter small j with crossed-tail		
