code_point	symbol	block	block_name	name	tab_completion	latex_code
2150	"""⅐"""	2150..218F	Number Forms	Vulgar fraction one seventh		
2151	"""⅑"""	2150..218F	Number Forms	Vulgar fraction one ninth		
2152	"""⅒"""	2150..218F	Number Forms	Vulgar fraction one tenth		
2153	"""⅓"""	2150..218F	Number Forms	Vulgar fraction one third		
2154	"""⅔"""	2150..218F	Number Forms	Vulgar fraction two thirds		
2155	"""⅕"""	2150..218F	Number Forms	Vulgar fraction one fifth		
2156	"""⅖"""	2150..218F	Number Forms	Vulgar fraction two fifths		
2157	"""⅗"""	2150..218F	Number Forms	Vulgar fraction three fifths		
2158	"""⅘"""	2150..218F	Number Forms	Vulgar fraction four fifths		
2159	"""⅙"""	2150..218F	Number Forms	Vulgar fraction one sixth		
215A	"""⅚"""	2150..218F	Number Forms	Vulgar fraction five sixths		
215B	"""⅛"""	2150..218F	Number Forms	Vulgar fraction one eighth		
215C	"""⅜"""	2150..218F	Number Forms	Vulgar fraction three eighths		
215D	"""⅝"""	2150..218F	Number Forms	Vulgar fraction five eighths		
215E	"""⅞"""	2150..218F	Number Forms	Vulgar fraction seven eighths		
215F	"""⅟"""	2150..218F	Number Forms	Fraction numerator one		
2160	"""Ⅰ"""	2150..218F	Number Forms	Roman numeral one		
2161	"""Ⅱ"""	2150..218F	Number Forms	Roman numeral two		
2162	"""Ⅲ"""	2150..218F	Number Forms	Roman numeral three		
2163	"""Ⅳ"""	2150..218F	Number Forms	Roman numeral four		
2164	"""Ⅴ"""	2150..218F	Number Forms	Roman numeral five		
2165	"""Ⅵ"""	2150..218F	Number Forms	Roman numeral six		
2166	"""Ⅶ"""	2150..218F	Number Forms	Roman numeral seven		
2167	"""Ⅷ"""	2150..218F	Number Forms	Roman numeral eight		
2168	"""Ⅸ"""	2150..218F	Number Forms	Roman numeral nine		
2169	"""Ⅹ"""	2150..218F	Number Forms	Roman numeral ten		
216A	"""Ⅺ"""	2150..218F	Number Forms	Roman numeral eleven		
216B	"""Ⅻ"""	2150..218F	Number Forms	Roman numeral twelve		
216C	"""Ⅼ"""	2150..218F	Number Forms	Roman numeral fifty		
216D	"""Ⅽ"""	2150..218F	Number Forms	Roman numeral one hundred		
216E	"""Ⅾ"""	2150..218F	Number Forms	Roman numeral five hundred		
216F	"""Ⅿ"""	2150..218F	Number Forms	Roman numeral one thousand		
2170	"""ⅰ"""	2150..218F	Number Forms	Small roman numeral one		
2171	"""ⅱ"""	2150..218F	Number Forms	Small roman numeral two		
2172	"""ⅲ"""	2150..218F	Number Forms	Small roman numeral three		
2173	"""ⅳ"""	2150..218F	Number Forms	Small roman numeral four		
2174	"""ⅴ"""	2150..218F	Number Forms	Small roman numeral five		
2175	"""ⅵ"""	2150..218F	Number Forms	Small roman numeral six		
2176	"""ⅶ"""	2150..218F	Number Forms	Small roman numeral seven		
2177	"""ⅷ"""	2150..218F	Number Forms	Small roman numeral eight		
2178	"""ⅸ"""	2150..218F	Number Forms	Small roman numeral nine		
2179	"""ⅹ"""	2150..218F	Number Forms	Small roman numeral ten		
217A	"""ⅺ"""	2150..218F	Number Forms	Small roman numeral eleven		
217B	"""ⅻ"""	2150..218F	Number Forms	Small roman numeral twelve		
217C	"""ⅼ"""	2150..218F	Number Forms	Small roman numeral fifty		
217D	"""ⅽ"""	2150..218F	Number Forms	Small roman numeral one hundred		
217E	"""ⅾ"""	2150..218F	Number Forms	Small roman numeral five hundred		
217F	"""ⅿ"""	2150..218F	Number Forms	Small roman numeral one thousand		
2180	"""ↀ"""	2150..218F	Number Forms	Roman numeral one thousand c d		
2181	"""ↁ"""	2150..218F	Number Forms	Roman numeral five thousand		
2182	"""ↂ"""	2150..218F	Number Forms	Roman numeral ten thousand		
2183	"""Ↄ"""	2150..218F	Number Forms	Roman numeral reversed one hundred		
2184	"""ↄ"""	2150..218F	Number Forms	Latin small letter reversed c		
2185	"""ↅ"""	2150..218F	Number Forms	Roman numeral six late form		
2186	"""ↆ"""	2150..218F	Number Forms	Roman numeral fifty early form		
2187	"""ↇ"""	2150..218F	Number Forms	Roman numeral fifty thousand		
2188	"""ↈ"""	2150..218F	Number Forms	Roman numeral one hundred thousand		
2189	"""↉"""	2150..218F	Number Forms	Vulgar fraction zero thirds		
218A	"""↊"""	2150..218F	Number Forms	Turned digit two		
218B	"""↋"""	2150..218F	Number Forms	Turned digit three		
