code_point	symbol	block	block_name	name	tab_completion	latex_code
2200	"""∀"""	2200..22FF	Mathematical Operators	For all		
2201	"""∁"""	2200..22FF	Mathematical Operators	Complement		
2202	"""∂"""	2200..22FF	Mathematical Operators	Partial differential		
2203	"""∃"""	2200..22FF	Mathematical Operators	There exists		
2204	"""∄"""	2200..22FF	Mathematical Operators	There does not exist		
2205	"""∅"""	2200..22FF	Mathematical Operators	Empty set		
2206	"""∆"""	2200..22FF	Mathematical Operators	Increment		
2207	"""∇"""	2200..22FF	Mathematical Operators	Nabla		
2208	"""∈"""	2200..22FF	Mathematical Operators	Element of		
2209	"""∉"""	2200..22FF	Mathematical Operators	Not an element of		
220A	"""∊"""	2200..22FF	Mathematical Operators	Small element of		
220B	"""∋"""	2200..22FF	Mathematical Operators	Contains as member		
220C	"""∌"""	2200..22FF	Mathematical Operators	Does not contain as member		
220D	"""∍"""	2200..22FF	Mathematical Operators	Small contains as member		
220E	"""∎"""	2200..22FF	Mathematical Operators	End of proof		
220F	"""∏"""	2200..22FF	Mathematical Operators	N-ary product		
2210	"""∐"""	2200..22FF	Mathematical Operators	N-ary coproduct		
2211	"""∑"""	2200..22FF	Mathematical Operators	N-ary summation		
2212	"""−"""	2200..22FF	Mathematical Operators	Minus sign		
2213	"""∓"""	2200..22FF	Mathematical Operators	Minus-or-plus sign		
2214	"""∔"""	2200..22FF	Mathematical Operators	Dot plus		
2215	"""∕"""	2200..22FF	Mathematical Operators	Division slash		
2216	"""∖"""	2200..22FF	Mathematical Operators	Set minus		
2217	"""∗"""	2200..22FF	Mathematical Operators	Asterisk operator		
2218	"""∘"""	2200..22FF	Mathematical Operators	Ring operator		
2219	"""∙"""	2200..22FF	Mathematical Operators	Bullet operator		
221A	"""√"""	2200..22FF	Mathematical Operators	Square root		
221B	"""∛"""	2200..22FF	Mathematical Operators	Cube root		
221C	"""∜"""	2200..22FF	Mathematical Operators	Fourth root		
221D	"""∝"""	2200..22FF	Mathematical Operators	Proportional to		
221E	"""∞"""	2200..22FF	Mathematical Operators	Infinity		
221F	"""∟"""	2200..22FF	Mathematical Operators	Right angle		
2220	"""∠"""	2200..22FF	Mathematical Operators	Angle		
2221	"""∡"""	2200..22FF	Mathematical Operators	Measured angle		
2222	"""∢"""	2200..22FF	Mathematical Operators	Spherical angle		
2223	"""∣"""	2200..22FF	Mathematical Operators	Divides		
2224	"""∤"""	2200..22FF	Mathematical Operators	Does not divide		
2225	"""∥"""	2200..22FF	Mathematical Operators	Parallel to		
2226	"""∦"""	2200..22FF	Mathematical Operators	Not parallel to		
2227	"""∧"""	2200..22FF	Mathematical Operators	Logical and		
2228	"""∨"""	2200..22FF	Mathematical Operators	Logical or		
2229	"""∩"""	2200..22FF	Mathematical Operators	Intersection		
222A	"""∪"""	2200..22FF	Mathematical Operators	Union		
222B	"""∫"""	2200..22FF	Mathematical Operators	Integral		
222C	"""∬"""	2200..22FF	Mathematical Operators	Double integral		
222D	"""∭"""	2200..22FF	Mathematical Operators	Triple integral		
222E	"""∮"""	2200..22FF	Mathematical Operators	Contour integral		
222F	"""∯"""	2200..22FF	Mathematical Operators	Surface integral		
2230	"""∰"""	2200..22FF	Mathematical Operators	Volume integral		
2231	"""∱"""	2200..22FF	Mathematical Operators	Clockwise integral		
2232	"""∲"""	2200..22FF	Mathematical Operators	Clockwise contour integral		
2233	"""∳"""	2200..22FF	Mathematical Operators	Anticlockwise contour integral		
2234	"""∴"""	2200..22FF	Mathematical Operators	Therefore		
2235	"""∵"""	2200..22FF	Mathematical Operators	Because		
2236	"""∶"""	2200..22FF	Mathematical Operators	Ratio		
2237	"""∷"""	2200..22FF	Mathematical Operators	Proportion		
2238	"""∸"""	2200..22FF	Mathematical Operators	Dot minus		
2239	"""∹"""	2200..22FF	Mathematical Operators	Excess		
223A	"""∺"""	2200..22FF	Mathematical Operators	Geometric proportion		
223B	"""∻"""	2200..22FF	Mathematical Operators	Homothetic		
223C	"""∼"""	2200..22FF	Mathematical Operators	Tilde operator		
223D	"""∽"""	2200..22FF	Mathematical Operators	Reversed tilde		
223E	"""∾"""	2200..22FF	Mathematical Operators	Inverted lazy s		
223F	"""∿"""	2200..22FF	Mathematical Operators	Sine wave		
