code_point	symbol	block	block_name	name	tab_completion	latex_code
2300	"""⌀"""	2300..23FF	Miscellaneous Technical	Diameter sign		
2301	"""⌁"""	2300..23FF	Miscellaneous Technical	Electric arrow		
2302	"""⌂"""	2300..23FF	Miscellaneous Technical	House		
2303	"""⌃"""	2300..23FF	Miscellaneous Technical	Up arrowhead		
2304	"""⌄"""	2300..23FF	Miscellaneous Technical	Down arrowhead		
2305	"""⌅"""	2300..23FF	Miscellaneous Technical	Projective		
2306	"""⌆"""	2300..23FF	Miscellaneous Technical	Perspective		
2307	"""⌇"""	2300..23FF	Miscellaneous Technical	Wavy line		
2308	"""⌈"""	2300..23FF	Miscellaneous Technical	Left ceiling		
2309	"""⌉"""	2300..23FF	Miscellaneous Technical	Right ceiling		
230A	"""⌊"""	2300..23FF	Miscellaneous Technical	Left floor		
230B	"""⌋"""	2300..23FF	Miscellaneous Technical	Right floor		
230C	"""⌌"""	2300..23FF	Miscellaneous Technical	Bottom right crop		
230D	"""⌍"""	2300..23FF	Miscellaneous Technical	Bottom left crop		
230E	"""⌎"""	2300..23FF	Miscellaneous Technical	Top right crop		
230F	"""⌏"""	2300..23FF	Miscellaneous Technical	Top left crop		
2310	"""⌐"""	2300..23FF	Miscellaneous Technical	Reversed not sign		
2311	"""⌑"""	2300..23FF	Miscellaneous Technical	Square lozenge		
2312	"""⌒"""	2300..23FF	Miscellaneous Technical	Arc		
2313	"""⌓"""	2300..23FF	Miscellaneous Technical	Segment		
2314	"""⌔"""	2300..23FF	Miscellaneous Technical	Sector		
2315	"""⌕"""	2300..23FF	Miscellaneous Technical	Telephone recorder		
2316	"""⌖"""	2300..23FF	Miscellaneous Technical	Position indicator		
2317	"""⌗"""	2300..23FF	Miscellaneous Technical	Viewdata square		
2318	"""⌘"""	2300..23FF	Miscellaneous Technical	Place of interest sign		
2319	"""⌙"""	2300..23FF	Miscellaneous Technical	Turned not sign		
231A	"""⌚"""	2300..23FF	Miscellaneous Technical	Watch		
231B	"""⌛"""	2300..23FF	Miscellaneous Technical	Hourglass		
231C	"""⌜"""	2300..23FF	Miscellaneous Technical	Top left corner		
231D	"""⌝"""	2300..23FF	Miscellaneous Technical	Top right corner		
231E	"""⌞"""	2300..23FF	Miscellaneous Technical	Bottom left corner		
231F	"""⌟"""	2300..23FF	Miscellaneous Technical	Bottom right corner		
2320	"""⌠"""	2300..23FF	Miscellaneous Technical	Top half integral		
2321	"""⌡"""	2300..23FF	Miscellaneous Technical	Bottom half integral		
2322	"""⌢"""	2300..23FF	Miscellaneous Technical	Frown		
2323	"""⌣"""	2300..23FF	Miscellaneous Technical	Smile		
2324	"""⌤"""	2300..23FF	Miscellaneous Technical	Up arrowhead between two horizontal bars		
2325	"""⌥"""	2300..23FF	Miscellaneous Technical	Option key		
2326	"""⌦"""	2300..23FF	Miscellaneous Technical	Erase to the right		
2327	"""⌧"""	2300..23FF	Miscellaneous Technical	X in a rectangle box		
2328	"""⌨"""	2300..23FF	Miscellaneous Technical	Keyboard		
2329	"""〈"""	2300..23FF	Miscellaneous Technical	Left-pointing angle bracket		
232A	"""〉"""	2300..23FF	Miscellaneous Technical	Right-pointing angle bracket		
232B	"""⌫"""	2300..23FF	Miscellaneous Technical	Erase to the left		
232C	"""⌬"""	2300..23FF	Miscellaneous Technical	Benzene ring		
232D	"""⌭"""	2300..23FF	Miscellaneous Technical	Cylindricity		
232E	"""⌮"""	2300..23FF	Miscellaneous Technical	All around-profile		
232F	"""⌯"""	2300..23FF	Miscellaneous Technical	Symmetry		
2330	"""⌰"""	2300..23FF	Miscellaneous Technical	Total runout		
2331	"""⌱"""	2300..23FF	Miscellaneous Technical	Dimension origin		
2332	"""⌲"""	2300..23FF	Miscellaneous Technical	Conical taper		
2333	"""⌳"""	2300..23FF	Miscellaneous Technical	Slope		
2334	"""⌴"""	2300..23FF	Miscellaneous Technical	Counterbore		
2335	"""⌵"""	2300..23FF	Miscellaneous Technical	Countersink		
2336	"""⌶"""	2300..23FF	Miscellaneous Technical	Apl functional symbol i-beam		
2337	"""⌷"""	2300..23FF	Miscellaneous Technical	Apl functional symbol squish quad		
2338	"""⌸"""	2300..23FF	Miscellaneous Technical	Apl functional symbol quad equal		
2339	"""⌹"""	2300..23FF	Miscellaneous Technical	Apl functional symbol quad divide		
233A	"""⌺"""	2300..23FF	Miscellaneous Technical	Apl functional symbol quad diamond		
233B	"""⌻"""	2300..23FF	Miscellaneous Technical	Apl functional symbol quad jot		
233C	"""⌼"""	2300..23FF	Miscellaneous Technical	Apl functional symbol quad circle		
233D	"""⌽"""	2300..23FF	Miscellaneous Technical	Apl functional symbol circle stile		
233E	"""⌾"""	2300..23FF	Miscellaneous Technical	Apl functional symbol circle jot		
233F	"""⌿"""	2300..23FF	Miscellaneous Technical	Apl functional symbol slash bar		
