code_point	symbol	block	block_name	name	tab_completion	latex_code
2600	"""☀"""	2600..26FF	Miscellaneous Symbols	Black sun with rays		
2601	"""☁"""	2600..26FF	Miscellaneous Symbols	Cloud		
2602	"""☂"""	2600..26FF	Miscellaneous Symbols	Umbrella		
2603	"""☃"""	2600..26FF	Miscellaneous Symbols	Snowman		
2604	"""☄"""	2600..26FF	Miscellaneous Symbols	Comet		
2605	"""★"""	2600..26FF	Miscellaneous Symbols	Black star		
2606	"""☆"""	2600..26FF	Miscellaneous Symbols	White star		
2607	"""☇"""	2600..26FF	Miscellaneous Symbols	Lightning		
2608	"""☈"""	2600..26FF	Miscellaneous Symbols	Thunderstorm		
2609	"""☉"""	2600..26FF	Miscellaneous Symbols	Sun		
260A	"""☊"""	2600..26FF	Miscellaneous Symbols	Ascending node		
260B	"""☋"""	2600..26FF	Miscellaneous Symbols	Descending node		
260C	"""☌"""	2600..26FF	Miscellaneous Symbols	Conjunction		
260D	"""☍"""	2600..26FF	Miscellaneous Symbols	Opposition		
260E	"""☎"""	2600..26FF	Miscellaneous Symbols	Black telephone		
260F	"""☏"""	2600..26FF	Miscellaneous Symbols	White telephone		
2610	"""☐"""	2600..26FF	Miscellaneous Symbols	Ballot box		
2611	"""☑"""	2600..26FF	Miscellaneous Symbols	Ballot box with check		
2612	"""☒"""	2600..26FF	Miscellaneous Symbols	Ballot box with x		
2613	"""☓"""	2600..26FF	Miscellaneous Symbols	Saltire		
2614	"""☔"""	2600..26FF	Miscellaneous Symbols	Umbrella with rain drops		
2615	"""☕"""	2600..26FF	Miscellaneous Symbols	Hot beverage		
2616	"""☖"""	2600..26FF	Miscellaneous Symbols	White shogi piece		
2617	"""☗"""	2600..26FF	Miscellaneous Symbols	Black shogi piece		
2618	"""☘"""	2600..26FF	Miscellaneous Symbols	Shamrock		
2619	"""☙"""	2600..26FF	Miscellaneous Symbols	Reversed rotated floral heart bullet		
261A	"""☚"""	2600..26FF	Miscellaneous Symbols	Black left pointing index		
261B	"""☛"""	2600..26FF	Miscellaneous Symbols	Black right pointing index		
261C	"""☜"""	2600..26FF	Miscellaneous Symbols	White left pointing index		
