code_point	symbol	block	block_name	name	tab_completion	latex_code
2700	"""✀"""	2700..27BF	Dingbats	Black safety scissors		
2701	"""✁"""	2700..27BF	Dingbats	Upper blade scissors		
2702	"""✂"""	2700..27BF	Dingbats	Black scissors		
2703	"""✃"""	2700..27BF	Dingbats	Lower blade scissors		
2704	"""✄"""	2700..27BF	Dingbats	White scissors		
2705	"""✅"""	2700..27BF	Dingbats	White heavy check mark		
2706	"""✆"""	2700..27BF	Dingbats	Telephone location sign		
2707	"""✇"""	2700..27BF	Dingbats	Tape drive		
2708	"""✈"""	2700..27BF	Dingbats	Airplane		
2709	"""✉"""	2700..27BF	Dingbats	Envelope		
270A	"""✊"""	2700..27BF	Dingbats	Raised fist		
270B	"""✋"""	2700..27BF	Dingbats	Raised hand		
270C	"""✌"""	2700..27BF	Dingbats	Victory hand		
270D	"""✍"""	2700..27BF	Dingbats	Writing hand		
270E	"""✎"""	2700..27BF	Dingbats	Lower right pencil		
270F	"""✏"""	2700..27BF	Dingbats	Pencil		
2710	"""✐"""	2700..27BF	Dingbats	Upper right pencil		
2711	"""✑"""	2700..27BF	Dingbats	White nib		
2712	"""✒"""	2700..27BF	Dingbats	Black nib		
2713	"""✓"""	2700..27BF	Dingbats	Check mark		
2714	"""✔"""	2700..27BF	Dingbats	Heavy check mark		
2715	"""✕"""	2700..27BF	Dingbats	Multiplication x		
2716	"""✖"""	2700..27BF	Dingbats	Heavy multiplication x		
2717	"""✗"""	2700..27BF	Dingbats	Ballot x		
2718	"""✘"""	2700..27BF	Dingbats	Heavy ballot x		
2719	"""✙"""	2700..27BF	Dingbats	Outlined greek cross		
271A	"""✚"""	2700..27BF	Dingbats	Heavy greek cross		
271B	"""✛"""	2700..27BF	Dingbats	Open centre cross		
271C	"""✜"""	2700..27BF	Dingbats	Heavy open centre cross		
271D	"""✝"""	2700..27BF	Dingbats	Latin cross		
271E	"""✞"""	2700..27BF	Dingbats	Shadowed white latin cross		
271F	"""✟"""	2700..27BF	Dingbats	Outlined latin cross		
2720	"""✠"""	2700..27BF	Dingbats	Maltese cross		
2721	"""✡"""	2700..27BF	Dingbats	Star of david		
2722	"""✢"""	2700..27BF	Dingbats	Four teardrop-spoked asterisk		
2723	"""✣"""	2700..27BF	Dingbats	Four balloon-spoked asterisk		
2724	"""✤"""	2700..27BF	Dingbats	Heavy four balloon-spoked asterisk		
2725	"""✥"""	2700..27BF	Dingbats	Four club-spoked asterisk		
2726	"""✦"""	2700..27BF	Dingbats	Black four pointed star		
