code_point	symbol	block	block_name	name	tab_completion	latex_code
27F0	"""⟰"""	27F0..27FF	Supplemental Arrows-A	Upwards quadruple arrow		
27F1	"""⟱"""	27F0..27FF	Supplemental Arrows-A	Downwards quadruple arrow		
27F2	"""⟲"""	27F0..27FF	Supplemental Arrows-A	Anticlockwise gapped circle arrow		
27F3	"""⟳"""	27F0..27FF	Supplemental Arrows-A	Clockwise gapped circle arrow		
27F4	"""⟴"""	27F0..27FF	Supplemental Arrows-A	Right arrow with circled plus		
27F5	"""⟵"""	27F0..27FF	Supplemental Arrows-A	Long leftwards arrow		
27F6	"""⟶"""	27F0..27FF	Supplemental Arrows-A	Long rightwards arrow		
27F7	"""⟷"""	27F0..27FF	Supplemental Arrows-A	Long left right arrow		
27F8	"""⟸"""	27F0..27FF	Supplemental Arrows-A	Long leftwards double arrow		
27F9	"""⟹"""	27F0..27FF	Supplemental Arrows-A	Long rightwards double arrow		
27FA	"""⟺"""	27F0..27FF	Supplemental Arrows-A	Long left right double arrow		
27FB	"""⟻"""	27F0..27FF	Supplemental Arrows-A	Long leftwards arrow from bar		
27FC	"""⟼"""	27F0..27FF	Supplemental Arrows-A	Long rightwards arrow from bar		
27FD	"""⟽"""	27F0..27FF	Supplemental Arrows-A	Long leftwards double arrow from bar		
27FE	"""⟾"""	27F0..27FF	Supplemental Arrows-A	Long rightwards double arrow from bar		
27FF	"""⟿"""	27F0..27FF	Supplemental Arrows-A	Long rightwards squiggle arrow		
