code_point	symbol	block	block_name	name	tab_completion	latex_code
2980	"""⦀"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Triple vertical bar delimiter		
2981	"""⦁"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Z notation spot		
2982	"""⦂"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Z notation type colon		
2983	"""⦃"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Left white curly bracket		
2984	"""⦄"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Right white curly bracket		
2985	"""⦅"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Left white parenthesis		
2986	"""⦆"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Right white parenthesis		
2987	"""⦇"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Z notation left image bracket		
2988	"""⦈"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Z notation right image bracket		
2989	"""⦉"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Z notation left binding bracket		
298A	"""⦊"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Z notation right binding bracket		
298B	"""⦋"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Left square bracket with underbar		
298C	"""⦌"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Right square bracket with underbar		
298D	"""⦍"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Left square bracket with tick in top corner		
298E	"""⦎"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Right square bracket with tick in bottom corner		
298F	"""⦏"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Left square bracket with tick in bottom corner		
2990	"""⦐"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Right square bracket with tick in top corner		
2991	"""⦑"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Left angle bracket with dot		
2992	"""⦒"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Right angle bracket with dot		
2993	"""⦓"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Left arc less-than bracket		
2994	"""⦔"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Right arc greater-than bracket		
2995	"""⦕"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Double left arc greater-than bracket		
2996	"""⦖"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Double right arc less-than bracket		
2997	"""⦗"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Left black tortoise shell bracket		
2998	"""⦘"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Right black tortoise shell bracket		
2999	"""⦙"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Dotted fence		
299A	"""⦚"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Vertical zigzag line		
299B	"""⦛"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Measured angle opening left		
299C	"""⦜"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Right angle variant with square		
299D	"""⦝"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Measured right angle with dot		
299E	"""⦞"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Angle with s inside		
299F	"""⦟"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Acute angle		
29A0	"""⦠"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Spherical angle opening left		
29A1	"""⦡"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Spherical angle opening up		
29A2	"""⦢"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Turned angle		
29A3	"""⦣"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Reversed angle		
29A4	"""⦤"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Angle with underbar		
29A5	"""⦥"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Reversed angle with underbar		
29A6	"""⦦"""	2980..29FF	Miscellaneous Mathematical Symbols-B	Oblique angle opening up		
