code_point	symbol	block	block_name	name	tab_completion	latex_code
2D80	"""ⶀ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable loa		
2D81	"""ⶁ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable moa		
2D82	"""ⶂ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable roa		
2D83	"""ⶃ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable soa		
2D84	"""ⶄ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable shoa		
2D85	"""ⶅ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable boa		
2D86	"""ⶆ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable toa		
2D87	"""ⶇ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable coa		
2D88	"""ⶈ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable noa		
2D89	"""ⶉ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable nyoa		
2D8A	"""ⶊ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable glottal oa		
2D8B	"""ⶋ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable zoa		
2D8C	"""ⶌ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable doa		
2D8D	"""ⶍ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable ddoa		
2D8E	"""ⶎ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable joa		
2D8F	"""ⶏ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable thoa		
2D90	"""ⶐ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable choa		
2D91	"""ⶑ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable phoa		
2D92	"""ⶒ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable poa		
2D93	"""ⶓ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable ggwa		
2D94	"""ⶔ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable ggwi		
2D95	"""ⶕ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable ggwee		
2D96	"""ⶖ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable ggwe		
2DA0	"""ⶠ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable ssa		
2DA1	"""ⶡ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable ssu		
2DA2	"""ⶢ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable ssi		
2DA3	"""ⶣ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable ssaa		
2DA4	"""ⶤ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable ssee		
2DA5	"""ⶥ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable sse		
2DA6	"""ⶦ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable sso		
2DA8	"""ⶨ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable cca		
2DA9	"""ⶩ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable ccu		
2DAA	"""ⶪ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable cci		
2DAB	"""ⶫ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable ccaa		
2DAC	"""ⶬ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable ccee		
2DAD	"""ⶭ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable cce		
2DAE	"""ⶮ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable cco		
2DB0	"""ⶰ"""	2D80..2DDF	Ethiopic Extended	Ethiopic syllable zza		
