code_point	symbol	block	block_name	name	tab_completion	latex_code
2DE0	"""ⷠ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter be		
2DE1	"""ⷡ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter ve		
2DE2	"""ⷢ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter ghe		
2DE3	"""ⷣ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter de		
2DE4	"""ⷤ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter zhe		
2DE5	"""ⷥ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter ze		
2DE6	"""ⷦ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter ka		
2DE7	"""ⷧ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter el		
2DE8	"""ⷨ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter em		
2DE9	"""ⷩ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter en		
2DEA	"""ⷪ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter o		
2DEB	"""ⷫ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter pe		
2DEC	"""ⷬ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter er		
2DED	"""ⷭ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter es		
2DEE	"""ⷮ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter te		
2DEF	"""ⷯ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter ha		
2DF0	"""ⷰ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter tse		
2DF1	"""ⷱ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter che		
2DF2	"""ⷲ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter sha		
2DF3	"""ⷳ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter shcha		
2DF4	"""ⷴ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter fita		
2DF5	"""ⷵ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter es-te		
2DF6	"""ⷶ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter a		
2DF7	"""ⷷ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter ie		
2DF8	"""ⷸ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter djerv		
2DF9	"""ⷹ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter monograph uk		
2DFA	"""ⷺ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter yat		
2DFB	"""ⷻ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter yu		
2DFC	"""ⷼ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter iotified a		
2DFD	"""ⷽ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter little yus		
2DFE	"""ⷾ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter big yus		
2DFF	"""ⷿ"""	2DE0..2DFF	Cyrillic Extended-A	Combining cyrillic letter iotified big yus		
