code_point	symbol	block	block_name	name	tab_completion	latex_code
2F00	"""⼀"""	2F00..2FDF	Kangxi Radicals	Kangxi radical one		
2F01	"""⼁"""	2F00..2FDF	Kangxi Radicals	Kangxi radical line		
2F02	"""⼂"""	2F00..2FDF	Kangxi Radicals	Kangxi radical dot		
2F03	"""⼃"""	2F00..2FDF	Kangxi Radicals	Kangxi radical slash		
2F04	"""⼄"""	2F00..2FDF	Kangxi Radicals	Kangxi radical second		
2F05	"""⼅"""	2F00..2FDF	Kangxi Radicals	Kangxi radical hook		
2F06	"""⼆"""	2F00..2FDF	Kangxi Radicals	Kangxi radical two		
2F07	"""⼇"""	2F00..2FDF	Kangxi Radicals	Kangxi radical lid		
2F08	"""⼈"""	2F00..2FDF	Kangxi Radicals	Kangxi radical man		
2F09	"""⼉"""	2F00..2FDF	Kangxi Radicals	Kangxi radical legs		
2F0A	"""⼊"""	2F00..2FDF	Kangxi Radicals	Kangxi radical enter		
2F0B	"""⼋"""	2F00..2FDF	Kangxi Radicals	Kangxi radical eight		
2F0C	"""⼌"""	2F00..2FDF	Kangxi Radicals	Kangxi radical down box		
2F0D	"""⼍"""	2F00..2FDF	Kangxi Radicals	Kangxi radical cover		
2F0E	"""⼎"""	2F00..2FDF	Kangxi Radicals	Kangxi radical ice		
2F0F	"""⼏"""	2F00..2FDF	Kangxi Radicals	Kangxi radical table		
2F10	"""⼐"""	2F00..2FDF	Kangxi Radicals	Kangxi radical open box		
2F11	"""⼑"""	2F00..2FDF	Kangxi Radicals	Kangxi radical knife		
2F12	"""⼒"""	2F00..2FDF	Kangxi Radicals	Kangxi radical power		
2F13	"""⼓"""	2F00..2FDF	Kangxi Radicals	Kangxi radical wrap		
2F14	"""⼔"""	2F00..2FDF	Kangxi Radicals	Kangxi radical spoon		
2F15	"""⼕"""	2F00..2FDF	Kangxi Radicals	Kangxi radical right open box		
2F16	"""⼖"""	2F00..2FDF	Kangxi Radicals	Kangxi radical hiding enclosure		
2F17	"""⼗"""	2F00..2FDF	Kangxi Radicals	Kangxi radical ten		
2F18	"""⼘"""	2F00..2FDF	Kangxi Radicals	Kangxi radical divination		
2F19	"""⼙"""	2F00..2FDF	Kangxi Radicals	Kangxi radical seal		
2F1A	"""⼚"""	2F00..2FDF	Kangxi Radicals	Kangxi radical cliff		
2F1B	"""⼛"""	2F00..2FDF	Kangxi Radicals	Kangxi radical private		
2F1C	"""⼜"""	2F00..2FDF	Kangxi Radicals	Kangxi radical again		
2F1D	"""⼝"""	2F00..2FDF	Kangxi Radicals	Kangxi radical mouth		
2F1E	"""⼞"""	2F00..2FDF	Kangxi Radicals	Kangxi radical enclosure		
2F1F	"""⼟"""	2F00..2FDF	Kangxi Radicals	Kangxi radical earth		
2F20	"""⼠"""	2F00..2FDF	Kangxi Radicals	Kangxi radical scholar		
2F21	"""⼡"""	2F00..2FDF	Kangxi Radicals	Kangxi radical go		
2F22	"""⼢"""	2F00..2FDF	Kangxi Radicals	Kangxi radical go slowly		
2F23	"""⼣"""	2F00..2FDF	Kangxi Radicals	Kangxi radical evening		
2F24	"""⼤"""	2F00..2FDF	Kangxi Radicals	Kangxi radical big		
2F25	"""⼥"""	2F00..2FDF	Kangxi Radicals	Kangxi radical woman		
2F26	"""⼦"""	2F00..2FDF	Kangxi Radicals	Kangxi radical child		
2F27	"""⼧"""	2F00..2FDF	Kangxi Radicals	Kangxi radical roof		
2F28	"""⼨"""	2F00..2FDF	Kangxi Radicals	Kangxi radical inch		
2F29	"""⼩"""	2F00..2FDF	Kangxi Radicals	Kangxi radical small		
2F2A	"""⼪"""	2F00..2FDF	Kangxi Radicals	Kangxi radical lame		
2F2B	"""⼫"""	2F00..2FDF	Kangxi Radicals	Kangxi radical corpse		
2F2C	"""⼬"""	2F00..2FDF	Kangxi Radicals	Kangxi radical sprout		
2F2D	"""⼭"""	2F00..2FDF	Kangxi Radicals	Kangxi radical mountain		
2F2E	"""⼮"""	2F00..2FDF	Kangxi Radicals	Kangxi radical river		
2F2F	"""⼯"""	2F00..2FDF	Kangxi Radicals	Kangxi radical work		
2F30	"""⼰"""	2F00..2FDF	Kangxi Radicals	Kangxi radical oneself		
2F31	"""⼱"""	2F00..2FDF	Kangxi Radicals	Kangxi radical turban		
2F32	"""⼲"""	2F00..2FDF	Kangxi Radicals	Kangxi radical dry		
2F33	"""⼳"""	2F00..2FDF	Kangxi Radicals	Kangxi radical short thread		
2F34	"""⼴"""	2F00..2FDF	Kangxi Radicals	Kangxi radical dotted cliff		
2F35	"""⼵"""	2F00..2FDF	Kangxi Radicals	Kangxi radical long stride		
2F36	"""⼶"""	2F00..2FDF	Kangxi Radicals	Kangxi radical two hands		
2F37	"""⼷"""	2F00..2FDF	Kangxi Radicals	Kangxi radical shoot		
2F38	"""⼸"""	2F00..2FDF	Kangxi Radicals	Kangxi radical bow		
2F39	"""⼹"""	2F00..2FDF	Kangxi Radicals	Kangxi radical snout		
2F3A	"""⼺"""	2F00..2FDF	Kangxi Radicals	Kangxi radical bristle		
2F3B	"""⼻"""	2F00..2FDF	Kangxi Radicals	Kangxi radical step		
2F3C	"""⼼"""	2F00..2FDF	Kangxi Radicals	Kangxi radical heart		
2F3D	"""⼽"""	2F00..2FDF	Kangxi Radicals	Kangxi radical halberd		
2F3E	"""⼾"""	2F00..2FDF	Kangxi Radicals	Kangxi radical door		
2F3F	"""⼿"""	2F00..2FDF	Kangxi Radicals	Kangxi radical hand		
2F40	"""⽀"""	2F00..2FDF	Kangxi Radicals	Kangxi radical branch		
2F41	"""⽁"""	2F00..2FDF	Kangxi Radicals	Kangxi radical rap		
