code_point	symbol	block	block_name	name	tab_completion	latex_code
2FF0	"""⿰"""	2FF0..2FFF	Ideographic Description Characters	Ideographic description character left to right		
2FF1	"""⿱"""	2FF0..2FFF	Ideographic Description Characters	Ideographic description character above to below		
2FF2	"""⿲"""	2FF0..2FFF	Ideographic Description Characters	Ideographic description character left to middle and right		
2FF3	"""⿳"""	2FF0..2FFF	Ideographic Description Characters	Ideographic description character above to middle and below		
2FF4	"""⿴"""	2FF0..2FFF	Ideographic Description Characters	Ideographic description character full surround		
2FF5	"""⿵"""	2FF0..2FFF	Ideographic Description Characters	Ideographic description character surround from above		
2FF6	"""⿶"""	2FF0..2FFF	Ideographic Description Characters	Ideographic description character surround from below		
2FF7	"""⿷"""	2FF0..2FFF	Ideographic Description Characters	Ideographic description character surround from left		
2FF8	"""⿸"""	2FF0..2FFF	Ideographic Description Characters	Ideographic description character surround from upper left		
2FF9	"""⿹"""	2FF0..2FFF	Ideographic Description Characters	Ideographic description character surround from upper right		
2FFA	"""⿺"""	2FF0..2FFF	Ideographic Description Characters	Ideographic description character surround from lower left		
2FFB	"""⿻"""	2FF0..2FFF	Ideographic Description Characters	Ideographic description character overlaid		
2FFC	"""⿼"""	2FF0..2FFF	Ideographic Description Characters	Ideographic description character surround from right		
2FFD	"""⿽"""	2FF0..2FFF	Ideographic Description Characters	Ideographic description character surround from lower right		
2FFE	"""⿾"""	2FF0..2FFF	Ideographic Description Characters	Ideographic description character horizontal reflection		
2FFF	"""⿿"""	2FF0..2FFF	Ideographic Description Characters	Ideographic description character rotation		
