code_point	symbol	block	block_name	name	tab_completion	latex_code
3041	"""ぁ"""	3040..309F	Hiragana	Hiragana letter small a		
3042	"""あ"""	3040..309F	Hiragana	Hiragana letter a		
3043	"""ぃ"""	3040..309F	Hiragana	Hiragana letter small i		
3044	"""い"""	3040..309F	Hiragana	Hiragana letter i		
3045	"""ぅ"""	3040..309F	Hiragana	Hiragana letter small u		
3046	"""う"""	3040..309F	Hiragana	Hiragana letter u		
3047	"""ぇ"""	3040..309F	Hiragana	Hiragana letter small e		
3048	"""え"""	3040..309F	Hiragana	Hiragana letter e		
3049	"""ぉ"""	3040..309F	Hiragana	Hiragana letter small o		
304A	"""お"""	3040..309F	Hiragana	Hiragana letter o		
304B	"""か"""	3040..309F	Hiragana	Hiragana letter ka		
304C	"""が"""	3040..309F	Hiragana	Hiragana letter ga		
304D	"""き"""	3040..309F	Hiragana	Hiragana letter ki		
304E	"""ぎ"""	3040..309F	Hiragana	Hiragana letter gi		
304F	"""く"""	3040..309F	Hiragana	Hiragana letter ku		
3050	"""ぐ"""	3040..309F	Hiragana	Hiragana letter gu		
3051	"""け"""	3040..309F	Hiragana	Hiragana letter ke		
3052	"""げ"""	3040..309F	Hiragana	Hiragana letter ge		
3053	"""こ"""	3040..309F	Hiragana	Hiragana letter ko		
3054	"""ご"""	3040..309F	Hiragana	Hiragana letter go		
3055	"""さ"""	3040..309F	Hiragana	Hiragana letter sa		
3056	"""ざ"""	3040..309F	Hiragana	Hiragana letter za		
3057	"""し"""	3040..309F	Hiragana	Hiragana letter si		
3058	"""じ"""	3040..309F	Hiragana	Hiragana letter zi		
3059	"""す"""	3040..309F	Hiragana	Hiragana letter su		
305A	"""ず"""	3040..309F	Hiragana	Hiragana letter zu		
305B	"""せ"""	3040..309F	Hiragana	Hiragana letter se		
305C	"""ぜ"""	3040..309F	Hiragana	Hiragana letter ze		
305D	"""そ"""	3040..309F	Hiragana	Hiragana letter so		
305E	"""ぞ"""	3040..309F	Hiragana	Hiragana letter zo		
305F	"""た"""	3040..309F	Hiragana	Hiragana letter ta		
3060	"""だ"""	3040..309F	Hiragana	Hiragana letter da		
3061	"""ち"""	3040..309F	Hiragana	Hiragana letter ti		
3062	"""ぢ"""	3040..309F	Hiragana	Hiragana letter di		
3063	"""っ"""	3040..309F	Hiragana	Hiragana letter small tu		
3064	"""つ"""	3040..309F	Hiragana	Hiragana letter tu		
3065	"""づ"""	3040..309F	Hiragana	Hiragana letter du		
3066	"""て"""	3040..309F	Hiragana	Hiragana letter te		
3067	"""で"""	3040..309F	Hiragana	Hiragana letter de		
3068	"""と"""	3040..309F	Hiragana	Hiragana letter to		
3069	"""ど"""	3040..309F	Hiragana	Hiragana letter do		
306A	"""な"""	3040..309F	Hiragana	Hiragana letter na		
306B	"""に"""	3040..309F	Hiragana	Hiragana letter ni		
306C	"""ぬ"""	3040..309F	Hiragana	Hiragana letter nu		
306D	"""ね"""	3040..309F	Hiragana	Hiragana letter ne		
306E	"""の"""	3040..309F	Hiragana	Hiragana letter no		
306F	"""は"""	3040..309F	Hiragana	Hiragana letter ha		
3070	"""ば"""	3040..309F	Hiragana	Hiragana letter ba		
3071	"""ぱ"""	3040..309F	Hiragana	Hiragana letter pa		
3072	"""ひ"""	3040..309F	Hiragana	Hiragana letter hi		
3073	"""び"""	3040..309F	Hiragana	Hiragana letter bi		
3074	"""ぴ"""	3040..309F	Hiragana	Hiragana letter pi		
3075	"""ふ"""	3040..309F	Hiragana	Hiragana letter hu		
3076	"""ぶ"""	3040..309F	Hiragana	Hiragana letter bu		
3077	"""ぷ"""	3040..309F	Hiragana	Hiragana letter pu		
3078	"""へ"""	3040..309F	Hiragana	Hiragana letter he		
3079	"""べ"""	3040..309F	Hiragana	Hiragana letter be		
307A	"""ぺ"""	3040..309F	Hiragana	Hiragana letter pe		
307B	"""ほ"""	3040..309F	Hiragana	Hiragana letter ho		
307C	"""ぼ"""	3040..309F	Hiragana	Hiragana letter bo		
307D	"""ぽ"""	3040..309F	Hiragana	Hiragana letter po		
307E	"""ま"""	3040..309F	Hiragana	Hiragana letter ma		
307F	"""み"""	3040..309F	Hiragana	Hiragana letter mi		
3080	"""む"""	3040..309F	Hiragana	Hiragana letter mu		
