code_point	symbol	block	block_name	name	tab_completion	latex_code
30A0	"""゠"""	30A0..30FF	Katakana	Katakana-hiragana double hyphen		
30A1	"""ァ"""	30A0..30FF	Katakana	Katakana letter small a		
30A2	"""ア"""	30A0..30FF	Katakana	Katakana letter a		
30A3	"""ィ"""	30A0..30FF	Katakana	Katakana letter small i		
30A4	"""イ"""	30A0..30FF	Katakana	Katakana letter i		
30A5	"""ゥ"""	30A0..30FF	Katakana	Katakana letter small u		
30A6	"""ウ"""	30A0..30FF	Katakana	Katakana letter u		
30A7	"""ェ"""	30A0..30FF	Katakana	Katakana letter small e		
30A8	"""エ"""	30A0..30FF	Katakana	Katakana letter e		
30A9	"""ォ"""	30A0..30FF	Katakana	Katakana letter small o		
30AA	"""オ"""	30A0..30FF	Katakana	Katakana letter o		
30AB	"""カ"""	30A0..30FF	Katakana	Katakana letter ka		
30AC	"""ガ"""	30A0..30FF	Katakana	Katakana letter ga		
30AD	"""キ"""	30A0..30FF	Katakana	Katakana letter ki		
30AE	"""ギ"""	30A0..30FF	Katakana	Katakana letter gi		
30AF	"""ク"""	30A0..30FF	Katakana	Katakana letter ku		
30B0	"""グ"""	30A0..30FF	Katakana	Katakana letter gu		
30B1	"""ケ"""	30A0..30FF	Katakana	Katakana letter ke		
30B2	"""ゲ"""	30A0..30FF	Katakana	Katakana letter ge		
30B3	"""コ"""	30A0..30FF	Katakana	Katakana letter ko		
30B4	"""ゴ"""	30A0..30FF	Katakana	Katakana letter go		
30B5	"""サ"""	30A0..30FF	Katakana	Katakana letter sa		
30B6	"""ザ"""	30A0..30FF	Katakana	Katakana letter za		
30B7	"""シ"""	30A0..30FF	Katakana	Katakana letter si		
30B8	"""ジ"""	30A0..30FF	Katakana	Katakana letter zi		
30B9	"""ス"""	30A0..30FF	Katakana	Katakana letter su		
30BA	"""ズ"""	30A0..30FF	Katakana	Katakana letter zu		
30BB	"""セ"""	30A0..30FF	Katakana	Katakana letter se		
30BC	"""ゼ"""	30A0..30FF	Katakana	Katakana letter ze		
30BD	"""ソ"""	30A0..30FF	Katakana	Katakana letter so		
30BE	"""ゾ"""	30A0..30FF	Katakana	Katakana letter zo		
30BF	"""タ"""	30A0..30FF	Katakana	Katakana letter ta		
30C0	"""ダ"""	30A0..30FF	Katakana	Katakana letter da		
30C1	"""チ"""	30A0..30FF	Katakana	Katakana letter ti		
30C2	"""ヂ"""	30A0..30FF	Katakana	Katakana letter di		
30C3	"""ッ"""	30A0..30FF	Katakana	Katakana letter small tu		
30C4	"""ツ"""	30A0..30FF	Katakana	Katakana letter tu		
30C5	"""ヅ"""	30A0..30FF	Katakana	Katakana letter du		
30C6	"""テ"""	30A0..30FF	Katakana	Katakana letter te		
30C7	"""デ"""	30A0..30FF	Katakana	Katakana letter de		
30C8	"""ト"""	30A0..30FF	Katakana	Katakana letter to		
30C9	"""ド"""	30A0..30FF	Katakana	Katakana letter do		
30CA	"""ナ"""	30A0..30FF	Katakana	Katakana letter na		
30CB	"""ニ"""	30A0..30FF	Katakana	Katakana letter ni		
30CC	"""ヌ"""	30A0..30FF	Katakana	Katakana letter nu		
30CD	"""ネ"""	30A0..30FF	Katakana	Katakana letter ne		
30CE	"""ノ"""	30A0..30FF	Katakana	Katakana letter no		
30CF	"""ハ"""	30A0..30FF	Katakana	Katakana letter ha		
30D0	"""バ"""	30A0..30FF	Katakana	Katakana letter ba		
30D1	"""パ"""	30A0..30FF	Katakana	Katakana letter pa		
30D2	"""ヒ"""	30A0..30FF	Katakana	Katakana letter hi		
30D3	"""ビ"""	30A0..30FF	Katakana	Katakana letter bi		
30D4	"""ピ"""	30A0..30FF	Katakana	Katakana letter pi		
30D5	"""フ"""	30A0..30FF	Katakana	Katakana letter hu		
30D6	"""ブ"""	30A0..30FF	Katakana	Katakana letter bu		
30D7	"""プ"""	30A0..30FF	Katakana	Katakana letter pu		
30D8	"""ヘ"""	30A0..30FF	Katakana	Katakana letter he		
30D9	"""ベ"""	30A0..30FF	Katakana	Katakana letter be		
30DA	"""ペ"""	30A0..30FF	Katakana	Katakana letter pe		
30DB	"""ホ"""	30A0..30FF	Katakana	Katakana letter ho		
30DC	"""ボ"""	30A0..30FF	Katakana	Katakana letter bo		
30DD	"""ポ"""	30A0..30FF	Katakana	Katakana letter po		
30DE	"""マ"""	30A0..30FF	Katakana	Katakana letter ma		
30DF	"""ミ"""	30A0..30FF	Katakana	Katakana letter mi		
30E0	"""ム"""	30A0..30FF	Katakana	Katakana letter mu		
30E1	"""メ"""	30A0..30FF	Katakana	Katakana letter me		
30E2	"""モ"""	30A0..30FF	Katakana	Katakana letter mo		
30E3	"""ャ"""	30A0..30FF	Katakana	Katakana letter small ya		
30E4	"""ヤ"""	30A0..30FF	Katakana	Katakana letter ya		
30E5	"""ュ"""	30A0..30FF	Katakana	Katakana letter small yu		
30E6	"""ユ"""	30A0..30FF	Katakana	Katakana letter yu		
30E7	"""ョ"""	30A0..30FF	Katakana	Katakana letter small yo		
30E8	"""ヨ"""	30A0..30FF	Katakana	Katakana letter yo		
30E9	"""ラ"""	30A0..30FF	Katakana	Katakana letter ra		
30EA	"""リ"""	30A0..30FF	Katakana	Katakana letter ri		
30EB	"""ル"""	30A0..30FF	Katakana	Katakana letter ru		
30EC	"""レ"""	30A0..30FF	Katakana	Katakana letter re		
30ED	"""ロ"""	30A0..30FF	Katakana	Katakana letter ro		
30EE	"""ヮ"""	30A0..30FF	Katakana	Katakana letter small wa		
30EF	"""ワ"""	30A0..30FF	Katakana	Katakana letter wa		
30F0	"""ヰ"""	30A0..30FF	Katakana	Katakana letter wi		
30F1	"""ヱ"""	30A0..30FF	Katakana	Katakana letter we		
30F2	"""ヲ"""	30A0..30FF	Katakana	Katakana letter wo		
30F3	"""ン"""	30A0..30FF	Katakana	Katakana letter n		
30F4	"""ヴ"""	30A0..30FF	Katakana	Katakana letter vu		
30F5	"""ヵ"""	30A0..30FF	Katakana	Katakana letter small ka		
30F6	"""ヶ"""	30A0..30FF	Katakana	Katakana letter small ke		
30F7	"""ヷ"""	30A0..30FF	Katakana	Katakana letter va		
30F8	"""ヸ"""	30A0..30FF	Katakana	Katakana letter vi		
30F9	"""ヹ"""	30A0..30FF	Katakana	Katakana letter ve		
30FA	"""ヺ"""	30A0..30FF	Katakana	Katakana letter vo		
30FB	"""・"""	30A0..30FF	Katakana	Katakana middle dot		
30FC	"""ー"""	30A0..30FF	Katakana	Katakana-hiragana prolonged sound mark		
30FD	"""ヽ"""	30A0..30FF	Katakana	Katakana iteration mark		
30FE	"""ヾ"""	30A0..30FF	Katakana	Katakana voiced iteration mark		
30FF	"""ヿ"""	30A0..30FF	Katakana	Katakana digraph koto		
