code_point	symbol	block	block_name	name	tab_completion	latex_code
31F0	"""ㇰ"""	31F0..31FF	Katakana Phonetic Extensions	Katakana letter small ku		
31F1	"""ㇱ"""	31F0..31FF	Katakana Phonetic Extensions	Katakana letter small si		
31F2	"""ㇲ"""	31F0..31FF	Katakana Phonetic Extensions	Katakana letter small su		
31F3	"""ㇳ"""	31F0..31FF	Katakana Phonetic Extensions	Katakana letter small to		
31F4	"""ㇴ"""	31F0..31FF	Katakana Phonetic Extensions	Katakana letter small nu		
31F5	"""ㇵ"""	31F0..31FF	Katakana Phonetic Extensions	Katakana letter small ha		
31F6	"""ㇶ"""	31F0..31FF	Katakana Phonetic Extensions	Katakana letter small hi		
31F7	"""ㇷ"""	31F0..31FF	Katakana Phonetic Extensions	Katakana letter small hu		
31F8	"""ㇸ"""	31F0..31FF	Katakana Phonetic Extensions	Katakana letter small he		
31F9	"""ㇹ"""	31F0..31FF	Katakana Phonetic Extensions	Katakana letter small ho		
31FA	"""ㇺ"""	31F0..31FF	Katakana Phonetic Extensions	Katakana letter small mu		
31FB	"""ㇻ"""	31F0..31FF	Katakana Phonetic Extensions	Katakana letter small ra		
31FC	"""ㇼ"""	31F0..31FF	Katakana Phonetic Extensions	Katakana letter small ri		
31FD	"""ㇽ"""	31F0..31FF	Katakana Phonetic Extensions	Katakana letter small ru		
31FE	"""ㇾ"""	31F0..31FF	Katakana Phonetic Extensions	Katakana letter small re		
31FF	"""ㇿ"""	31F0..31FF	Katakana Phonetic Extensions	Katakana letter small ro		
