code_point	symbol	block	block_name	name	tab_completion	latex_code
3200	"""㈀"""	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul kiyeok		
3201	"""㈁"""	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul nieun		
3202	"""㈂"""	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul tikeut		
3203	"""㈃"""	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul rieul		
3204	"""㈄"""	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul mieum		
3205	"""㈅"""	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul pieup		
3206	"""㈆"""	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul sios		
3207	"""㈇"""	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul ieung		
3208	"""㈈"""	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul cieuc		
3209	"""㈉"""	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul chieuch		
320A	"""㈊"""	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul khieukh		
320B	"""㈋"""	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul thieuth		
320C	"""㈌"""	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul phieuph		
320D	"""㈍"""	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul hieuh		
320E	"""㈎"""	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul kiyeok a		
320F	"""㈏"""	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul nieun a		
3210	"""㈐"""	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul tikeut a		
3211	"""㈑"""	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul rieul a		
3212	"""㈒"""	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul mieum a		
3213	"""㈓"""	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul pieup a		
3214	"""㈔"""	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul sios a		
