code_point	symbol	block	block_name	name	tab_completion	latex_code
A000	"""ꀀ"""	A000..A48F	Yi Syllables	Yi syllable it		
A001	"""ꀁ"""	A000..A48F	Yi Syllables	Yi syllable ix		
A002	"""ꀂ"""	A000..A48F	Yi Syllables	Yi syllable i		
A003	"""ꀃ"""	A000..A48F	Yi Syllables	Yi syllable ip		
A004	"""ꀄ"""	A000..A48F	Yi Syllables	Yi syllable iet		
A005	"""ꀅ"""	A000..A48F	Yi Syllables	Yi syllable iex		
A006	"""ꀆ"""	A000..A48F	Yi Syllables	Yi syllable ie		
A007	"""ꀇ"""	A000..A48F	Yi Syllables	Yi syllable iep		
A008	"""ꀈ"""	A000..A48F	Yi Syllables	Yi syllable at		
A009	"""ꀉ"""	A000..A48F	Yi Syllables	Yi syllable ax		
A00A	"""ꀊ"""	A000..A48F	Yi Syllables	Yi syllable a		
A00B	"""ꀋ"""	A000..A48F	Yi Syllables	Yi syllable ap		
A00C	"""ꀌ"""	A000..A48F	Yi Syllables	Yi syllable uox		
A00D	"""ꀍ"""	A000..A48F	Yi Syllables	Yi syllable uo		
A00E	"""ꀎ"""	A000..A48F	Yi Syllables	Yi syllable uop		
A00F	"""ꀏ"""	A000..A48F	Yi Syllables	Yi syllable ot		
A010	"""ꀐ"""	A000..A48F	Yi Syllables	Yi syllable ox		
A011	"""ꀑ"""	A000..A48F	Yi Syllables	Yi syllable o		
A012	"""ꀒ"""	A000..A48F	Yi Syllables	Yi syllable op		
A013	"""ꀓ"""	A000..A48F	Yi Syllables	Yi syllable ex		
A014	"""ꀔ"""	A000..A48F	Yi Syllables	Yi syllable e		
A015	"""ꀕ"""	A000..A48F	Yi Syllables	Yi syllable wu		
A016	"""ꀖ"""	A000..A48F	Yi Syllables	Yi syllable bit		
A017	"""ꀗ"""	A000..A48F	Yi Syllables	Yi syllable bix		
A018	"""ꀘ"""	A000..A48F	Yi Syllables	Yi syllable bi		
A019	"""ꀙ"""	A000..A48F	Yi Syllables	Yi syllable bip		
A01A	"""ꀚ"""	A000..A48F	Yi Syllables	Yi syllable biet		
A01B	"""ꀛ"""	A000..A48F	Yi Syllables	Yi syllable biex		
A01C	"""ꀜ"""	A000..A48F	Yi Syllables	Yi syllable bie		
A01D	"""ꀝ"""	A000..A48F	Yi Syllables	Yi syllable biep		
A01E	"""ꀞ"""	A000..A48F	Yi Syllables	Yi syllable bat		
A01F	"""ꀟ"""	A000..A48F	Yi Syllables	Yi syllable bax		
A020	"""ꀠ"""	A000..A48F	Yi Syllables	Yi syllable ba		
A021	"""ꀡ"""	A000..A48F	Yi Syllables	Yi syllable bap		
A022	"""ꀢ"""	A000..A48F	Yi Syllables	Yi syllable buox		
A023	"""ꀣ"""	A000..A48F	Yi Syllables	Yi syllable buo		
A024	"""ꀤ"""	A000..A48F	Yi Syllables	Yi syllable buop		
A025	"""ꀥ"""	A000..A48F	Yi Syllables	Yi syllable bot		
A026	"""ꀦ"""	A000..A48F	Yi Syllables	Yi syllable box		
A027	"""ꀧ"""	A000..A48F	Yi Syllables	Yi syllable bo		
A028	"""ꀨ"""	A000..A48F	Yi Syllables	Yi syllable bop		
A029	"""ꀩ"""	A000..A48F	Yi Syllables	Yi syllable bex		
A02A	"""ꀪ"""	A000..A48F	Yi Syllables	Yi syllable be		
A02B	"""ꀫ"""	A000..A48F	Yi Syllables	Yi syllable bep		
A02C	"""ꀬ"""	A000..A48F	Yi Syllables	Yi syllable but		
A02D	"""ꀭ"""	A000..A48F	Yi Syllables	Yi syllable bux		
A02E	"""ꀮ"""	A000..A48F	Yi Syllables	Yi syllable bu		
A02F	"""ꀯ"""	A000..A48F	Yi Syllables	Yi syllable bup		
A030	"""ꀰ"""	A000..A48F	Yi Syllables	Yi syllable burx		
A031	"""ꀱ"""	A000..A48F	Yi Syllables	Yi syllable bur		
A032	"""ꀲ"""	A000..A48F	Yi Syllables	Yi syllable byt		
A033	"""ꀳ"""	A000..A48F	Yi Syllables	Yi syllable byx		
A034	"""ꀴ"""	A000..A48F	Yi Syllables	Yi syllable by		
A035	"""ꀵ"""	A000..A48F	Yi Syllables	Yi syllable byp		
A036	"""ꀶ"""	A000..A48F	Yi Syllables	Yi syllable byrx		
A037	"""ꀷ"""	A000..A48F	Yi Syllables	Yi syllable byr		
A038	"""ꀸ"""	A000..A48F	Yi Syllables	Yi syllable pit		
A039	"""ꀹ"""	A000..A48F	Yi Syllables	Yi syllable pix		
A03A	"""ꀺ"""	A000..A48F	Yi Syllables	Yi syllable pi		
A03B	"""ꀻ"""	A000..A48F	Yi Syllables	Yi syllable pip		
A03C	"""ꀼ"""	A000..A48F	Yi Syllables	Yi syllable piex		
A03D	"""ꀽ"""	A000..A48F	Yi Syllables	Yi syllable pie		
A03E	"""ꀾ"""	A000..A48F	Yi Syllables	Yi syllable piep		
A03F	"""ꀿ"""	A000..A48F	Yi Syllables	Yi syllable pat		
A040	"""ꁀ"""	A000..A48F	Yi Syllables	Yi syllable pax		
A041	"""ꁁ"""	A000..A48F	Yi Syllables	Yi syllable pa		
A042	"""ꁂ"""	A000..A48F	Yi Syllables	Yi syllable pap		
