code_point	symbol	block	block_name	name	tab_completion	latex_code
A500	"""ꔀ"""	A500..A63F	Vai	Vai syllable ee		
A501	"""ꔁ"""	A500..A63F	Vai	Vai syllable een		
A502	"""ꔂ"""	A500..A63F	Vai	Vai syllable hee		
A503	"""ꔃ"""	A500..A63F	Vai	Vai syllable wee		
A504	"""ꔄ"""	A500..A63F	Vai	Vai syllable ween		
A505	"""ꔅ"""	A500..A63F	Vai	Vai syllable pee		
A506	"""ꔆ"""	A500..A63F	Vai	Vai syllable bhee		
A507	"""ꔇ"""	A500..A63F	Vai	Vai syllable bee		
A508	"""ꔈ"""	A500..A63F	Vai	Vai syllable mbee		
A509	"""ꔉ"""	A500..A63F	Vai	Vai syllable kpee		
A50A	"""ꔊ"""	A500..A63F	Vai	Vai syllable mgbee		
A50B	"""ꔋ"""	A500..A63F	Vai	Vai syllable gbee		
A50C	"""ꔌ"""	A500..A63F	Vai	Vai syllable fee		
A50D	"""ꔍ"""	A500..A63F	Vai	Vai syllable vee		
A50E	"""ꔎ"""	A500..A63F	Vai	Vai syllable tee		
A50F	"""ꔏ"""	A500..A63F	Vai	Vai syllable thee		
A510	"""ꔐ"""	A500..A63F	Vai	Vai syllable dhee		
A511	"""ꔑ"""	A500..A63F	Vai	Vai syllable dhhee		
A512	"""ꔒ"""	A500..A63F	Vai	Vai syllable lee		
A513	"""ꔓ"""	A500..A63F	Vai	Vai syllable ree		
A514	"""ꔔ"""	A500..A63F	Vai	Vai syllable dee		
A515	"""ꔕ"""	A500..A63F	Vai	Vai syllable ndee		
A516	"""ꔖ"""	A500..A63F	Vai	Vai syllable see		
A517	"""ꔗ"""	A500..A63F	Vai	Vai syllable shee		
A518	"""ꔘ"""	A500..A63F	Vai	Vai syllable zee		
A519	"""ꔙ"""	A500..A63F	Vai	Vai syllable zhee		
A51A	"""ꔚ"""	A500..A63F	Vai	Vai syllable cee		
A51B	"""ꔛ"""	A500..A63F	Vai	Vai syllable jee		
A51C	"""ꔜ"""	A500..A63F	Vai	Vai syllable njee		
A51D	"""ꔝ"""	A500..A63F	Vai	Vai syllable yee		
A51E	"""ꔞ"""	A500..A63F	Vai	Vai syllable kee		
A51F	"""ꔟ"""	A500..A63F	Vai	Vai syllable nggee		
A520	"""ꔠ"""	A500..A63F	Vai	Vai syllable gee		
A521	"""ꔡ"""	A500..A63F	Vai	Vai syllable mee		
A522	"""ꔢ"""	A500..A63F	Vai	Vai syllable nee		
A523	"""ꔣ"""	A500..A63F	Vai	Vai syllable nyee		
A524	"""ꔤ"""	A500..A63F	Vai	Vai syllable i		
A525	"""ꔥ"""	A500..A63F	Vai	Vai syllable in		
A526	"""ꔦ"""	A500..A63F	Vai	Vai syllable hi		
A527	"""ꔧ"""	A500..A63F	Vai	Vai syllable hin		
A528	"""ꔨ"""	A500..A63F	Vai	Vai syllable wi		
A529	"""ꔩ"""	A500..A63F	Vai	Vai syllable win		
A52A	"""ꔪ"""	A500..A63F	Vai	Vai syllable pi		
A52B	"""ꔫ"""	A500..A63F	Vai	Vai syllable bhi		
A52C	"""ꔬ"""	A500..A63F	Vai	Vai syllable bi		
A52D	"""ꔭ"""	A500..A63F	Vai	Vai syllable mbi		
A52E	"""ꔮ"""	A500..A63F	Vai	Vai syllable kpi		
A52F	"""ꔯ"""	A500..A63F	Vai	Vai syllable mgbi		
A530	"""ꔰ"""	A500..A63F	Vai	Vai syllable gbi		
A531	"""ꔱ"""	A500..A63F	Vai	Vai syllable fi		
A532	"""ꔲ"""	A500..A63F	Vai	Vai syllable vi		
A533	"""ꔳ"""	A500..A63F	Vai	Vai syllable ti		
A534	"""ꔴ"""	A500..A63F	Vai	Vai syllable thi		
A535	"""ꔵ"""	A500..A63F	Vai	Vai syllable dhi		
A536	"""ꔶ"""	A500..A63F	Vai	Vai syllable dhhi		
A537	"""ꔷ"""	A500..A63F	Vai	Vai syllable li		
A538	"""ꔸ"""	A500..A63F	Vai	Vai syllable ri		
A539	"""ꔹ"""	A500..A63F	Vai	Vai syllable di		
A53A	"""ꔺ"""	A500..A63F	Vai	Vai syllable ndi		
A53B	"""ꔻ"""	A500..A63F	Vai	Vai syllable si		
A53C	"""ꔼ"""	A500..A63F	Vai	Vai syllable shi		
A53D	"""ꔽ"""	A500..A63F	Vai	Vai syllable zi		
A53E	"""ꔾ"""	A500..A63F	Vai	Vai syllable zhi		
A53F	"""ꔿ"""	A500..A63F	Vai	Vai syllable ci		
A540	"""ꕀ"""	A500..A63F	Vai	Vai syllable ji		
A541	"""ꕁ"""	A500..A63F	Vai	Vai syllable nji		
A542	"""ꕂ"""	A500..A63F	Vai	Vai syllable yi		
A543	"""ꕃ"""	A500..A63F	Vai	Vai syllable ki		
A544	"""ꕄ"""	A500..A63F	Vai	Vai syllable nggi		
A545	"""ꕅ"""	A500..A63F	Vai	Vai syllable gi		
A546	"""ꕆ"""	A500..A63F	Vai	Vai syllable mi		
A547	"""ꕇ"""	A500..A63F	Vai	Vai syllable ni		
A548	"""ꕈ"""	A500..A63F	Vai	Vai syllable nyi		
A549	"""ꕉ"""	A500..A63F	Vai	Vai syllable a		
A54A	"""ꕊ"""	A500..A63F	Vai	Vai syllable an		
A54B	"""ꕋ"""	A500..A63F	Vai	Vai syllable ngan		
A54C	"""ꕌ"""	A500..A63F	Vai	Vai syllable ha		
A54D	"""ꕍ"""	A500..A63F	Vai	Vai syllable han		
A54E	"""ꕎ"""	A500..A63F	Vai	Vai syllable wa		
A54F	"""ꕏ"""	A500..A63F	Vai	Vai syllable wan		
A550	"""ꕐ"""	A500..A63F	Vai	Vai syllable pa		
A551	"""ꕑ"""	A500..A63F	Vai	Vai syllable bha		
A552	"""ꕒ"""	A500..A63F	Vai	Vai syllable ba		
A553	"""ꕓ"""	A500..A63F	Vai	Vai syllable mba		
A554	"""ꕔ"""	A500..A63F	Vai	Vai syllable kpa		
A555	"""ꕕ"""	A500..A63F	Vai	Vai syllable kpan		
A556	"""ꕖ"""	A500..A63F	Vai	Vai syllable mgba		
A557	"""ꕗ"""	A500..A63F	Vai	Vai syllable gba		
A558	"""ꕘ"""	A500..A63F	Vai	Vai syllable fa		
A559	"""ꕙ"""	A500..A63F	Vai	Vai syllable va		
A55A	"""ꕚ"""	A500..A63F	Vai	Vai syllable ta		
A55B	"""ꕛ"""	A500..A63F	Vai	Vai syllable tha		
A55C	"""ꕜ"""	A500..A63F	Vai	Vai syllable dha		
A55D	"""ꕝ"""	A500..A63F	Vai	Vai syllable dhha		
A55E	"""ꕞ"""	A500..A63F	Vai	Vai syllable la		
A55F	"""ꕟ"""	A500..A63F	Vai	Vai syllable ra		
A560	"""ꕠ"""	A500..A63F	Vai	Vai syllable da		
A561	"""ꕡ"""	A500..A63F	Vai	Vai syllable nda		
A562	"""ꕢ"""	A500..A63F	Vai	Vai syllable sa		
A563	"""ꕣ"""	A500..A63F	Vai	Vai syllable sha		
A564	"""ꕤ"""	A500..A63F	Vai	Vai syllable za		
A565	"""ꕥ"""	A500..A63F	Vai	Vai syllable zha		
A566	"""ꕦ"""	A500..A63F	Vai	Vai syllable ca		
A567	"""ꕧ"""	A500..A63F	Vai	Vai syllable ja		
A568	"""ꕨ"""	A500..A63F	Vai	Vai syllable nja		
A569	"""ꕩ"""	A500..A63F	Vai	Vai syllable ya		
A56A	"""ꕪ"""	A500..A63F	Vai	Vai syllable ka		
A56B	"""ꕫ"""	A500..A63F	Vai	Vai syllable kan		
A56C	"""ꕬ"""	A500..A63F	Vai	Vai syllable ngga		
A56D	"""ꕭ"""	A500..A63F	Vai	Vai syllable ga		
A56E	"""ꕮ"""	A500..A63F	Vai	Vai syllable ma		
A56F	"""ꕯ"""	A500..A63F	Vai	Vai syllable na		
A570	"""ꕰ"""	A500..A63F	Vai	Vai syllable nya		
A571	"""ꕱ"""	A500..A63F	Vai	Vai syllable oo		
A572	"""ꕲ"""	A500..A63F	Vai	Vai syllable oon		
A573	"""ꕳ"""	A500..A63F	Vai	Vai syllable hoo		
A574	"""ꕴ"""	A500..A63F	Vai	Vai syllable woo		
A575	"""ꕵ"""	A500..A63F	Vai	Vai syllable woon		
A576	"""ꕶ"""	A500..A63F	Vai	Vai syllable poo		
A577	"""ꕷ"""	A500..A63F	Vai	Vai syllable bhoo		
A578	"""ꕸ"""	A500..A63F	Vai	Vai syllable boo		
A579	"""ꕹ"""	A500..A63F	Vai	Vai syllable mboo		
A57A	"""ꕺ"""	A500..A63F	Vai	Vai syllable kpoo		
A57B	"""ꕻ"""	A500..A63F	Vai	Vai syllable mgboo		
A57C	"""ꕼ"""	A500..A63F	Vai	Vai syllable gboo		
A57D	"""ꕽ"""	A500..A63F	Vai	Vai syllable foo		
