code_point	symbol	block	block_name	name	tab_completion	latex_code
A640	"""Ꙁ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter zemlya		
A641	"""ꙁ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter zemlya		
A642	"""Ꙃ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter dzelo		
A643	"""ꙃ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter dzelo		
A644	"""Ꙅ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter reversed dze		
A645	"""ꙅ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter reversed dze		
A646	"""Ꙇ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter iota		
A647	"""ꙇ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter iota		
A648	"""Ꙉ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter djerv		
A649	"""ꙉ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter djerv		
A64A	"""Ꙋ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter monograph uk		
A64B	"""ꙋ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter monograph uk		
A64C	"""Ꙍ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter broad omega		
A64D	"""ꙍ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter broad omega		
A64E	"""Ꙏ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter neutral yer		
A64F	"""ꙏ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter neutral yer		
A650	"""Ꙑ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter yeru with back yer		
A651	"""ꙑ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter yeru with back yer		
A652	"""Ꙓ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter iotified yat		
A653	"""ꙓ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter iotified yat		
A654	"""Ꙕ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter reversed yu		
A655	"""ꙕ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter reversed yu		
A656	"""Ꙗ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter iotified a		
A657	"""ꙗ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter iotified a		
A658	"""Ꙙ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter closed little yus		
A659	"""ꙙ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter closed little yus		
A65A	"""Ꙛ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter blended yus		
A65B	"""ꙛ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter blended yus		
A65C	"""Ꙝ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter iotified closed little yus		
A65D	"""ꙝ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter iotified closed little yus		
A65E	"""Ꙟ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter yn		
A65F	"""ꙟ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter yn		
A660	"""Ꙡ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter reversed tse		
A661	"""ꙡ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter reversed tse		
A662	"""Ꙣ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter soft de		
A663	"""ꙣ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter soft de		
A664	"""Ꙥ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter soft el		
A665	"""ꙥ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter soft el		
A666	"""Ꙧ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter soft em		
A667	"""ꙧ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter soft em		
A668	"""Ꙩ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter monocular o		
A669	"""ꙩ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter monocular o		
A66A	"""Ꙫ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter binocular o		
A66B	"""ꙫ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter binocular o		
A66C	"""Ꙭ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter double monocular o		
A66D	"""ꙭ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter double monocular o		
A66E	"""ꙮ"""	A640..A69F	Cyrillic Extended-B	Cyrillic letter multiocular o		
A66F	"""꙯"""	A640..A69F	Cyrillic Extended-B	Combining cyrillic vzmet		
A670	"""꙰"""	A640..A69F	Cyrillic Extended-B	Combining cyrillic ten millions sign		
A671	"""꙱"""	A640..A69F	Cyrillic Extended-B	Combining cyrillic hundred millions sign		
A672	"""꙲"""	A640..A69F	Cyrillic Extended-B	Combining cyrillic thousand millions sign		
A673	"""꙳"""	A640..A69F	Cyrillic Extended-B	Slavonic asterisk		
A674	"""ꙴ"""	A640..A69F	Cyrillic Extended-B	Combining cyrillic letter ukrainian ie		
A675	"""ꙵ"""	A640..A69F	Cyrillic Extended-B	Combining cyrillic letter i		
A676	"""ꙶ"""	A640..A69F	Cyrillic Extended-B	Combining cyrillic letter yi		
A677	"""ꙷ"""	A640..A69F	Cyrillic Extended-B	Combining cyrillic letter u		
A678	"""ꙸ"""	A640..A69F	Cyrillic Extended-B	Combining cyrillic letter hard sign		
A679	"""ꙹ"""	A640..A69F	Cyrillic Extended-B	Combining cyrillic letter yeru		
A67A	"""ꙺ"""	A640..A69F	Cyrillic Extended-B	Combining cyrillic letter soft sign		
A67B	"""ꙻ"""	A640..A69F	Cyrillic Extended-B	Combining cyrillic letter omega		
A67C	"""꙼"""	A640..A69F	Cyrillic Extended-B	Combining cyrillic kavyka		
A67D	"""꙽"""	A640..A69F	Cyrillic Extended-B	Combining cyrillic payerok		
A67E	"""꙾"""	A640..A69F	Cyrillic Extended-B	Cyrillic kavyka		
A67F	"""ꙿ"""	A640..A69F	Cyrillic Extended-B	Cyrillic payerok		
A680	"""Ꚁ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter dwe		
A681	"""ꚁ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter dwe		
A682	"""Ꚃ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter dzwe		
A683	"""ꚃ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter dzwe		
A684	"""Ꚅ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter zhwe		
A685	"""ꚅ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter zhwe		
A686	"""Ꚇ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter cche		
A687	"""ꚇ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter cche		
A688	"""Ꚉ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter dzze		
A689	"""ꚉ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter dzze		
A68A	"""Ꚋ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter te with middle hook		
A68B	"""ꚋ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter te with middle hook		
A68C	"""Ꚍ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter twe		
A68D	"""ꚍ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter twe		
A68E	"""Ꚏ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter tswe		
A68F	"""ꚏ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter tswe		
A690	"""Ꚑ"""	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter tsse		
A691	"""ꚑ"""	A640..A69F	Cyrillic Extended-B	Cyrillic small letter tsse		
