code_point	symbol	block	block_name	name	tab_completion	latex_code
A900	"""꤀"""	A900..A92F	Kayah Li	Kayah li digit zero		
A901	"""꤁"""	A900..A92F	Kayah Li	Kayah li digit one		
A902	"""꤂"""	A900..A92F	Kayah Li	Kayah li digit two		
A903	"""꤃"""	A900..A92F	Kayah Li	Kayah li digit three		
A904	"""꤄"""	A900..A92F	Kayah Li	Kayah li digit four		
A905	"""꤅"""	A900..A92F	Kayah Li	Kayah li digit five		
A906	"""꤆"""	A900..A92F	Kayah Li	Kayah li digit six		
A907	"""꤇"""	A900..A92F	Kayah Li	Kayah li digit seven		
A908	"""꤈"""	A900..A92F	Kayah Li	Kayah li digit eight		
A909	"""꤉"""	A900..A92F	Kayah Li	Kayah li digit nine		
A90A	"""ꤊ"""	A900..A92F	Kayah Li	Kayah li letter ka		
A90B	"""ꤋ"""	A900..A92F	Kayah Li	Kayah li letter kha		
A90C	"""ꤌ"""	A900..A92F	Kayah Li	Kayah li letter ga		
A90D	"""ꤍ"""	A900..A92F	Kayah Li	Kayah li letter nga		
A90E	"""ꤎ"""	A900..A92F	Kayah Li	Kayah li letter sa		
A90F	"""ꤏ"""	A900..A92F	Kayah Li	Kayah li letter sha		
A910	"""ꤐ"""	A900..A92F	Kayah Li	Kayah li letter za		
A911	"""ꤑ"""	A900..A92F	Kayah Li	Kayah li letter nya		
A912	"""ꤒ"""	A900..A92F	Kayah Li	Kayah li letter ta		
A913	"""ꤓ"""	A900..A92F	Kayah Li	Kayah li letter hta		
A914	"""ꤔ"""	A900..A92F	Kayah Li	Kayah li letter na		
A915	"""ꤕ"""	A900..A92F	Kayah Li	Kayah li letter pa		
A916	"""ꤖ"""	A900..A92F	Kayah Li	Kayah li letter pha		
A917	"""ꤗ"""	A900..A92F	Kayah Li	Kayah li letter ma		
A918	"""ꤘ"""	A900..A92F	Kayah Li	Kayah li letter da		
A919	"""ꤙ"""	A900..A92F	Kayah Li	Kayah li letter ba		
A91A	"""ꤚ"""	A900..A92F	Kayah Li	Kayah li letter ra		
A91B	"""ꤛ"""	A900..A92F	Kayah Li	Kayah li letter ya		
A91C	"""ꤜ"""	A900..A92F	Kayah Li	Kayah li letter la		
A91D	"""ꤝ"""	A900..A92F	Kayah Li	Kayah li letter wa		
A91E	"""ꤞ"""	A900..A92F	Kayah Li	Kayah li letter tha		
A91F	"""ꤟ"""	A900..A92F	Kayah Li	Kayah li letter ha		
A920	"""ꤠ"""	A900..A92F	Kayah Li	Kayah li letter va		
A921	"""ꤡ"""	A900..A92F	Kayah Li	Kayah li letter ca		
A922	"""ꤢ"""	A900..A92F	Kayah Li	Kayah li letter a		
A923	"""ꤣ"""	A900..A92F	Kayah Li	Kayah li letter oe		
A924	"""ꤤ"""	A900..A92F	Kayah Li	Kayah li letter i		
A925	"""ꤥ"""	A900..A92F	Kayah Li	Kayah li letter oo		
A926	"""ꤦ"""	A900..A92F	Kayah Li	Kayah li vowel ue		
A927	"""ꤧ"""	A900..A92F	Kayah Li	Kayah li vowel e		
A928	"""ꤨ"""	A900..A92F	Kayah Li	Kayah li vowel u		
A929	"""ꤩ"""	A900..A92F	Kayah Li	Kayah li vowel ee		
A92A	"""ꤪ"""	A900..A92F	Kayah Li	Kayah li vowel o		
A92B	"""꤫"""	A900..A92F	Kayah Li	Kayah li tone plophu		
A92C	"""꤬"""	A900..A92F	Kayah Li	Kayah li tone calya		
A92D	"""꤭"""	A900..A92F	Kayah Li	Kayah li tone calya plophu		
A92E	"""꤮"""	A900..A92F	Kayah Li	Kayah li sign cwi		
A92F	"""꤯"""	A900..A92F	Kayah Li	Kayah li sign shya		
