code_point	symbol	block	block_name	name	tab_completion	latex_code
A9E0	"""ꧠ"""	A9E0..A9FF	Myanmar Extended-B	Myanmar letter shan gha		
A9E1	"""ꧡ"""	A9E0..A9FF	Myanmar Extended-B	Myanmar letter shan cha		
A9E2	"""ꧢ"""	A9E0..A9FF	Myanmar Extended-B	Myanmar letter shan jha		
A9E3	"""ꧣ"""	A9E0..A9FF	Myanmar Extended-B	Myanmar letter shan nna		
A9E4	"""ꧤ"""	A9E0..A9FF	Myanmar Extended-B	Myanmar letter shan bha		
A9E5	"""ꧥ"""	A9E0..A9FF	Myanmar Extended-B	Myanmar sign shan saw		
A9E6	"""ꧦ"""	A9E0..A9FF	Myanmar Extended-B	Myanmar modifier letter shan reduplication		
A9E7	"""ꧧ"""	A9E0..A9FF	Myanmar Extended-B	Myanmar letter tai laing nya		
A9E8	"""ꧨ"""	A9E0..A9FF	Myanmar Extended-B	Myanmar letter tai laing fa		
A9E9	"""ꧩ"""	A9E0..A9FF	Myanmar Extended-B	Myanmar letter tai laing ga		
A9EA	"""ꧪ"""	A9E0..A9FF	Myanmar Extended-B	Myanmar letter tai laing gha		
A9EB	"""ꧫ"""	A9E0..A9FF	Myanmar Extended-B	Myanmar letter tai laing ja		
A9EC	"""ꧬ"""	A9E0..A9FF	Myanmar Extended-B	Myanmar letter tai laing jha		
A9ED	"""ꧭ"""	A9E0..A9FF	Myanmar Extended-B	Myanmar letter tai laing dda		
A9EE	"""ꧮ"""	A9E0..A9FF	Myanmar Extended-B	Myanmar letter tai laing ddha		
A9EF	"""ꧯ"""	A9E0..A9FF	Myanmar Extended-B	Myanmar letter tai laing nna		
A9F0	"""꧰"""	A9E0..A9FF	Myanmar Extended-B	Myanmar tai laing digit zero		
A9F1	"""꧱"""	A9E0..A9FF	Myanmar Extended-B	Myanmar tai laing digit one		
A9F2	"""꧲"""	A9E0..A9FF	Myanmar Extended-B	Myanmar tai laing digit two		
A9F3	"""꧳"""	A9E0..A9FF	Myanmar Extended-B	Myanmar tai laing digit three		
A9F4	"""꧴"""	A9E0..A9FF	Myanmar Extended-B	Myanmar tai laing digit four		
A9F5	"""꧵"""	A9E0..A9FF	Myanmar Extended-B	Myanmar tai laing digit five		
A9F6	"""꧶"""	A9E0..A9FF	Myanmar Extended-B	Myanmar tai laing digit six		
A9F7	"""꧷"""	A9E0..A9FF	Myanmar Extended-B	Myanmar tai laing digit seven		
A9F8	"""꧸"""	A9E0..A9FF	Myanmar Extended-B	Myanmar tai laing digit eight		
A9F9	"""꧹"""	A9E0..A9FF	Myanmar Extended-B	Myanmar tai laing digit nine		
A9FA	"""ꧺ"""	A9E0..A9FF	Myanmar Extended-B	Myanmar letter tai laing lla		
A9FB	"""ꧻ"""	A9E0..A9FF	Myanmar Extended-B	Myanmar letter tai laing da		
A9FC	"""ꧼ"""	A9E0..A9FF	Myanmar Extended-B	Myanmar letter tai laing dha		
A9FD	"""ꧽ"""	A9E0..A9FF	Myanmar Extended-B	Myanmar letter tai laing ba		
A9FE	"""ꧾ"""	A9E0..A9FF	Myanmar Extended-B	Myanmar letter tai laing bha		
