code_point	symbol	block	block_name	name	tab_completion	latex_code
AB30	"""ꬰ"""	AB30..AB6F	Latin Extended-E	Latin small letter barred alpha		
AB31	"""ꬱ"""	AB30..AB6F	Latin Extended-E	Latin small letter a reversed-schwa		
AB32	"""ꬲ"""	AB30..AB6F	Latin Extended-E	Latin small letter blackletter e		
AB33	"""ꬳ"""	AB30..AB6F	Latin Extended-E	Latin small letter barred e		
AB34	"""ꬴ"""	AB30..AB6F	Latin Extended-E	Latin small letter e with flourish		
AB35	"""ꬵ"""	AB30..AB6F	Latin Extended-E	Latin small letter lenis f		
AB36	"""ꬶ"""	AB30..AB6F	Latin Extended-E	Latin small letter script g with crossed-tail		
AB37	"""ꬷ"""	AB30..AB6F	Latin Extended-E	Latin small letter l with inverted lazy s		
AB38	"""ꬸ"""	AB30..AB6F	Latin Extended-E	Latin small letter l with double middle tilde		
AB39	"""ꬹ"""	AB30..AB6F	Latin Extended-E	Latin small letter l with middle ring		
AB3A	"""ꬺ"""	AB30..AB6F	Latin Extended-E	Latin small letter m with crossed-tail		
AB3B	"""ꬻ"""	AB30..AB6F	Latin Extended-E	Latin small letter n with crossed-tail		
AB3C	"""ꬼ"""	AB30..AB6F	Latin Extended-E	Latin small letter eng with crossed-tail		
AB3D	"""ꬽ"""	AB30..AB6F	Latin Extended-E	Latin small letter blackletter o		
AB3E	"""ꬾ"""	AB30..AB6F	Latin Extended-E	Latin small letter blackletter o with stroke		
AB3F	"""ꬿ"""	AB30..AB6F	Latin Extended-E	Latin small letter open o with stroke		
AB40	"""ꭀ"""	AB30..AB6F	Latin Extended-E	Latin small letter inverted oe		
AB41	"""ꭁ"""	AB30..AB6F	Latin Extended-E	Latin small letter turned oe with stroke		
AB42	"""ꭂ"""	AB30..AB6F	Latin Extended-E	Latin small letter turned oe with horizontal stroke		
AB43	"""ꭃ"""	AB30..AB6F	Latin Extended-E	Latin small letter turned o open-o		
AB44	"""ꭄ"""	AB30..AB6F	Latin Extended-E	Latin small letter turned o open-o with stroke		
AB45	"""ꭅ"""	AB30..AB6F	Latin Extended-E	Latin small letter stirrup r		
AB46	"""ꭆ"""	AB30..AB6F	Latin Extended-E	Latin letter small capital r with right leg		
AB47	"""ꭇ"""	AB30..AB6F	Latin Extended-E	Latin small letter r without handle		
AB48	"""ꭈ"""	AB30..AB6F	Latin Extended-E	Latin small letter double r		
AB49	"""ꭉ"""	AB30..AB6F	Latin Extended-E	Latin small letter r with crossed-tail		
AB4A	"""ꭊ"""	AB30..AB6F	Latin Extended-E	Latin small letter double r with crossed-tail		
AB4B	"""ꭋ"""	AB30..AB6F	Latin Extended-E	Latin small letter script r		
AB4C	"""ꭌ"""	AB30..AB6F	Latin Extended-E	Latin small letter script r with ring		
AB4D	"""ꭍ"""	AB30..AB6F	Latin Extended-E	Latin small letter baseline esh		
AB4E	"""ꭎ"""	AB30..AB6F	Latin Extended-E	Latin small letter u with short right leg		
AB4F	"""ꭏ"""	AB30..AB6F	Latin Extended-E	Latin small letter u bar with short right leg		
AB50	"""ꭐ"""	AB30..AB6F	Latin Extended-E	Latin small letter ui		
AB51	"""ꭑ"""	AB30..AB6F	Latin Extended-E	Latin small letter turned ui		
AB52	"""ꭒ"""	AB30..AB6F	Latin Extended-E	Latin small letter u with left hook		
AB53	"""ꭓ"""	AB30..AB6F	Latin Extended-E	Latin small letter chi		
AB54	"""ꭔ"""	AB30..AB6F	Latin Extended-E	Latin small letter chi with low right ring		
AB55	"""ꭕ"""	AB30..AB6F	Latin Extended-E	Latin small letter chi with low left serif		
AB56	"""ꭖ"""	AB30..AB6F	Latin Extended-E	Latin small letter x with low right ring		
AB57	"""ꭗ"""	AB30..AB6F	Latin Extended-E	Latin small letter x with long left leg		
AB58	"""ꭘ"""	AB30..AB6F	Latin Extended-E	Latin small letter x with long left leg and low right ring		
AB59	"""ꭙ"""	AB30..AB6F	Latin Extended-E	Latin small letter x with long left leg with serif		
AB5A	"""ꭚ"""	AB30..AB6F	Latin Extended-E	Latin small letter y with short right leg		
AB5B	"""꭛"""	AB30..AB6F	Latin Extended-E	Modifier breve with inverted breve		
AB5C	"""ꭜ"""	AB30..AB6F	Latin Extended-E	Modifier letter small heng		
AB5D	"""ꭝ"""	AB30..AB6F	Latin Extended-E	Modifier letter small l with inverted lazy s		
AB5E	"""ꭞ"""	AB30..AB6F	Latin Extended-E	Modifier letter small l with middle tilde		
AB5F	"""ꭟ"""	AB30..AB6F	Latin Extended-E	Modifier letter small u with left hook		
AB60	"""ꭠ"""	AB30..AB6F	Latin Extended-E	Latin small letter sakha yat		
AB61	"""ꭡ"""	AB30..AB6F	Latin Extended-E	Latin small letter iotified e		
AB62	"""ꭢ"""	AB30..AB6F	Latin Extended-E	Latin small letter open oe		
AB63	"""ꭣ"""	AB30..AB6F	Latin Extended-E	Latin small letter uo		
AB64	"""ꭤ"""	AB30..AB6F	Latin Extended-E	Latin small letter inverted alpha		
AB65	"""ꭥ"""	AB30..AB6F	Latin Extended-E	Greek letter small capital omega		
AB66	"""ꭦ"""	AB30..AB6F	Latin Extended-E	Latin small letter dz digraph with retroflex hook		
AB67	"""ꭧ"""	AB30..AB6F	Latin Extended-E	Latin small letter ts digraph with retroflex hook		
AB68	"""ꭨ"""	AB30..AB6F	Latin Extended-E	Latin small letter turned r with middle tilde		
AB69	"""ꭩ"""	AB30..AB6F	Latin Extended-E	Modifier letter small turned w		
AB6A	"""꭪"""	AB30..AB6F	Latin Extended-E	Modifier letter left tack		
AB6B	"""꭫"""	AB30..AB6F	Latin Extended-E	Modifier letter right tack		
