code_point	symbol	block	block_name	name	tab_completion	latex_code
10280	"""𐊀"""	10280..1029F	Lycian	Lycian letter a		
10281	"""𐊁"""	10280..1029F	Lycian	Lycian letter e		
10282	"""𐊂"""	10280..1029F	Lycian	Lycian letter b		
10283	"""𐊃"""	10280..1029F	Lycian	Lycian letter bh		
10284	"""𐊄"""	10280..1029F	Lycian	Lycian letter g		
10285	"""𐊅"""	10280..1029F	Lycian	Lycian letter d		
10286	"""𐊆"""	10280..1029F	Lycian	Lycian letter i		
10287	"""𐊇"""	10280..1029F	Lycian	Lycian letter w		
10288	"""𐊈"""	10280..1029F	Lycian	Lycian letter z		
10289	"""𐊉"""	10280..1029F	Lycian	Lycian letter th		
1028A	"""𐊊"""	10280..1029F	Lycian	Lycian letter j		
1028B	"""𐊋"""	10280..1029F	Lycian	Lycian letter k		
1028C	"""𐊌"""	10280..1029F	Lycian	Lycian letter q		
1028D	"""𐊍"""	10280..1029F	Lycian	Lycian letter l		
1028E	"""𐊎"""	10280..1029F	Lycian	Lycian letter m		
1028F	"""𐊏"""	10280..1029F	Lycian	Lycian letter n		
10290	"""𐊐"""	10280..1029F	Lycian	Lycian letter mm		
10291	"""𐊑"""	10280..1029F	Lycian	Lycian letter nn		
10292	"""𐊒"""	10280..1029F	Lycian	Lycian letter u		
10293	"""𐊓"""	10280..1029F	Lycian	Lycian letter p		
10294	"""𐊔"""	10280..1029F	Lycian	Lycian letter kk		
10295	"""𐊕"""	10280..1029F	Lycian	Lycian letter r		
10296	"""𐊖"""	10280..1029F	Lycian	Lycian letter s		
10297	"""𐊗"""	10280..1029F	Lycian	Lycian letter t		
10298	"""𐊘"""	10280..1029F	Lycian	Lycian letter tt		
10299	"""𐊙"""	10280..1029F	Lycian	Lycian letter an		
1029A	"""𐊚"""	10280..1029F	Lycian	Lycian letter en		
1029B	"""𐊛"""	10280..1029F	Lycian	Lycian letter h		
1029C	"""𐊜"""	10280..1029F	Lycian	Lycian letter x		
