code_point	symbol	block	block_name	name	tab_completion	latex_code
102E0	"""𐋠"""	102E0..102FF	Coptic Epact Numbers	Coptic epact thousands mark		
102E1	"""𐋡"""	102E0..102FF	Coptic Epact Numbers	Coptic epact digit one		
102E2	"""𐋢"""	102E0..102FF	Coptic Epact Numbers	Coptic epact digit two		
102E3	"""𐋣"""	102E0..102FF	Coptic Epact Numbers	Coptic epact digit three		
102E4	"""𐋤"""	102E0..102FF	Coptic Epact Numbers	Coptic epact digit four		
102E5	"""𐋥"""	102E0..102FF	Coptic Epact Numbers	Coptic epact digit five		
102E6	"""𐋦"""	102E0..102FF	Coptic Epact Numbers	Coptic epact digit six		
102E7	"""𐋧"""	102E0..102FF	Coptic Epact Numbers	Coptic epact digit seven		
102E8	"""𐋨"""	102E0..102FF	Coptic Epact Numbers	Coptic epact digit eight		
102E9	"""𐋩"""	102E0..102FF	Coptic Epact Numbers	Coptic epact digit nine		
102EA	"""𐋪"""	102E0..102FF	Coptic Epact Numbers	Coptic epact number ten		
102EB	"""𐋫"""	102E0..102FF	Coptic Epact Numbers	Coptic epact number twenty		
102EC	"""𐋬"""	102E0..102FF	Coptic Epact Numbers	Coptic epact number thirty		
102ED	"""𐋭"""	102E0..102FF	Coptic Epact Numbers	Coptic epact number forty		
102EE	"""𐋮"""	102E0..102FF	Coptic Epact Numbers	Coptic epact number fifty		
102EF	"""𐋯"""	102E0..102FF	Coptic Epact Numbers	Coptic epact number sixty		
102F0	"""𐋰"""	102E0..102FF	Coptic Epact Numbers	Coptic epact number seventy		
102F1	"""𐋱"""	102E0..102FF	Coptic Epact Numbers	Coptic epact number eighty		
102F2	"""𐋲"""	102E0..102FF	Coptic Epact Numbers	Coptic epact number ninety		
102F3	"""𐋳"""	102E0..102FF	Coptic Epact Numbers	Coptic epact number one hundred		
102F4	"""𐋴"""	102E0..102FF	Coptic Epact Numbers	Coptic epact number two hundred		
102F5	"""𐋵"""	102E0..102FF	Coptic Epact Numbers	Coptic epact number three hundred		
102F6	"""𐋶"""	102E0..102FF	Coptic Epact Numbers	Coptic epact number four hundred		
102F7	"""𐋷"""	102E0..102FF	Coptic Epact Numbers	Coptic epact number five hundred		
102F8	"""𐋸"""	102E0..102FF	Coptic Epact Numbers	Coptic epact number six hundred		
102F9	"""𐋹"""	102E0..102FF	Coptic Epact Numbers	Coptic epact number seven hundred		
102FA	"""𐋺"""	102E0..102FF	Coptic Epact Numbers	Coptic epact number eight hundred		
102FB	"""𐋻"""	102E0..102FF	Coptic Epact Numbers	Coptic epact number nine hundred		
