code_point	symbol	block	block_name	name	tab_completion	latex_code
10570	"""𐕰"""	10570..105BF	Vithkuqi	Vithkuqi capital letter a		
10571	"""𐕱"""	10570..105BF	Vithkuqi	Vithkuqi capital letter bbe		
10572	"""𐕲"""	10570..105BF	Vithkuqi	Vithkuqi capital letter be		
10573	"""𐕳"""	10570..105BF	Vithkuqi	Vithkuqi capital letter ce		
10574	"""𐕴"""	10570..105BF	Vithkuqi	Vithkuqi capital letter che		
10575	"""𐕵"""	10570..105BF	Vithkuqi	Vithkuqi capital letter de		
10576	"""𐕶"""	10570..105BF	Vithkuqi	Vithkuqi capital letter dhe		
10577	"""𐕷"""	10570..105BF	Vithkuqi	Vithkuqi capital letter ei		
10578	"""𐕸"""	10570..105BF	Vithkuqi	Vithkuqi capital letter e		
10579	"""𐕹"""	10570..105BF	Vithkuqi	Vithkuqi capital letter fe		
1057A	"""𐕺"""	10570..105BF	Vithkuqi	Vithkuqi capital letter ga		
1057C	"""𐕼"""	10570..105BF	Vithkuqi	Vithkuqi capital letter ha		
1057D	"""𐕽"""	10570..105BF	Vithkuqi	Vithkuqi capital letter hha		
1057E	"""𐕾"""	10570..105BF	Vithkuqi	Vithkuqi capital letter i		
1057F	"""𐕿"""	10570..105BF	Vithkuqi	Vithkuqi capital letter ije		
10580	"""𐖀"""	10570..105BF	Vithkuqi	Vithkuqi capital letter je		
10581	"""𐖁"""	10570..105BF	Vithkuqi	Vithkuqi capital letter ka		
10582	"""𐖂"""	10570..105BF	Vithkuqi	Vithkuqi capital letter la		
10583	"""𐖃"""	10570..105BF	Vithkuqi	Vithkuqi capital letter lla		
10584	"""𐖄"""	10570..105BF	Vithkuqi	Vithkuqi capital letter me		
10585	"""𐖅"""	10570..105BF	Vithkuqi	Vithkuqi capital letter ne		
10586	"""𐖆"""	10570..105BF	Vithkuqi	Vithkuqi capital letter nje		
10587	"""𐖇"""	10570..105BF	Vithkuqi	Vithkuqi capital letter o		
10588	"""𐖈"""	10570..105BF	Vithkuqi	Vithkuqi capital letter pe		
10589	"""𐖉"""	10570..105BF	Vithkuqi	Vithkuqi capital letter qa		
1058A	"""𐖊"""	10570..105BF	Vithkuqi	Vithkuqi capital letter re		
1058C	"""𐖌"""	10570..105BF	Vithkuqi	Vithkuqi capital letter se		
1058D	"""𐖍"""	10570..105BF	Vithkuqi	Vithkuqi capital letter she		
1058E	"""𐖎"""	10570..105BF	Vithkuqi	Vithkuqi capital letter te		
1058F	"""𐖏"""	10570..105BF	Vithkuqi	Vithkuqi capital letter the		
10590	"""𐖐"""	10570..105BF	Vithkuqi	Vithkuqi capital letter u		
10591	"""𐖑"""	10570..105BF	Vithkuqi	Vithkuqi capital letter ve		
10592	"""𐖒"""	10570..105BF	Vithkuqi	Vithkuqi capital letter xe		
10594	"""𐖔"""	10570..105BF	Vithkuqi	Vithkuqi capital letter y		
10595	"""𐖕"""	10570..105BF	Vithkuqi	Vithkuqi capital letter ze		
10597	"""𐖗"""	10570..105BF	Vithkuqi	Vithkuqi small letter a		
10598	"""𐖘"""	10570..105BF	Vithkuqi	Vithkuqi small letter bbe		
10599	"""𐖙"""	10570..105BF	Vithkuqi	Vithkuqi small letter be		
1059A	"""𐖚"""	10570..105BF	Vithkuqi	Vithkuqi small letter ce		
1059B	"""𐖛"""	10570..105BF	Vithkuqi	Vithkuqi small letter che		
1059C	"""𐖜"""	10570..105BF	Vithkuqi	Vithkuqi small letter de		
1059D	"""𐖝"""	10570..105BF	Vithkuqi	Vithkuqi small letter dhe		
1059E	"""𐖞"""	10570..105BF	Vithkuqi	Vithkuqi small letter ei		
1059F	"""𐖟"""	10570..105BF	Vithkuqi	Vithkuqi small letter e		
