code_point	symbol	block	block_name	name	tab_completion	latex_code
10800	"""𐠀"""	10800..1083F	Cypriot Syllabary	Cypriot syllable a		
10801	"""𐠁"""	10800..1083F	Cypriot Syllabary	Cypriot syllable e		
10802	"""𐠂"""	10800..1083F	Cypriot Syllabary	Cypriot syllable i		
10803	"""𐠃"""	10800..1083F	Cypriot Syllabary	Cypriot syllable o		
10804	"""𐠄"""	10800..1083F	Cypriot Syllabary	Cypriot syllable u		
10805	"""𐠅"""	10800..1083F	Cypriot Syllabary	Cypriot syllable ja		
10808	"""𐠈"""	10800..1083F	Cypriot Syllabary	Cypriot syllable jo		
1080A	"""𐠊"""	10800..1083F	Cypriot Syllabary	Cypriot syllable ka		
1080B	"""𐠋"""	10800..1083F	Cypriot Syllabary	Cypriot syllable ke		
1080C	"""𐠌"""	10800..1083F	Cypriot Syllabary	Cypriot syllable ki		
1080D	"""𐠍"""	10800..1083F	Cypriot Syllabary	Cypriot syllable ko		
1080E	"""𐠎"""	10800..1083F	Cypriot Syllabary	Cypriot syllable ku		
1080F	"""𐠏"""	10800..1083F	Cypriot Syllabary	Cypriot syllable la		
10810	"""𐠐"""	10800..1083F	Cypriot Syllabary	Cypriot syllable le		
10811	"""𐠑"""	10800..1083F	Cypriot Syllabary	Cypriot syllable li		
10812	"""𐠒"""	10800..1083F	Cypriot Syllabary	Cypriot syllable lo		
10813	"""𐠓"""	10800..1083F	Cypriot Syllabary	Cypriot syllable lu		
10814	"""𐠔"""	10800..1083F	Cypriot Syllabary	Cypriot syllable ma		
10815	"""𐠕"""	10800..1083F	Cypriot Syllabary	Cypriot syllable me		
10816	"""𐠖"""	10800..1083F	Cypriot Syllabary	Cypriot syllable mi		
10817	"""𐠗"""	10800..1083F	Cypriot Syllabary	Cypriot syllable mo		
10818	"""𐠘"""	10800..1083F	Cypriot Syllabary	Cypriot syllable mu		
10819	"""𐠙"""	10800..1083F	Cypriot Syllabary	Cypriot syllable na		
1081A	"""𐠚"""	10800..1083F	Cypriot Syllabary	Cypriot syllable ne		
1081B	"""𐠛"""	10800..1083F	Cypriot Syllabary	Cypriot syllable ni		
1081C	"""𐠜"""	10800..1083F	Cypriot Syllabary	Cypriot syllable no		
1081D	"""𐠝"""	10800..1083F	Cypriot Syllabary	Cypriot syllable nu		
1081E	"""𐠞"""	10800..1083F	Cypriot Syllabary	Cypriot syllable pa		
1081F	"""𐠟"""	10800..1083F	Cypriot Syllabary	Cypriot syllable pe		
10820	"""𐠠"""	10800..1083F	Cypriot Syllabary	Cypriot syllable pi		
10821	"""𐠡"""	10800..1083F	Cypriot Syllabary	Cypriot syllable po		
10822	"""𐠢"""	10800..1083F	Cypriot Syllabary	Cypriot syllable pu		
10823	"""𐠣"""	10800..1083F	Cypriot Syllabary	Cypriot syllable ra		
10824	"""𐠤"""	10800..1083F	Cypriot Syllabary	Cypriot syllable re		
10825	"""𐠥"""	10800..1083F	Cypriot Syllabary	Cypriot syllable ri		
10826	"""𐠦"""	10800..1083F	Cypriot Syllabary	Cypriot syllable ro		
10827	"""𐠧"""	10800..1083F	Cypriot Syllabary	Cypriot syllable ru		
10828	"""𐠨"""	10800..1083F	Cypriot Syllabary	Cypriot syllable sa		
10829	"""𐠩"""	10800..1083F	Cypriot Syllabary	Cypriot syllable se		
1082A	"""𐠪"""	10800..1083F	Cypriot Syllabary	Cypriot syllable si		
1082B	"""𐠫"""	10800..1083F	Cypriot Syllabary	Cypriot syllable so		
1082C	"""𐠬"""	10800..1083F	Cypriot Syllabary	Cypriot syllable su		
1082D	"""𐠭"""	10800..1083F	Cypriot Syllabary	Cypriot syllable ta		
1082E	"""𐠮"""	10800..1083F	Cypriot Syllabary	Cypriot syllable te		
1082F	"""𐠯"""	10800..1083F	Cypriot Syllabary	Cypriot syllable ti		
10830	"""𐠰"""	10800..1083F	Cypriot Syllabary	Cypriot syllable to		
10831	"""𐠱"""	10800..1083F	Cypriot Syllabary	Cypriot syllable tu		
10832	"""𐠲"""	10800..1083F	Cypriot Syllabary	Cypriot syllable wa		
10833	"""𐠳"""	10800..1083F	Cypriot Syllabary	Cypriot syllable we		
10834	"""𐠴"""	10800..1083F	Cypriot Syllabary	Cypriot syllable wi		
10835	"""𐠵"""	10800..1083F	Cypriot Syllabary	Cypriot syllable wo		
10837	"""𐠷"""	10800..1083F	Cypriot Syllabary	Cypriot syllable xa		
10838	"""𐠸"""	10800..1083F	Cypriot Syllabary	Cypriot syllable xe		
1083C	"""𐠼"""	10800..1083F	Cypriot Syllabary	Cypriot syllable za		
1083F	"""𐠿"""	10800..1083F	Cypriot Syllabary	Cypriot syllable zo		
