code_point	symbol	block	block_name	name	tab_completion	latex_code
10920	"""𐤠"""	10920..1093F	Lydian	Lydian letter a		
10921	"""𐤡"""	10920..1093F	Lydian	Lydian letter b		
10922	"""𐤢"""	10920..1093F	Lydian	Lydian letter g		
10923	"""𐤣"""	10920..1093F	Lydian	Lydian letter d		
10924	"""𐤤"""	10920..1093F	Lydian	Lydian letter e		
10925	"""𐤥"""	10920..1093F	Lydian	Lydian letter v		
10926	"""𐤦"""	10920..1093F	Lydian	Lydian letter i		
10927	"""𐤧"""	10920..1093F	Lydian	Lydian letter y		
10928	"""𐤨"""	10920..1093F	Lydian	Lydian letter k		
10929	"""𐤩"""	10920..1093F	Lydian	Lydian letter l		
1092A	"""𐤪"""	10920..1093F	Lydian	Lydian letter m		
1092B	"""𐤫"""	10920..1093F	Lydian	Lydian letter n		
1092C	"""𐤬"""	10920..1093F	Lydian	Lydian letter o		
1092D	"""𐤭"""	10920..1093F	Lydian	Lydian letter r		
1092E	"""𐤮"""	10920..1093F	Lydian	Lydian letter ss		
1092F	"""𐤯"""	10920..1093F	Lydian	Lydian letter t		
10930	"""𐤰"""	10920..1093F	Lydian	Lydian letter u		
10931	"""𐤱"""	10920..1093F	Lydian	Lydian letter f		
10932	"""𐤲"""	10920..1093F	Lydian	Lydian letter q		
10933	"""𐤳"""	10920..1093F	Lydian	Lydian letter s		
10934	"""𐤴"""	10920..1093F	Lydian	Lydian letter tt		
10935	"""𐤵"""	10920..1093F	Lydian	Lydian letter an		
10936	"""𐤶"""	10920..1093F	Lydian	Lydian letter en		
10937	"""𐤷"""	10920..1093F	Lydian	Lydian letter ly		
10938	"""𐤸"""	10920..1093F	Lydian	Lydian letter nn		
10939	"""𐤹"""	10920..1093F	Lydian	Lydian letter c		
1093F	"""𐤿"""	10920..1093F	Lydian	Lydian triangular mark		
