code_point	symbol	block	block_name	name	tab_completion	latex_code
10C80	"""𐲀"""	10C80..10CFF	Old Hungarian	Old hungarian capital letter a		
10C81	"""𐲁"""	10C80..10CFF	Old Hungarian	Old hungarian capital letter aa		
10C82	"""𐲂"""	10C80..10CFF	Old Hungarian	Old hungarian capital letter eb		
10C83	"""𐲃"""	10C80..10CFF	Old Hungarian	Old hungarian capital letter amb		
10C84	"""𐲄"""	10C80..10CFF	Old Hungarian	Old hungarian capital letter ec		
10C85	"""𐲅"""	10C80..10CFF	Old Hungarian	Old hungarian capital letter enc		
10C86	"""𐲆"""	10C80..10CFF	Old Hungarian	Old hungarian capital letter ecs		
10C87	"""𐲇"""	10C80..10CFF	Old Hungarian	Old hungarian capital letter ed		
10C88	"""𐲈"""	10C80..10CFF	Old Hungarian	Old hungarian capital letter and		
10C89	"""𐲉"""	10C80..10CFF	Old Hungarian	Old hungarian capital letter e		
10C8A	"""𐲊"""	10C80..10CFF	Old Hungarian	Old hungarian capital letter close e		
10C8B	"""𐲋"""	10C80..10CFF	Old Hungarian	Old hungarian capital letter ee		
10C8C	"""𐲌"""	10C80..10CFF	Old Hungarian	Old hungarian capital letter ef		
10C8D	"""𐲍"""	10C80..10CFF	Old Hungarian	Old hungarian capital letter eg		
10C8E	"""𐲎"""	10C80..10CFF	Old Hungarian	Old hungarian capital letter egy		
10C8F	"""𐲏"""	10C80..10CFF	Old Hungarian	Old hungarian capital letter eh		
10C90	"""𐲐"""	10C80..10CFF	Old Hungarian	Old hungarian capital letter i		
10C91	"""𐲑"""	10C80..10CFF	Old Hungarian	Old hungarian capital letter ii		
10C92	"""𐲒"""	10C80..10CFF	Old Hungarian	Old hungarian capital letter ej		
10C93	"""𐲓"""	10C80..10CFF	Old Hungarian	Old hungarian capital letter ek		
10C94	"""𐲔"""	10C80..10CFF	Old Hungarian	Old hungarian capital letter ak		
10C95	"""𐲕"""	10C80..10CFF	Old Hungarian	Old hungarian capital letter unk		
10C96	"""𐲖"""	10C80..10CFF	Old Hungarian	Old hungarian capital letter el		
10C97	"""𐲗"""	10C80..10CFF	Old Hungarian	Old hungarian capital letter ely		
10C98	"""𐲘"""	10C80..10CFF	Old Hungarian	Old hungarian capital letter em		
10C99	"""𐲙"""	10C80..10CFF	Old Hungarian	Old hungarian capital letter en		
