code_point	symbol	block	block_name	name	tab_completion	latex_code
10E60	"""𐹠"""	10E60..10E7F	Rumi Numeral Symbols	Rumi digit one		
10E61	"""𐹡"""	10E60..10E7F	Rumi Numeral Symbols	Rumi digit two		
10E62	"""𐹢"""	10E60..10E7F	Rumi Numeral Symbols	Rumi digit three		
10E63	"""𐹣"""	10E60..10E7F	Rumi Numeral Symbols	Rumi digit four		
10E64	"""𐹤"""	10E60..10E7F	Rumi Numeral Symbols	Rumi digit five		
10E65	"""𐹥"""	10E60..10E7F	Rumi Numeral Symbols	Rumi digit six		
10E66	"""𐹦"""	10E60..10E7F	Rumi Numeral Symbols	Rumi digit seven		
10E67	"""𐹧"""	10E60..10E7F	Rumi Numeral Symbols	Rumi digit eight		
10E68	"""𐹨"""	10E60..10E7F	Rumi Numeral Symbols	Rumi digit nine		
10E69	"""𐹩"""	10E60..10E7F	Rumi Numeral Symbols	Rumi number ten		
10E6A	"""𐹪"""	10E60..10E7F	Rumi Numeral Symbols	Rumi number twenty		
10E6B	"""𐹫"""	10E60..10E7F	Rumi Numeral Symbols	Rumi number thirty		
10E6C	"""𐹬"""	10E60..10E7F	Rumi Numeral Symbols	Rumi number forty		
10E6D	"""𐹭"""	10E60..10E7F	Rumi Numeral Symbols	Rumi number fifty		
10E6E	"""𐹮"""	10E60..10E7F	Rumi Numeral Symbols	Rumi number sixty		
10E6F	"""𐹯"""	10E60..10E7F	Rumi Numeral Symbols	Rumi number seventy		
10E70	"""𐹰"""	10E60..10E7F	Rumi Numeral Symbols	Rumi number eighty		
10E71	"""𐹱"""	10E60..10E7F	Rumi Numeral Symbols	Rumi number ninety		
10E72	"""𐹲"""	10E60..10E7F	Rumi Numeral Symbols	Rumi number one hundred		
10E73	"""𐹳"""	10E60..10E7F	Rumi Numeral Symbols	Rumi number two hundred		
10E74	"""𐹴"""	10E60..10E7F	Rumi Numeral Symbols	Rumi number three hundred		
10E75	"""𐹵"""	10E60..10E7F	Rumi Numeral Symbols	Rumi number four hundred		
10E76	"""𐹶"""	10E60..10E7F	Rumi Numeral Symbols	Rumi number five hundred		
10E77	"""𐹷"""	10E60..10E7F	Rumi Numeral Symbols	Rumi number six hundred		
10E78	"""𐹸"""	10E60..10E7F	Rumi Numeral Symbols	Rumi number seven hundred		
10E79	"""𐹹"""	10E60..10E7F	Rumi Numeral Symbols	Rumi number eight hundred		
10E7A	"""𐹺"""	10E60..10E7F	Rumi Numeral Symbols	Rumi number nine hundred		
10E7B	"""𐹻"""	10E60..10E7F	Rumi Numeral Symbols	Rumi fraction one half		
10E7C	"""𐹼"""	10E60..10E7F	Rumi Numeral Symbols	Rumi fraction one quarter		
10E7D	"""𐹽"""	10E60..10E7F	Rumi Numeral Symbols	Rumi fraction one third		
10E7E	"""𐹾"""	10E60..10E7F	Rumi Numeral Symbols	Rumi fraction two thirds		
