code_point	symbol	block	block_name	name	tab_completion	latex_code
10FE0	"""𐿠"""	10FE0..10FFF	Elymaic	Elymaic letter aleph		
10FE1	"""𐿡"""	10FE0..10FFF	Elymaic	Elymaic letter beth		
10FE2	"""𐿢"""	10FE0..10FFF	Elymaic	Elymaic letter gimel		
10FE3	"""𐿣"""	10FE0..10FFF	Elymaic	Elymaic letter daleth		
10FE4	"""𐿤"""	10FE0..10FFF	Elymaic	Elymaic letter he		
10FE5	"""𐿥"""	10FE0..10FFF	Elymaic	Elymaic letter waw		
10FE6	"""𐿦"""	10FE0..10FFF	Elymaic	Elymaic letter zayin		
10FE7	"""𐿧"""	10FE0..10FFF	Elymaic	Elymaic letter heth		
10FE8	"""𐿨"""	10FE0..10FFF	Elymaic	Elymaic letter teth		
10FE9	"""𐿩"""	10FE0..10FFF	Elymaic	Elymaic letter yodh		
10FEA	"""𐿪"""	10FE0..10FFF	Elymaic	Elymaic letter kaph		
10FEB	"""𐿫"""	10FE0..10FFF	Elymaic	Elymaic letter lamedh		
10FEC	"""𐿬"""	10FE0..10FFF	Elymaic	Elymaic letter mem		
10FED	"""𐿭"""	10FE0..10FFF	Elymaic	Elymaic letter nun		
10FEE	"""𐿮"""	10FE0..10FFF	Elymaic	Elymaic letter samekh		
10FEF	"""𐿯"""	10FE0..10FFF	Elymaic	Elymaic letter ayin		
10FF0	"""𐿰"""	10FE0..10FFF	Elymaic	Elymaic letter pe		
10FF1	"""𐿱"""	10FE0..10FFF	Elymaic	Elymaic letter sadhe		
10FF2	"""𐿲"""	10FE0..10FFF	Elymaic	Elymaic letter qoph		
10FF3	"""𐿳"""	10FE0..10FFF	Elymaic	Elymaic letter resh		
10FF4	"""𐿴"""	10FE0..10FFF	Elymaic	Elymaic letter shin		
10FF5	"""𐿵"""	10FE0..10FFF	Elymaic	Elymaic letter taw		
10FF6	"""𐿶"""	10FE0..10FFF	Elymaic	Elymaic ligature zayin-yodh		
