code_point	symbol	block	block_name	name	tab_completion	latex_code
11150	"""𑅐"""	11150..1117F	Mahajani	Mahajani letter a		
11151	"""𑅑"""	11150..1117F	Mahajani	Mahajani letter i		
11152	"""𑅒"""	11150..1117F	Mahajani	Mahajani letter u		
11153	"""𑅓"""	11150..1117F	Mahajani	Mahajani letter e		
11154	"""𑅔"""	11150..1117F	Mahajani	Mahajani letter o		
11155	"""𑅕"""	11150..1117F	Mahajani	Mahajani letter ka		
11156	"""𑅖"""	11150..1117F	Mahajani	Mahajani letter kha		
11157	"""𑅗"""	11150..1117F	Mahajani	Mahajani letter ga		
11158	"""𑅘"""	11150..1117F	Mahajani	Mahajani letter gha		
11159	"""𑅙"""	11150..1117F	Mahajani	Mahajani letter ca		
1115A	"""𑅚"""	11150..1117F	Mahajani	Mahajani letter cha		
1115B	"""𑅛"""	11150..1117F	Mahajani	Mahajani letter ja		
1115C	"""𑅜"""	11150..1117F	Mahajani	Mahajani letter jha		
1115D	"""𑅝"""	11150..1117F	Mahajani	Mahajani letter nya		
1115E	"""𑅞"""	11150..1117F	Mahajani	Mahajani letter tta		
1115F	"""𑅟"""	11150..1117F	Mahajani	Mahajani letter ttha		
11160	"""𑅠"""	11150..1117F	Mahajani	Mahajani letter dda		
11161	"""𑅡"""	11150..1117F	Mahajani	Mahajani letter ddha		
11162	"""𑅢"""	11150..1117F	Mahajani	Mahajani letter nna		
11163	"""𑅣"""	11150..1117F	Mahajani	Mahajani letter ta		
11164	"""𑅤"""	11150..1117F	Mahajani	Mahajani letter tha		
11165	"""𑅥"""	11150..1117F	Mahajani	Mahajani letter da		
11166	"""𑅦"""	11150..1117F	Mahajani	Mahajani letter dha		
11167	"""𑅧"""	11150..1117F	Mahajani	Mahajani letter na		
11168	"""𑅨"""	11150..1117F	Mahajani	Mahajani letter pa		
11169	"""𑅩"""	11150..1117F	Mahajani	Mahajani letter pha		
1116A	"""𑅪"""	11150..1117F	Mahajani	Mahajani letter ba		
1116B	"""𑅫"""	11150..1117F	Mahajani	Mahajani letter bha		
1116C	"""𑅬"""	11150..1117F	Mahajani	Mahajani letter ma		
1116D	"""𑅭"""	11150..1117F	Mahajani	Mahajani letter ra		
1116E	"""𑅮"""	11150..1117F	Mahajani	Mahajani letter la		
1116F	"""𑅯"""	11150..1117F	Mahajani	Mahajani letter va		
11170	"""𑅰"""	11150..1117F	Mahajani	Mahajani letter sa		
11171	"""𑅱"""	11150..1117F	Mahajani	Mahajani letter ha		
11172	"""𑅲"""	11150..1117F	Mahajani	Mahajani letter rra		
11173	"""𑅳"""	11150..1117F	Mahajani	Mahajani sign nukta		
11174	"""𑅴"""	11150..1117F	Mahajani	Mahajani abbreviation sign		
11175	"""𑅵"""	11150..1117F	Mahajani	Mahajani section mark		
11176	"""𑅶"""	11150..1117F	Mahajani	Mahajani ligature shri		
