code_point	symbol	block	block_name	name	tab_completion	latex_code
11900	"""𑤀"""	11900..1195F	Dives Akuru	Dives akuru letter a		
11901	"""𑤁"""	11900..1195F	Dives Akuru	Dives akuru letter aa		
11902	"""𑤂"""	11900..1195F	Dives Akuru	Dives akuru letter i		
11903	"""𑤃"""	11900..1195F	Dives Akuru	Dives akuru letter ii		
11904	"""𑤄"""	11900..1195F	Dives Akuru	Dives akuru letter u		
11905	"""𑤅"""	11900..1195F	Dives Akuru	Dives akuru letter uu		
11906	"""𑤆"""	11900..1195F	Dives Akuru	Dives akuru letter e		
11909	"""𑤉"""	11900..1195F	Dives Akuru	Dives akuru letter o		
1190C	"""𑤌"""	11900..1195F	Dives Akuru	Dives akuru letter ka		
1190D	"""𑤍"""	11900..1195F	Dives Akuru	Dives akuru letter kha		
1190E	"""𑤎"""	11900..1195F	Dives Akuru	Dives akuru letter ga		
1190F	"""𑤏"""	11900..1195F	Dives Akuru	Dives akuru letter gha		
11910	"""𑤐"""	11900..1195F	Dives Akuru	Dives akuru letter nga		
11911	"""𑤑"""	11900..1195F	Dives Akuru	Dives akuru letter ca		
11912	"""𑤒"""	11900..1195F	Dives Akuru	Dives akuru letter cha		
11913	"""𑤓"""	11900..1195F	Dives Akuru	Dives akuru letter ja		
11915	"""𑤕"""	11900..1195F	Dives Akuru	Dives akuru letter nya		
11916	"""𑤖"""	11900..1195F	Dives Akuru	Dives akuru letter tta		
11918	"""𑤘"""	11900..1195F	Dives Akuru	Dives akuru letter dda		
11919	"""𑤙"""	11900..1195F	Dives Akuru	Dives akuru letter ddha		
1191A	"""𑤚"""	11900..1195F	Dives Akuru	Dives akuru letter nna		
1191B	"""𑤛"""	11900..1195F	Dives Akuru	Dives akuru letter ta		
1191C	"""𑤜"""	11900..1195F	Dives Akuru	Dives akuru letter tha		
1191D	"""𑤝"""	11900..1195F	Dives Akuru	Dives akuru letter da		
1191E	"""𑤞"""	11900..1195F	Dives Akuru	Dives akuru letter dha		
1191F	"""𑤟"""	11900..1195F	Dives Akuru	Dives akuru letter na		
11920	"""𑤠"""	11900..1195F	Dives Akuru	Dives akuru letter pa		
11921	"""𑤡"""	11900..1195F	Dives Akuru	Dives akuru letter pha		
11922	"""𑤢"""	11900..1195F	Dives Akuru	Dives akuru letter ba		
11923	"""𑤣"""	11900..1195F	Dives Akuru	Dives akuru letter bha		
11924	"""𑤤"""	11900..1195F	Dives Akuru	Dives akuru letter ma		
11925	"""𑤥"""	11900..1195F	Dives Akuru	Dives akuru letter ya		
11926	"""𑤦"""	11900..1195F	Dives Akuru	Dives akuru letter yya		
11927	"""𑤧"""	11900..1195F	Dives Akuru	Dives akuru letter ra		
11928	"""𑤨"""	11900..1195F	Dives Akuru	Dives akuru letter la		
11929	"""𑤩"""	11900..1195F	Dives Akuru	Dives akuru letter va		
1192A	"""𑤪"""	11900..1195F	Dives Akuru	Dives akuru letter sha		
1192B	"""𑤫"""	11900..1195F	Dives Akuru	Dives akuru letter ssa		
1192C	"""𑤬"""	11900..1195F	Dives Akuru	Dives akuru letter sa		
1192D	"""𑤭"""	11900..1195F	Dives Akuru	Dives akuru letter ha		
1192E	"""𑤮"""	11900..1195F	Dives Akuru	Dives akuru letter lla		
