code_point	symbol	block	block_name	name	tab_completion	latex_code
11AB0	"""𑪰"""	11AB0..11ABF	Unified Canadian Aboriginal Syllabics Extended-A	Canadian syllabics nattilik hi		
11AB1	"""𑪱"""	11AB0..11ABF	Unified Canadian Aboriginal Syllabics Extended-A	Canadian syllabics nattilik hii		
11AB2	"""𑪲"""	11AB0..11ABF	Unified Canadian Aboriginal Syllabics Extended-A	Canadian syllabics nattilik ho		
11AB3	"""𑪳"""	11AB0..11ABF	Unified Canadian Aboriginal Syllabics Extended-A	Canadian syllabics nattilik hoo		
11AB4	"""𑪴"""	11AB0..11ABF	Unified Canadian Aboriginal Syllabics Extended-A	Canadian syllabics nattilik ha		
11AB5	"""𑪵"""	11AB0..11ABF	Unified Canadian Aboriginal Syllabics Extended-A	Canadian syllabics nattilik haa		
11AB6	"""𑪶"""	11AB0..11ABF	Unified Canadian Aboriginal Syllabics Extended-A	Canadian syllabics nattilik shri		
11AB7	"""𑪷"""	11AB0..11ABF	Unified Canadian Aboriginal Syllabics Extended-A	Canadian syllabics nattilik shrii		
11AB8	"""𑪸"""	11AB0..11ABF	Unified Canadian Aboriginal Syllabics Extended-A	Canadian syllabics nattilik shro		
11AB9	"""𑪹"""	11AB0..11ABF	Unified Canadian Aboriginal Syllabics Extended-A	Canadian syllabics nattilik shroo		
11ABA	"""𑪺"""	11AB0..11ABF	Unified Canadian Aboriginal Syllabics Extended-A	Canadian syllabics nattilik shra		
11ABB	"""𑪻"""	11AB0..11ABF	Unified Canadian Aboriginal Syllabics Extended-A	Canadian syllabics nattilik shraa		
11ABC	"""𑪼"""	11AB0..11ABF	Unified Canadian Aboriginal Syllabics Extended-A	Canadian syllabics spe		
11ABD	"""𑪽"""	11AB0..11ABF	Unified Canadian Aboriginal Syllabics Extended-A	Canadian syllabics spi		
11ABE	"""𑪾"""	11AB0..11ABF	Unified Canadian Aboriginal Syllabics Extended-A	Canadian syllabics spo		
11ABF	"""𑪿"""	11AB0..11ABF	Unified Canadian Aboriginal Syllabics Extended-A	Canadian syllabics spa		
