code_point	symbol	block	block_name	name	tab_completion	latex_code
11C00	"""𑰀"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter a		
11C01	"""𑰁"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter aa		
11C02	"""𑰂"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter i		
11C03	"""𑰃"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter ii		
11C04	"""𑰄"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter u		
11C05	"""𑰅"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter uu		
11C06	"""𑰆"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter vocalic r		
11C07	"""𑰇"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter vocalic rr		
11C08	"""𑰈"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter vocalic l		
11C0A	"""𑰊"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter e		
11C0B	"""𑰋"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter ai		
11C0C	"""𑰌"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter o		
11C0D	"""𑰍"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter au		
11C0E	"""𑰎"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter ka		
11C0F	"""𑰏"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter kha		
11C10	"""𑰐"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter ga		
11C11	"""𑰑"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter gha		
11C12	"""𑰒"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter nga		
11C13	"""𑰓"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter ca		
11C14	"""𑰔"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter cha		
11C15	"""𑰕"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter ja		
11C16	"""𑰖"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter jha		
11C17	"""𑰗"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter nya		
11C18	"""𑰘"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter tta		
11C19	"""𑰙"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter ttha		
11C1A	"""𑰚"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter dda		
11C1B	"""𑰛"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter ddha		
11C1C	"""𑰜"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter nna		
11C1D	"""𑰝"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter ta		
11C1E	"""𑰞"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter tha		
11C1F	"""𑰟"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter da		
11C20	"""𑰠"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter dha		
11C21	"""𑰡"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter na		
11C22	"""𑰢"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter pa		
11C23	"""𑰣"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter pha		
11C24	"""𑰤"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter ba		
11C25	"""𑰥"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter bha		
11C26	"""𑰦"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter ma		
11C27	"""𑰧"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter ya		
11C28	"""𑰨"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter ra		
11C29	"""𑰩"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter la		
11C2A	"""𑰪"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter va		
11C2B	"""𑰫"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter sha		
11C2C	"""𑰬"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter ssa		
11C2D	"""𑰭"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter sa		
11C2E	"""𑰮"""	11C00..11C6F	Bhaiksuki	Bhaiksuki letter ha		
11C2F	"""𑰯"""	11C00..11C6F	Bhaiksuki	Bhaiksuki vowel sign aa		
11C30	"""𑰰"""	11C00..11C6F	Bhaiksuki	Bhaiksuki vowel sign i		
11C31	"""𑰱"""	11C00..11C6F	Bhaiksuki	Bhaiksuki vowel sign ii		
11C32	"""𑰲"""	11C00..11C6F	Bhaiksuki	Bhaiksuki vowel sign u		
11C33	"""𑰳"""	11C00..11C6F	Bhaiksuki	Bhaiksuki vowel sign uu		
11C34	"""𑰴"""	11C00..11C6F	Bhaiksuki	Bhaiksuki vowel sign vocalic r		
11C35	"""𑰵"""	11C00..11C6F	Bhaiksuki	Bhaiksuki vowel sign vocalic rr		
11C36	"""𑰶"""	11C00..11C6F	Bhaiksuki	Bhaiksuki vowel sign vocalic l		
