code_point	symbol	block	block_name	name	tab_completion	latex_code
11EE0	"""𑻠"""	11EE0..11EFF	Makasar	Makasar letter ka		
11EE1	"""𑻡"""	11EE0..11EFF	Makasar	Makasar letter ga		
11EE2	"""𑻢"""	11EE0..11EFF	Makasar	Makasar letter nga		
11EE3	"""𑻣"""	11EE0..11EFF	Makasar	Makasar letter pa		
11EE4	"""𑻤"""	11EE0..11EFF	Makasar	Makasar letter ba		
11EE5	"""𑻥"""	11EE0..11EFF	Makasar	Makasar letter ma		
11EE6	"""𑻦"""	11EE0..11EFF	Makasar	Makasar letter ta		
11EE7	"""𑻧"""	11EE0..11EFF	Makasar	Makasar letter da		
11EE8	"""𑻨"""	11EE0..11EFF	Makasar	Makasar letter na		
11EE9	"""𑻩"""	11EE0..11EFF	Makasar	Makasar letter ca		
11EEA	"""𑻪"""	11EE0..11EFF	Makasar	Makasar letter ja		
11EEB	"""𑻫"""	11EE0..11EFF	Makasar	Makasar letter nya		
11EEC	"""𑻬"""	11EE0..11EFF	Makasar	Makasar letter ya		
11EED	"""𑻭"""	11EE0..11EFF	Makasar	Makasar letter ra		
11EEE	"""𑻮"""	11EE0..11EFF	Makasar	Makasar letter la		
11EEF	"""𑻯"""	11EE0..11EFF	Makasar	Makasar letter va		
11EF0	"""𑻰"""	11EE0..11EFF	Makasar	Makasar letter sa		
11EF1	"""𑻱"""	11EE0..11EFF	Makasar	Makasar letter a		
11EF2	"""𑻲"""	11EE0..11EFF	Makasar	Makasar angka		
11EF3	"""𑻳"""	11EE0..11EFF	Makasar	Makasar vowel sign i		
11EF4	"""𑻴"""	11EE0..11EFF	Makasar	Makasar vowel sign u		
11EF5	"""𑻵"""	11EE0..11EFF	Makasar	Makasar vowel sign e		
11EF6	"""𑻶"""	11EE0..11EFF	Makasar	Makasar vowel sign o		
11EF7	"""𑻷"""	11EE0..11EFF	Makasar	Makasar passimbang		
11EF8	"""𑻸"""	11EE0..11EFF	Makasar	Makasar end of section		
