code_point	symbol	block	block_name	name	tab_completion	latex_code
12000	"""𒀀"""	12000..123FF	Cuneiform	Cuneiform sign a		
12001	"""𒀁"""	12000..123FF	Cuneiform	Cuneiform sign a times a		
12002	"""𒀂"""	12000..123FF	Cuneiform	Cuneiform sign a times bad		
12003	"""𒀃"""	12000..123FF	Cuneiform	Cuneiform sign a times gan2 tenu		
12004	"""𒀄"""	12000..123FF	Cuneiform	Cuneiform sign a times ha		
12005	"""𒀅"""	12000..123FF	Cuneiform	Cuneiform sign a times igi		
12006	"""𒀆"""	12000..123FF	Cuneiform	Cuneiform sign a times lagar gunu		
12007	"""𒀇"""	12000..123FF	Cuneiform	Cuneiform sign a times mush		
12008	"""𒀈"""	12000..123FF	Cuneiform	Cuneiform sign a times sag		
12009	"""𒀉"""	12000..123FF	Cuneiform	Cuneiform sign a2		
1200A	"""𒀊"""	12000..123FF	Cuneiform	Cuneiform sign ab		
1200B	"""𒀋"""	12000..123FF	Cuneiform	Cuneiform sign ab times ash2		
1200C	"""𒀌"""	12000..123FF	Cuneiform	Cuneiform sign ab times dun3 gunu		
1200D	"""𒀍"""	12000..123FF	Cuneiform	Cuneiform sign ab times gal		
1200E	"""𒀎"""	12000..123FF	Cuneiform	Cuneiform sign ab times gan2 tenu		
1200F	"""𒀏"""	12000..123FF	Cuneiform	Cuneiform sign ab times ha		
12010	"""𒀐"""	12000..123FF	Cuneiform	Cuneiform sign ab times igi gunu		
12011	"""𒀑"""	12000..123FF	Cuneiform	Cuneiform sign ab times imin		
12012	"""𒀒"""	12000..123FF	Cuneiform	Cuneiform sign ab times lagab		
12013	"""𒀓"""	12000..123FF	Cuneiform	Cuneiform sign ab times shesh		
12014	"""𒀔"""	12000..123FF	Cuneiform	Cuneiform sign ab times u plus u plus u		
12015	"""𒀕"""	12000..123FF	Cuneiform	Cuneiform sign ab gunu		
12016	"""𒀖"""	12000..123FF	Cuneiform	Cuneiform sign ab2		
12017	"""𒀗"""	12000..123FF	Cuneiform	Cuneiform sign ab2 times balag		
12018	"""𒀘"""	12000..123FF	Cuneiform	Cuneiform sign ab2 times gan2 tenu		
12019	"""𒀙"""	12000..123FF	Cuneiform	Cuneiform sign ab2 times me plus en		
1201A	"""𒀚"""	12000..123FF	Cuneiform	Cuneiform sign ab2 times sha3		
1201B	"""𒀛"""	12000..123FF	Cuneiform	Cuneiform sign ab2 times tak4		
1201C	"""𒀜"""	12000..123FF	Cuneiform	Cuneiform sign ad		
1201D	"""𒀝"""	12000..123FF	Cuneiform	Cuneiform sign ak		
1201E	"""𒀞"""	12000..123FF	Cuneiform	Cuneiform sign ak times erin2		
1201F	"""𒀟"""	12000..123FF	Cuneiform	Cuneiform sign ak times shita plus gish		
12020	"""𒀠"""	12000..123FF	Cuneiform	Cuneiform sign al		
12021	"""𒀡"""	12000..123FF	Cuneiform	Cuneiform sign al times al		
12022	"""𒀢"""	12000..123FF	Cuneiform	Cuneiform sign al times dim2		
12023	"""𒀣"""	12000..123FF	Cuneiform	Cuneiform sign al times gish		
12024	"""𒀤"""	12000..123FF	Cuneiform	Cuneiform sign al times ha		
12025	"""𒀥"""	12000..123FF	Cuneiform	Cuneiform sign al times kad3		
12026	"""𒀦"""	12000..123FF	Cuneiform	Cuneiform sign al times ki		
12027	"""𒀧"""	12000..123FF	Cuneiform	Cuneiform sign al times she		
12028	"""𒀨"""	12000..123FF	Cuneiform	Cuneiform sign al times ush		
12029	"""𒀩"""	12000..123FF	Cuneiform	Cuneiform sign alan		
1202A	"""𒀪"""	12000..123FF	Cuneiform	Cuneiform sign aleph		
1202B	"""𒀫"""	12000..123FF	Cuneiform	Cuneiform sign amar		
1202C	"""𒀬"""	12000..123FF	Cuneiform	Cuneiform sign amar times she		
1202D	"""𒀭"""	12000..123FF	Cuneiform	Cuneiform sign an		
1202E	"""𒀮"""	12000..123FF	Cuneiform	Cuneiform sign an over an		
1202F	"""𒀯"""	12000..123FF	Cuneiform	Cuneiform sign an three times		
