code_point	symbol	block	block_name	name	tab_completion	latex_code
1BC00	"""𛰀"""	1BC00..1BC9F	Duployan	Duployan letter h		
1BC01	"""𛰁"""	1BC00..1BC9F	Duployan	Duployan letter x		
1BC02	"""𛰂"""	1BC00..1BC9F	Duployan	Duployan letter p		
1BC03	"""𛰃"""	1BC00..1BC9F	Duployan	Duployan letter t		
1BC04	"""𛰄"""	1BC00..1BC9F	Duployan	Duployan letter f		
1BC05	"""𛰅"""	1BC00..1BC9F	Duployan	Duployan letter k		
1BC06	"""𛰆"""	1BC00..1BC9F	Duployan	Duployan letter l		
1BC07	"""𛰇"""	1BC00..1BC9F	Duployan	Duployan letter b		
1BC08	"""𛰈"""	1BC00..1BC9F	Duployan	Duployan letter d		
1BC09	"""𛰉"""	1BC00..1BC9F	Duployan	Duployan letter v		
1BC0A	"""𛰊"""	1BC00..1BC9F	Duployan	Duployan letter g		
1BC0B	"""𛰋"""	1BC00..1BC9F	Duployan	Duployan letter r		
1BC0C	"""𛰌"""	1BC00..1BC9F	Duployan	Duployan letter p n		
1BC0D	"""𛰍"""	1BC00..1BC9F	Duployan	Duployan letter d s		
1BC0E	"""𛰎"""	1BC00..1BC9F	Duployan	Duployan letter f n		
1BC0F	"""𛰏"""	1BC00..1BC9F	Duployan	Duployan letter k m		
1BC10	"""𛰐"""	1BC00..1BC9F	Duployan	Duployan letter r s		
1BC11	"""𛰑"""	1BC00..1BC9F	Duployan	Duployan letter th		
1BC12	"""𛰒"""	1BC00..1BC9F	Duployan	Duployan letter sloan dh		
1BC13	"""𛰓"""	1BC00..1BC9F	Duployan	Duployan letter dh		
1BC14	"""𛰔"""	1BC00..1BC9F	Duployan	Duployan letter kk		
1BC15	"""𛰕"""	1BC00..1BC9F	Duployan	Duployan letter sloan j		
1BC16	"""𛰖"""	1BC00..1BC9F	Duployan	Duployan letter hl		
1BC17	"""𛰗"""	1BC00..1BC9F	Duployan	Duployan letter lh		
1BC18	"""𛰘"""	1BC00..1BC9F	Duployan	Duployan letter rh		
1BC19	"""𛰙"""	1BC00..1BC9F	Duployan	Duployan letter m		
