code_point	symbol	block	block_name	name	tab_completion	latex_code
1D200	"""𝈀"""	1D200..1D24F	Ancient Greek Musical Notation	Greek vocal notation symbol-1		
1D201	"""𝈁"""	1D200..1D24F	Ancient Greek Musical Notation	Greek vocal notation symbol-2		
1D202	"""𝈂"""	1D200..1D24F	Ancient Greek Musical Notation	Greek vocal notation symbol-3		
1D203	"""𝈃"""	1D200..1D24F	Ancient Greek Musical Notation	Greek vocal notation symbol-4		
1D204	"""𝈄"""	1D200..1D24F	Ancient Greek Musical Notation	Greek vocal notation symbol-5		
1D205	"""𝈅"""	1D200..1D24F	Ancient Greek Musical Notation	Greek vocal notation symbol-6		
1D206	"""𝈆"""	1D200..1D24F	Ancient Greek Musical Notation	Greek vocal notation symbol-7		
1D207	"""𝈇"""	1D200..1D24F	Ancient Greek Musical Notation	Greek vocal notation symbol-8		
1D208	"""𝈈"""	1D200..1D24F	Ancient Greek Musical Notation	Greek vocal notation symbol-9		
1D209	"""𝈉"""	1D200..1D24F	Ancient Greek Musical Notation	Greek vocal notation symbol-10		
1D20A	"""𝈊"""	1D200..1D24F	Ancient Greek Musical Notation	Greek vocal notation symbol-11		
1D20B	"""𝈋"""	1D200..1D24F	Ancient Greek Musical Notation	Greek vocal notation symbol-12		
1D20C	"""𝈌"""	1D200..1D24F	Ancient Greek Musical Notation	Greek vocal notation symbol-13		
1D20D	"""𝈍"""	1D200..1D24F	Ancient Greek Musical Notation	Greek vocal notation symbol-14		
1D20E	"""𝈎"""	1D200..1D24F	Ancient Greek Musical Notation	Greek vocal notation symbol-15		
1D20F	"""𝈏"""	1D200..1D24F	Ancient Greek Musical Notation	Greek vocal notation symbol-16		
1D210	"""𝈐"""	1D200..1D24F	Ancient Greek Musical Notation	Greek vocal notation symbol-17		
1D211	"""𝈑"""	1D200..1D24F	Ancient Greek Musical Notation	Greek vocal notation symbol-18		
1D212	"""𝈒"""	1D200..1D24F	Ancient Greek Musical Notation	Greek vocal notation symbol-19		
1D213	"""𝈓"""	1D200..1D24F	Ancient Greek Musical Notation	Greek vocal notation symbol-20		
1D214	"""𝈔"""	1D200..1D24F	Ancient Greek Musical Notation	Greek vocal notation symbol-21		
1D215	"""𝈕"""	1D200..1D24F	Ancient Greek Musical Notation	Greek vocal notation symbol-22		
1D216	"""𝈖"""	1D200..1D24F	Ancient Greek Musical Notation	Greek vocal notation symbol-23		
1D217	"""𝈗"""	1D200..1D24F	Ancient Greek Musical Notation	Greek vocal notation symbol-24		
1D218	"""𝈘"""	1D200..1D24F	Ancient Greek Musical Notation	Greek vocal notation symbol-50		
1D219	"""𝈙"""	1D200..1D24F	Ancient Greek Musical Notation	Greek vocal notation symbol-51		
1D21A	"""𝈚"""	1D200..1D24F	Ancient Greek Musical Notation	Greek vocal notation symbol-52		
1D21B	"""𝈛"""	1D200..1D24F	Ancient Greek Musical Notation	Greek vocal notation symbol-53		
1D21C	"""𝈜"""	1D200..1D24F	Ancient Greek Musical Notation	Greek vocal notation symbol-54		
1D21D	"""𝈝"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-1		
1D21E	"""𝈞"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-2		
1D21F	"""𝈟"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-4		
1D220	"""𝈠"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-5		
1D221	"""𝈡"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-7		
1D222	"""𝈢"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-8		
1D223	"""𝈣"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-11		
1D224	"""𝈤"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-12		
1D225	"""𝈥"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-13		
1D226	"""𝈦"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-14		
1D227	"""𝈧"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-17		
1D228	"""𝈨"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-18		
1D229	"""𝈩"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-19		
1D22A	"""𝈪"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-23		
1D22B	"""𝈫"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-24		
1D22C	"""𝈬"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-25		
1D22D	"""𝈭"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-26		
1D22E	"""𝈮"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-27		
1D22F	"""𝈯"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-29		
1D230	"""𝈰"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-30		
1D231	"""𝈱"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-32		
1D232	"""𝈲"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-36		
1D233	"""𝈳"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-37		
1D234	"""𝈴"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-38		
1D235	"""𝈵"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-39		
1D236	"""𝈶"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-40		
1D237	"""𝈷"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-42		
1D238	"""𝈸"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-43		
1D239	"""𝈹"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-45		
1D23A	"""𝈺"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-47		
1D23B	"""𝈻"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-48		
1D23C	"""𝈼"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-49		
1D23D	"""𝈽"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-50		
1D23E	"""𝈾"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-51		
1D23F	"""𝈿"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-52		
1D240	"""𝉀"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-53		
1D241	"""𝉁"""	1D200..1D24F	Ancient Greek Musical Notation	Greek instrumental notation symbol-54		
1D242	"""𝉂"""	1D200..1D24F	Ancient Greek Musical Notation	Combining greek musical triseme		
1D243	"""𝉃"""	1D200..1D24F	Ancient Greek Musical Notation	Combining greek musical tetraseme		
1D244	"""𝉄"""	1D200..1D24F	Ancient Greek Musical Notation	Combining greek musical pentaseme		
1D245	"""𝉅"""	1D200..1D24F	Ancient Greek Musical Notation	Greek musical leimma		
