code_point	symbol	block	block_name	name	tab_completion	latex_code
1D2C0	"""𝋀"""	1D2C0..1D2DF	Kaktovik Numerals	Kaktovik numeral zero		
1D2C1	"""𝋁"""	1D2C0..1D2DF	Kaktovik Numerals	Kaktovik numeral one		
1D2C2	"""𝋂"""	1D2C0..1D2DF	Kaktovik Numerals	Kaktovik numeral two		
1D2C3	"""𝋃"""	1D2C0..1D2DF	Kaktovik Numerals	Kaktovik numeral three		
1D2C4	"""𝋄"""	1D2C0..1D2DF	Kaktovik Numerals	Kaktovik numeral four		
1D2C5	"""𝋅"""	1D2C0..1D2DF	Kaktovik Numerals	Kaktovik numeral five		
1D2C6	"""𝋆"""	1D2C0..1D2DF	Kaktovik Numerals	Kaktovik numeral six		
1D2C7	"""𝋇"""	1D2C0..1D2DF	Kaktovik Numerals	Kaktovik numeral seven		
1D2C8	"""𝋈"""	1D2C0..1D2DF	Kaktovik Numerals	Kaktovik numeral eight		
1D2C9	"""𝋉"""	1D2C0..1D2DF	Kaktovik Numerals	Kaktovik numeral nine		
1D2CA	"""𝋊"""	1D2C0..1D2DF	Kaktovik Numerals	Kaktovik numeral ten		
1D2CB	"""𝋋"""	1D2C0..1D2DF	Kaktovik Numerals	Kaktovik numeral eleven		
1D2CC	"""𝋌"""	1D2C0..1D2DF	Kaktovik Numerals	Kaktovik numeral twelve		
1D2CD	"""𝋍"""	1D2C0..1D2DF	Kaktovik Numerals	Kaktovik numeral thirteen		
1D2CE	"""𝋎"""	1D2C0..1D2DF	Kaktovik Numerals	Kaktovik numeral fourteen		
1D2CF	"""𝋏"""	1D2C0..1D2DF	Kaktovik Numerals	Kaktovik numeral fifteen		
1D2D0	"""𝋐"""	1D2C0..1D2DF	Kaktovik Numerals	Kaktovik numeral sixteen		
1D2D1	"""𝋑"""	1D2C0..1D2DF	Kaktovik Numerals	Kaktovik numeral seventeen		
1D2D2	"""𝋒"""	1D2C0..1D2DF	Kaktovik Numerals	Kaktovik numeral eighteen		
1D2D3	"""𝋓"""	1D2C0..1D2DF	Kaktovik Numerals	Kaktovik numeral nineteen		
