code_point	symbol	block	block_name	name	tab_completion	latex_code
1D300	"""𝌀"""	1D300..1D35F	Tai Xuan Jing Symbols	Monogram for earth		
1D301	"""𝌁"""	1D300..1D35F	Tai Xuan Jing Symbols	Digram for heavenly earth		
1D302	"""𝌂"""	1D300..1D35F	Tai Xuan Jing Symbols	Digram for human earth		
1D303	"""𝌃"""	1D300..1D35F	Tai Xuan Jing Symbols	Digram for earthly heaven		
1D304	"""𝌄"""	1D300..1D35F	Tai Xuan Jing Symbols	Digram for earthly human		
1D305	"""𝌅"""	1D300..1D35F	Tai Xuan Jing Symbols	Digram for earth		
1D306	"""𝌆"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for centre		
1D307	"""𝌇"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for full circle		
1D308	"""𝌈"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for mired		
1D309	"""𝌉"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for barrier		
1D30A	"""𝌊"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for keeping small		
1D30B	"""𝌋"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for contrariety		
1D30C	"""𝌌"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for ascent		
1D30D	"""𝌍"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for opposition		
1D30E	"""𝌎"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for branching out		
1D30F	"""𝌏"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for defectiveness or distortion		
1D310	"""𝌐"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for divergence		
1D311	"""𝌑"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for youthfulness		
1D312	"""𝌒"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for increase		
1D313	"""𝌓"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for penetration		
1D314	"""𝌔"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for reach		
1D315	"""𝌕"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for contact		
1D316	"""𝌖"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for holding back		
1D317	"""𝌗"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for waiting		
1D318	"""𝌘"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for following		
1D319	"""𝌙"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for advance		
1D31A	"""𝌚"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for release		
1D31B	"""𝌛"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for resistance		
1D31C	"""𝌜"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for ease		
1D31D	"""𝌝"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for joy		
1D31E	"""𝌞"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for contention		
1D31F	"""𝌟"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for endeavour		
1D320	"""𝌠"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for duties		
1D321	"""𝌡"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for change		
1D322	"""𝌢"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for decisiveness		
1D323	"""𝌣"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for bold resolution		
1D324	"""𝌤"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for packing		
1D325	"""𝌥"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for legion		
1D326	"""𝌦"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for closeness		
1D327	"""𝌧"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for kinship		
1D328	"""𝌨"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for gathering		
1D329	"""𝌩"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for strength		
1D32A	"""𝌪"""	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for purity		
