code_point	symbol	block	block_name	name	tab_completion	latex_code
1E4D0	"""𞓐"""	1E4D0..1E4FF	Nag Mundari	Nag mundari letter o		
1E4D1	"""𞓑"""	1E4D0..1E4FF	Nag Mundari	Nag mundari letter op		
1E4D2	"""𞓒"""	1E4D0..1E4FF	Nag Mundari	Nag mundari letter ol		
1E4D3	"""𞓓"""	1E4D0..1E4FF	Nag Mundari	Nag mundari letter oy		
1E4D4	"""𞓔"""	1E4D0..1E4FF	Nag Mundari	Nag mundari letter ong		
1E4D5	"""𞓕"""	1E4D0..1E4FF	Nag Mundari	Nag mundari letter a		
1E4D6	"""𞓖"""	1E4D0..1E4FF	Nag Mundari	Nag mundari letter aj		
1E4D7	"""𞓗"""	1E4D0..1E4FF	Nag Mundari	Nag mundari letter ab		
1E4D8	"""𞓘"""	1E4D0..1E4FF	Nag Mundari	Nag mundari letter any		
1E4D9	"""𞓙"""	1E4D0..1E4FF	Nag Mundari	Nag mundari letter ah		
1E4DA	"""𞓚"""	1E4D0..1E4FF	Nag Mundari	Nag mundari letter i		
1E4DB	"""𞓛"""	1E4D0..1E4FF	Nag Mundari	Nag mundari letter is		
1E4DC	"""𞓜"""	1E4D0..1E4FF	Nag Mundari	Nag mundari letter idd		
1E4DD	"""𞓝"""	1E4D0..1E4FF	Nag Mundari	Nag mundari letter it		
1E4DE	"""𞓞"""	1E4D0..1E4FF	Nag Mundari	Nag mundari letter ih		
1E4DF	"""𞓟"""	1E4D0..1E4FF	Nag Mundari	Nag mundari letter u		
1E4E0	"""𞓠"""	1E4D0..1E4FF	Nag Mundari	Nag mundari letter uc		
1E4E1	"""𞓡"""	1E4D0..1E4FF	Nag Mundari	Nag mundari letter ud		
1E4E2	"""𞓢"""	1E4D0..1E4FF	Nag Mundari	Nag mundari letter uk		
1E4E3	"""𞓣"""	1E4D0..1E4FF	Nag Mundari	Nag mundari letter ur		
1E4E4	"""𞓤"""	1E4D0..1E4FF	Nag Mundari	Nag mundari letter e		
1E4E5	"""𞓥"""	1E4D0..1E4FF	Nag Mundari	Nag mundari letter enn		
1E4E6	"""𞓦"""	1E4D0..1E4FF	Nag Mundari	Nag mundari letter eg		
1E4E7	"""𞓧"""	1E4D0..1E4FF	Nag Mundari	Nag mundari letter em		
1E4E8	"""𞓨"""	1E4D0..1E4FF	Nag Mundari	Nag mundari letter en		
1E4E9	"""𞓩"""	1E4D0..1E4FF	Nag Mundari	Nag mundari letter ett		
1E4EA	"""𞓪"""	1E4D0..1E4FF	Nag Mundari	Nag mundari letter ell		
1E4EB	"""𞓫"""	1E4D0..1E4FF	Nag Mundari	Nag mundari sign ojod		
1E4EC	"""𞓬"""	1E4D0..1E4FF	Nag Mundari	Nag mundari sign muhor		
1E4ED	"""𞓭"""	1E4D0..1E4FF	Nag Mundari	Nag mundari sign toyor		
1E4EE	"""𞓮"""	1E4D0..1E4FF	Nag Mundari	Nag mundari sign ikir		
1E4EF	"""𞓯"""	1E4D0..1E4FF	Nag Mundari	Nag mundari sign sutuh		
1E4F0	"""𞓰"""	1E4D0..1E4FF	Nag Mundari	Nag mundari digit zero		
1E4F1	"""𞓱"""	1E4D0..1E4FF	Nag Mundari	Nag mundari digit one		
1E4F2	"""𞓲"""	1E4D0..1E4FF	Nag Mundari	Nag mundari digit two		
1E4F3	"""𞓳"""	1E4D0..1E4FF	Nag Mundari	Nag mundari digit three		
1E4F4	"""𞓴"""	1E4D0..1E4FF	Nag Mundari	Nag mundari digit four		
1E4F5	"""𞓵"""	1E4D0..1E4FF	Nag Mundari	Nag mundari digit five		
1E4F6	"""𞓶"""	1E4D0..1E4FF	Nag Mundari	Nag mundari digit six		
1E4F7	"""𞓷"""	1E4D0..1E4FF	Nag Mundari	Nag mundari digit seven		
1E4F8	"""𞓸"""	1E4D0..1E4FF	Nag Mundari	Nag mundari digit eight		
1E4F9	"""𞓹"""	1E4D0..1E4FF	Nag Mundari	Nag mundari digit nine		
