code_point	symbol	block	block_name	name	tab_completion	latex_code
1ED01	"""𞴁"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number one		
1ED02	"""𞴂"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number two		
1ED03	"""𞴃"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number three		
1ED04	"""𞴄"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number four		
1ED05	"""𞴅"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number five		
1ED06	"""𞴆"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number six		
1ED07	"""𞴇"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number seven		
1ED08	"""𞴈"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number eight		
1ED09	"""𞴉"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number nine		
1ED0A	"""𞴊"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number ten		
1ED0B	"""𞴋"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number twenty		
1ED0C	"""𞴌"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number thirty		
1ED0D	"""𞴍"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number forty		
1ED0E	"""𞴎"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number fifty		
1ED0F	"""𞴏"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number sixty		
1ED10	"""𞴐"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number seventy		
1ED11	"""𞴑"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number eighty		
1ED12	"""𞴒"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number ninety		
1ED13	"""𞴓"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number one hundred		
1ED14	"""𞴔"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number two hundred		
1ED15	"""𞴕"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number three hundred		
1ED16	"""𞴖"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number four hundred		
1ED17	"""𞴗"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number five hundred		
1ED18	"""𞴘"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number six hundred		
1ED19	"""𞴙"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number seven hundred		
1ED1A	"""𞴚"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number eight hundred		
1ED1B	"""𞴛"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number nine hundred		
1ED1C	"""𞴜"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number one thousand		
1ED1D	"""𞴝"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number two thousand		
1ED1E	"""𞴞"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number three thousand		
1ED1F	"""𞴟"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number four thousand		
1ED20	"""𞴠"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number five thousand		
1ED21	"""𞴡"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number six thousand		
1ED22	"""𞴢"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number seven thousand		
1ED23	"""𞴣"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number eight thousand		
1ED24	"""𞴤"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number nine thousand		
1ED25	"""𞴥"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number ten thousand		
1ED26	"""𞴦"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number twenty thousand		
1ED27	"""𞴧"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number thirty thousand		
1ED28	"""𞴨"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number forty thousand		
1ED29	"""𞴩"""	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number fifty thousand		
