code_point	symbol	block	block_name	name	tab_completion	latex_code
1F030	"""🀰"""	1F030..1F09F	Domino Tiles	Domino tile horizontal back		
1F031	"""🀱"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-00-00		
1F032	"""🀲"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-00-01		
1F033	"""🀳"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-00-02		
1F034	"""🀴"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-00-03		
1F035	"""🀵"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-00-04		
1F036	"""🀶"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-00-05		
1F037	"""🀷"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-00-06		
1F038	"""🀸"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-01-00		
1F039	"""🀹"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-01-01		
1F03A	"""🀺"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-01-02		
1F03B	"""🀻"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-01-03		
1F03C	"""🀼"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-01-04		
1F03D	"""🀽"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-01-05		
1F03E	"""🀾"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-01-06		
1F03F	"""🀿"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-02-00		
1F040	"""🁀"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-02-01		
1F041	"""🁁"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-02-02		
1F042	"""🁂"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-02-03		
1F043	"""🁃"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-02-04		
1F044	"""🁄"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-02-05		
1F045	"""🁅"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-02-06		
1F046	"""🁆"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-03-00		
1F047	"""🁇"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-03-01		
1F048	"""🁈"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-03-02		
1F049	"""🁉"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-03-03		
1F04A	"""🁊"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-03-04		
1F04B	"""🁋"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-03-05		
1F04C	"""🁌"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-03-06		
1F04D	"""🁍"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-04-00		
1F04E	"""🁎"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-04-01		
1F04F	"""🁏"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-04-02		
1F050	"""🁐"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-04-03		
1F051	"""🁑"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-04-04		
1F052	"""🁒"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-04-05		
1F053	"""🁓"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-04-06		
1F054	"""🁔"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-05-00		
1F055	"""🁕"""	1F030..1F09F	Domino Tiles	Domino tile horizontal-05-01		
