code_point	symbol	block	block_name	name	tab_completion	latex_code
1F300	"""🌀"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Cyclone		
1F301	"""🌁"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Foggy		
1F302	"""🌂"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Closed umbrella		
1F303	"""🌃"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Night with stars		
1F304	"""🌄"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Sunrise over mountains		
1F305	"""🌅"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Sunrise		
1F306	"""🌆"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Cityscape at dusk		
1F307	"""🌇"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Sunset over buildings		
1F308	"""🌈"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Rainbow		
1F309	"""🌉"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Bridge at night		
1F30A	"""🌊"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Water wave		
1F30B	"""🌋"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Volcano		
1F30C	"""🌌"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Milky way		
1F30D	"""🌍"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Earth globe europe-africa		
1F30E	"""🌎"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Earth globe americas		
1F30F	"""🌏"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Earth globe asia-australia		
1F310	"""🌐"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Globe with meridians		
1F311	"""🌑"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	New moon symbol		
1F312	"""🌒"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Waxing crescent moon symbol		
1F313	"""🌓"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	First quarter moon symbol		
1F314	"""🌔"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Waxing gibbous moon symbol		
1F315	"""🌕"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Full moon symbol		
1F316	"""🌖"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Waning gibbous moon symbol		
1F317	"""🌗"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Last quarter moon symbol		
1F318	"""🌘"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Waning crescent moon symbol		
1F319	"""🌙"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Crescent moon		
1F31A	"""🌚"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	New moon with face		
1F31B	"""🌛"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	First quarter moon with face		
1F31C	"""🌜"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Last quarter moon with face		
1F31D	"""🌝"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Full moon with face		
1F31E	"""🌞"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Sun with face		
1F31F	"""🌟"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Glowing star		
1F320	"""🌠"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Shooting star		
1F321	"""🌡"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Thermometer		
1F322	"""🌢"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Black droplet		
1F323	"""🌣"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	White sun		
1F324	"""🌤"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	White sun with small cloud		
1F325	"""🌥"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	White sun behind cloud		
1F326	"""🌦"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	White sun behind cloud with rain		
1F327	"""🌧"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Cloud with rain		
1F328	"""🌨"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Cloud with snow		
1F329	"""🌩"""	1F300..1F5FF	Miscellaneous Symbols and Pictographs	Cloud with lightning		
