code_point	symbol	block	block_name	name	tab_completion	latex_code
1F650	"""🙐"""	1F650..1F67F	Ornamental Dingbats	North west pointing leaf		
1F651	"""🙑"""	1F650..1F67F	Ornamental Dingbats	South west pointing leaf		
1F652	"""🙒"""	1F650..1F67F	Ornamental Dingbats	North east pointing leaf		
1F653	"""🙓"""	1F650..1F67F	Ornamental Dingbats	South east pointing leaf		
1F654	"""🙔"""	1F650..1F67F	Ornamental Dingbats	Turned north west pointing leaf		
1F655	"""🙕"""	1F650..1F67F	Ornamental Dingbats	Turned south west pointing leaf		
1F656	"""🙖"""	1F650..1F67F	Ornamental Dingbats	Turned north east pointing leaf		
1F657	"""🙗"""	1F650..1F67F	Ornamental Dingbats	Turned south east pointing leaf		
1F658	"""🙘"""	1F650..1F67F	Ornamental Dingbats	North west pointing vine leaf		
1F659	"""🙙"""	1F650..1F67F	Ornamental Dingbats	South west pointing vine leaf		
1F65A	"""🙚"""	1F650..1F67F	Ornamental Dingbats	North east pointing vine leaf		
1F65B	"""🙛"""	1F650..1F67F	Ornamental Dingbats	South east pointing vine leaf		
1F65C	"""🙜"""	1F650..1F67F	Ornamental Dingbats	Heavy north west pointing vine leaf		
1F65D	"""🙝"""	1F650..1F67F	Ornamental Dingbats	Heavy south west pointing vine leaf		
1F65E	"""🙞"""	1F650..1F67F	Ornamental Dingbats	Heavy north east pointing vine leaf		
1F65F	"""🙟"""	1F650..1F67F	Ornamental Dingbats	Heavy south east pointing vine leaf		
1F660	"""🙠"""	1F650..1F67F	Ornamental Dingbats	North west pointing bud		
1F661	"""🙡"""	1F650..1F67F	Ornamental Dingbats	South west pointing bud		
1F662	"""🙢"""	1F650..1F67F	Ornamental Dingbats	North east pointing bud		
1F663	"""🙣"""	1F650..1F67F	Ornamental Dingbats	South east pointing bud		
1F664	"""🙤"""	1F650..1F67F	Ornamental Dingbats	Heavy north west pointing bud		
1F665	"""🙥"""	1F650..1F67F	Ornamental Dingbats	Heavy south west pointing bud		
1F666	"""🙦"""	1F650..1F67F	Ornamental Dingbats	Heavy north east pointing bud		
1F667	"""🙧"""	1F650..1F67F	Ornamental Dingbats	Heavy south east pointing bud		
1F668	"""🙨"""	1F650..1F67F	Ornamental Dingbats	Hollow quilt square ornament		
1F669	"""🙩"""	1F650..1F67F	Ornamental Dingbats	Hollow quilt square ornament in black square		
1F66A	"""🙪"""	1F650..1F67F	Ornamental Dingbats	Solid quilt square ornament		
1F66B	"""🙫"""	1F650..1F67F	Ornamental Dingbats	Solid quilt square ornament in black square		
1F66C	"""🙬"""	1F650..1F67F	Ornamental Dingbats	Leftwards rocket		
1F66D	"""🙭"""	1F650..1F67F	Ornamental Dingbats	Upwards rocket		
1F66E	"""🙮"""	1F650..1F67F	Ornamental Dingbats	Rightwards rocket		
1F66F	"""🙯"""	1F650..1F67F	Ornamental Dingbats	Downwards rocket		
1F670	"""🙰"""	1F650..1F67F	Ornamental Dingbats	Script ligature et ornament		
1F671	"""🙱"""	1F650..1F67F	Ornamental Dingbats	Heavy script ligature et ornament		
1F672	"""🙲"""	1F650..1F67F	Ornamental Dingbats	Ligature open et ornament		
1F673	"""🙳"""	1F650..1F67F	Ornamental Dingbats	Heavy ligature open et ornament		
1F674	"""🙴"""	1F650..1F67F	Ornamental Dingbats	Heavy ampersand ornament		
1F675	"""🙵"""	1F650..1F67F	Ornamental Dingbats	Swash ampersand ornament		
1F676	"""🙶"""	1F650..1F67F	Ornamental Dingbats	Sans-serif heavy double turned comma quotation mark ornament		
1F677	"""🙷"""	1F650..1F67F	Ornamental Dingbats	Sans-serif heavy double comma quotation mark ornament		
1F678	"""🙸"""	1F650..1F67F	Ornamental Dingbats	Sans-serif heavy low double comma quotation mark ornament		
1F679	"""🙹"""	1F650..1F67F	Ornamental Dingbats	Heavy interrobang ornament		
1F67A	"""🙺"""	1F650..1F67F	Ornamental Dingbats	Sans-serif interrobang ornament		
1F67B	"""🙻"""	1F650..1F67F	Ornamental Dingbats	Heavy sans-serif interrobang ornament		
1F67C	"""🙼"""	1F650..1F67F	Ornamental Dingbats	Very heavy solidus		
1F67D	"""🙽"""	1F650..1F67F	Ornamental Dingbats	Very heavy reverse solidus		
1F67E	"""🙾"""	1F650..1F67F	Ornamental Dingbats	Checker board		
1F67F	"""🙿"""	1F650..1F67F	Ornamental Dingbats	Reverse checker board		
