code_point	symbol	block	block_name	name	tab_completion	latex_code
1F680	"""🚀"""	1F680..1F6FF	Transport and Map Symbols	Rocket		
1F681	"""🚁"""	1F680..1F6FF	Transport and Map Symbols	Helicopter		
1F682	"""🚂"""	1F680..1F6FF	Transport and Map Symbols	Steam locomotive		
1F683	"""🚃"""	1F680..1F6FF	Transport and Map Symbols	Railway car		
1F684	"""🚄"""	1F680..1F6FF	Transport and Map Symbols	High-speed train		
1F685	"""🚅"""	1F680..1F6FF	Transport and Map Symbols	High-speed train with bullet nose		
1F686	"""🚆"""	1F680..1F6FF	Transport and Map Symbols	Train		
1F687	"""🚇"""	1F680..1F6FF	Transport and Map Symbols	Metro		
1F688	"""🚈"""	1F680..1F6FF	Transport and Map Symbols	Light rail		
1F689	"""🚉"""	1F680..1F6FF	Transport and Map Symbols	Station		
1F68A	"""🚊"""	1F680..1F6FF	Transport and Map Symbols	Tram		
1F68B	"""🚋"""	1F680..1F6FF	Transport and Map Symbols	Tram car		
1F68C	"""🚌"""	1F680..1F6FF	Transport and Map Symbols	Bus		
1F68D	"""🚍"""	1F680..1F6FF	Transport and Map Symbols	Oncoming bus		
1F68E	"""🚎"""	1F680..1F6FF	Transport and Map Symbols	Trolleybus		
1F68F	"""🚏"""	1F680..1F6FF	Transport and Map Symbols	Bus stop		
1F690	"""🚐"""	1F680..1F6FF	Transport and Map Symbols	Minibus		
1F691	"""🚑"""	1F680..1F6FF	Transport and Map Symbols	Ambulance		
1F692	"""🚒"""	1F680..1F6FF	Transport and Map Symbols	Fire engine		
1F693	"""🚓"""	1F680..1F6FF	Transport and Map Symbols	Police car		
1F694	"""🚔"""	1F680..1F6FF	Transport and Map Symbols	Oncoming police car		
1F695	"""🚕"""	1F680..1F6FF	Transport and Map Symbols	Taxi		
1F696	"""🚖"""	1F680..1F6FF	Transport and Map Symbols	Oncoming taxi		
1F697	"""🚗"""	1F680..1F6FF	Transport and Map Symbols	Automobile		
1F698	"""🚘"""	1F680..1F6FF	Transport and Map Symbols	Oncoming automobile		
1F699	"""🚙"""	1F680..1F6FF	Transport and Map Symbols	Recreational vehicle		
1F69A	"""🚚"""	1F680..1F6FF	Transport and Map Symbols	Delivery truck		
1F69B	"""🚛"""	1F680..1F6FF	Transport and Map Symbols	Articulated lorry		
