code_point	symbol	block	block_name	name	tab_completion	latex_code
1F780	"""🞀"""	1F780..1F7FF	Geometric Shapes Extended	Black left-pointing isosceles right triangle		
1F781	"""🞁"""	1F780..1F7FF	Geometric Shapes Extended	Black up-pointing isosceles right triangle		
1F782	"""🞂"""	1F780..1F7FF	Geometric Shapes Extended	Black right-pointing isosceles right triangle		
1F783	"""🞃"""	1F780..1F7FF	Geometric Shapes Extended	Black down-pointing isosceles right triangle		
1F784	"""🞄"""	1F780..1F7FF	Geometric Shapes Extended	Black slightly small circle		
1F785	"""🞅"""	1F780..1F7FF	Geometric Shapes Extended	Medium bold white circle		
1F786	"""🞆"""	1F780..1F7FF	Geometric Shapes Extended	Bold white circle		
1F787	"""🞇"""	1F780..1F7FF	Geometric Shapes Extended	Heavy white circle		
1F788	"""🞈"""	1F780..1F7FF	Geometric Shapes Extended	Very heavy white circle		
1F789	"""🞉"""	1F780..1F7FF	Geometric Shapes Extended	Extremely heavy white circle		
1F78A	"""🞊"""	1F780..1F7FF	Geometric Shapes Extended	White circle containing black small circle		
1F78B	"""🞋"""	1F780..1F7FF	Geometric Shapes Extended	Round target		
1F78C	"""🞌"""	1F780..1F7FF	Geometric Shapes Extended	Black tiny square		
1F78D	"""🞍"""	1F780..1F7FF	Geometric Shapes Extended	Black slightly small square		
1F78E	"""🞎"""	1F780..1F7FF	Geometric Shapes Extended	Light white square		
1F78F	"""🞏"""	1F780..1F7FF	Geometric Shapes Extended	Medium white square		
1F790	"""🞐"""	1F780..1F7FF	Geometric Shapes Extended	Bold white square		
1F791	"""🞑"""	1F780..1F7FF	Geometric Shapes Extended	Heavy white square		
1F792	"""🞒"""	1F780..1F7FF	Geometric Shapes Extended	Very heavy white square		
1F793	"""🞓"""	1F780..1F7FF	Geometric Shapes Extended	Extremely heavy white square		
1F794	"""🞔"""	1F780..1F7FF	Geometric Shapes Extended	White square containing black very small square		
1F795	"""🞕"""	1F780..1F7FF	Geometric Shapes Extended	White square containing black medium square		
1F796	"""🞖"""	1F780..1F7FF	Geometric Shapes Extended	Square target		
1F797	"""🞗"""	1F780..1F7FF	Geometric Shapes Extended	Black tiny diamond		
1F798	"""🞘"""	1F780..1F7FF	Geometric Shapes Extended	Black very small diamond		
1F799	"""🞙"""	1F780..1F7FF	Geometric Shapes Extended	Black medium small diamond		
1F79A	"""🞚"""	1F780..1F7FF	Geometric Shapes Extended	White diamond containing black very small diamond		
1F79B	"""🞛"""	1F780..1F7FF	Geometric Shapes Extended	White diamond containing black medium diamond		
1F79C	"""🞜"""	1F780..1F7FF	Geometric Shapes Extended	Diamond target		
1F79D	"""🞝"""	1F780..1F7FF	Geometric Shapes Extended	Black tiny lozenge		
1F79E	"""🞞"""	1F780..1F7FF	Geometric Shapes Extended	Black very small lozenge		
1F79F	"""🞟"""	1F780..1F7FF	Geometric Shapes Extended	Black medium small lozenge		
1F7A0	"""🞠"""	1F780..1F7FF	Geometric Shapes Extended	White lozenge containing black small lozenge		
1F7A1	"""🞡"""	1F780..1F7FF	Geometric Shapes Extended	Thin greek cross		
1F7A2	"""🞢"""	1F780..1F7FF	Geometric Shapes Extended	Light greek cross		
1F7A3	"""🞣"""	1F780..1F7FF	Geometric Shapes Extended	Medium greek cross		
1F7A4	"""🞤"""	1F780..1F7FF	Geometric Shapes Extended	Bold greek cross		
1F7A5	"""🞥"""	1F780..1F7FF	Geometric Shapes Extended	Very bold greek cross		
1F7A6	"""🞦"""	1F780..1F7FF	Geometric Shapes Extended	Very heavy greek cross		
1F7A7	"""🞧"""	1F780..1F7FF	Geometric Shapes Extended	Extremely heavy greek cross		
1F7A8	"""🞨"""	1F780..1F7FF	Geometric Shapes Extended	Thin saltire		
1F7A9	"""🞩"""	1F780..1F7FF	Geometric Shapes Extended	Light saltire		
1F7AA	"""🞪"""	1F780..1F7FF	Geometric Shapes Extended	Medium saltire		
1F7AB	"""🞫"""	1F780..1F7FF	Geometric Shapes Extended	Bold saltire		
1F7AC	"""🞬"""	1F780..1F7FF	Geometric Shapes Extended	Heavy saltire		
1F7AD	"""🞭"""	1F780..1F7FF	Geometric Shapes Extended	Very heavy saltire		
1F7AE	"""🞮"""	1F780..1F7FF	Geometric Shapes Extended	Extremely heavy saltire		
1F7AF	"""🞯"""	1F780..1F7FF	Geometric Shapes Extended	Light five spoked asterisk		
1F7B0	"""🞰"""	1F780..1F7FF	Geometric Shapes Extended	Medium five spoked asterisk		
1F7B1	"""🞱"""	1F780..1F7FF	Geometric Shapes Extended	Bold five spoked asterisk		
1F7B2	"""🞲"""	1F780..1F7FF	Geometric Shapes Extended	Heavy five spoked asterisk		
1F7B3	"""🞳"""	1F780..1F7FF	Geometric Shapes Extended	Very heavy five spoked asterisk		
1F7B4	"""🞴"""	1F780..1F7FF	Geometric Shapes Extended	Extremely heavy five spoked asterisk		
1F7B5	"""🞵"""	1F780..1F7FF	Geometric Shapes Extended	Light six spoked asterisk		
1F7B6	"""🞶"""	1F780..1F7FF	Geometric Shapes Extended	Medium six spoked asterisk		
1F7B7	"""🞷"""	1F780..1F7FF	Geometric Shapes Extended	Bold six spoked asterisk		
1F7B8	"""🞸"""	1F780..1F7FF	Geometric Shapes Extended	Heavy six spoked asterisk		
1F7B9	"""🞹"""	1F780..1F7FF	Geometric Shapes Extended	Very heavy six spoked asterisk		
1F7BA	"""🞺"""	1F780..1F7FF	Geometric Shapes Extended	Extremely heavy six spoked asterisk		
