code_point	symbol	block	block_name	name	tab_completion	latex_code
1FA70	"""🩰"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Ballet shoes		
1FA71	"""🩱"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	One-piece swimsuit		
1FA72	"""🩲"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Briefs		
1FA73	"""🩳"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Shorts		
1FA74	"""🩴"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Thong sandal		
1FA75	"""🩵"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Light blue heart		
1FA76	"""🩶"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Grey heart		
1FA77	"""🩷"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Pink heart		
1FA78	"""🩸"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Drop of blood		
1FA79	"""🩹"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Adhesive bandage		
1FA7A	"""🩺"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Stethoscope		
1FA7B	"""🩻"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	X-ray		
1FA7C	"""🩼"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Crutch		
1FA80	"""🪀"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Yo-yo		
1FA81	"""🪁"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Kite		
1FA82	"""🪂"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Parachute		
1FA83	"""🪃"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Boomerang		
1FA84	"""🪄"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Magic wand		
1FA85	"""🪅"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Pinata		
1FA86	"""🪆"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Nesting dolls		
1FA87	"""🪇"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Maracas		
1FA88	"""🪈"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Flute		
1FA90	"""🪐"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Ringed planet		
1FA91	"""🪑"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Chair		
1FA92	"""🪒"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Razor		
1FA93	"""🪓"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Axe		
1FA94	"""🪔"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Diya lamp		
1FA95	"""🪕"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Banjo		
1FA96	"""🪖"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Military helmet		
1FA97	"""🪗"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Accordion		
1FA98	"""🪘"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Long drum		
1FA99	"""🪙"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Coin		
1FA9A	"""🪚"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Carpentry saw		
1FA9B	"""🪛"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Screwdriver		
1FA9C	"""🪜"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Ladder		
1FA9D	"""🪝"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Hook		
1FA9E	"""🪞"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Mirror		
1FA9F	"""🪟"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Window		
1FAA0	"""🪠"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Plunger		
1FAA1	"""🪡"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Sewing needle		
1FAA2	"""🪢"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Knot		
1FAA3	"""🪣"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Bucket		
1FAA4	"""🪤"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Mouse trap		
1FAA5	"""🪥"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Toothbrush		
1FAA6	"""🪦"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Headstone		
1FAA7	"""🪧"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Placard		
1FAA8	"""🪨"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Rock		
1FAA9	"""🪩"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Mirror ball		
1FAAA	"""🪪"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Identification card		
1FAAB	"""🪫"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Low battery		
1FAAC	"""🪬"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Hamsa		
1FAAD	"""🪭"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Folding hand fan		
1FAAE	"""🪮"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Hair pick		
1FAAF	"""🪯"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Khanda		
1FAB0	"""🪰"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Fly		
1FAB1	"""🪱"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Worm		
1FAB2	"""🪲"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Beetle		
1FAB3	"""🪳"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Cockroach		
1FAB4	"""🪴"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Potted plant		
1FAB5	"""🪵"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Wood		
1FAB6	"""🪶"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Feather		
1FAB7	"""🪷"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Lotus		
1FAB8	"""🪸"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Coral		
1FAB9	"""🪹"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Empty nest		
1FABA	"""🪺"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Nest with eggs		
1FABB	"""🪻"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Hyacinth		
1FABC	"""🪼"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Jellyfish		
1FABD	"""🪽"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Wing		
1FABF	"""🪿"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Goose		
1FAC0	"""🫀"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Anatomical heart		
1FAC1	"""🫁"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Lungs		
1FAC2	"""🫂"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	People hugging		
1FAC3	"""🫃"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Pregnant man		
1FAC4	"""🫄"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Pregnant person		
1FAC5	"""🫅"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Person with crown		
1FACE	"""🫎"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Moose		
1FACF	"""🫏"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Donkey		
1FAD0	"""🫐"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Blueberries		
1FAD1	"""🫑"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Bell pepper		
1FAD2	"""🫒"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Olive		
1FAD3	"""🫓"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Flatbread		
1FAD4	"""🫔"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Tamale		
1FAD5	"""🫕"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Fondue		
1FAD6	"""🫖"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Teapot		
1FAD7	"""🫗"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Pouring liquid		
1FAD8	"""🫘"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Beans		
1FAD9	"""🫙"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Jar		
1FADA	"""🫚"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Ginger root		
1FADB	"""🫛"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Pea pod		
1FAE0	"""🫠"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Melting face		
1FAE1	"""🫡"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Saluting face		
1FAE2	"""🫢"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Face with open eyes and hand over mouth		
1FAE3	"""🫣"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Face with peeking eye		
1FAE4	"""🫤"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Face with diagonal mouth		
1FAE5	"""🫥"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Dotted line face		
1FAE6	"""🫦"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Biting lip		
1FAE7	"""🫧"""	1FA70..1FAFF	Symbols and Pictographs Extended-A	Bubbles		
