Code point(s)	Character(s)	Tab completion sequence(s)	Unicode name(s)	base
U+FE00	︀	\vs1	Variation selector-1		
U+FE01	︁	\vs2	Variation selector-2		
U+FE02	︂	\vs3	Variation selector-3		
U+FE03	︃	\vs4	Variation selector-4		
U+FE04	︄	\vs5	Variation selector-5		
U+FE05	︅	\vs6	Variation selector-6		
U+FE06	︆	\vs7	Variation selector-7		
U+FE07	︇	\vs8	Variation selector-8		
U+FE08	︈	\vs9	Variation selector-9		
U+FE09	︉	\vs10	Variation selector-10		
U+FE0A	︊	\vs11	Variation selector-11		
U+FE0B	︋	\vs12	Variation selector-12		
U+FE0C	︌	\vs13	Variation selector-13		
U+FE0D	︍	\vs14	Variation selector-14		
U+FE0E	︎	\vs15	Variation selector-15		
U+FE0F	️	\vs16	Variation selector-16		
