Code point(s)	Character(s)	Tab completion sequence(s)	Unicode name(s)	base
U+03B5	ε	\eps	Greek Small Letter Epsilon	e
U+030A	̊	\ring	Combining Ring Above	°
U+039C	Μ	\Mu	Greek Capital Letter Mu	M
U+039D	Ν	\Nu	Greek Capital Letter Nu	N
U+039F	Ο	\Omicron	Greek Capital Letter Omicron	O
U+03BF	ο	\omicron	Greek Small Letter Omicron	o
U+1AB2	᪲	\^oo, \^infty	Combining Infinity	
U+21AF	↯	\downzigarrow, \contradiction	Downwards Zigzag Arrow
U+2206	∆	\increment, \inc	Increment	
U+2219	∙	\bullet	Bullet Operator	
U+2254	≔	\:=, \coloneq, \coloneqq	Colon Equals	=
U+2255	≕	\=:, \eqcolon, \eqqcolon	Equals Colon	=
U+2257	≗	\o=, \circeq	Ring Equal To	=
U+2259	≙	\hateq, \wedgeq	Estimates	=
U+225A	≚	\v=, \veeeq	Equiangular To	=
U+225B	≛	\*=, \stareq	Star Equals	=
U+225C	≜	\del=, \deleq, \triangleq, \triangleeq	Delta Equal To	=
U+225D	≝	\def=, \defeq, \eqdef	Equal to By Definition	=
U+225E	≞	\m=, \measeq	Measured By	=
U+225F	≟	\?=, \questeq	Questioned Equal To	=
U+2368	⍨	\:~	APL FUNCTIONAL SYMBOL TILDE DIAERESIS	~
U+2551	║	\bignorm, \big|	Box Drawings Double Vertical	|
U+27E6	⟦	\bb[, \[[	Mathematical Left White Square Bracket	[[
U+27E7	⟧	\bb], \]]	Mathematical Right White Square Bracket	]]
U+27E8	⟨	\langle, \<	Mathematical Left Angle Bracket	<
U+27E9	⟩	\rangle, \>	Mathematical Right Angle Bracket	>
U+27EA	⟪	\bb<, \<<, \bblangle	Mathematical Left Double Angle Bracket	<<
U+27EB	⟫	\bb>, \>>, \bbrangle	Mathematical Right Double Angle Bracket	>>
U+29FA	⧺	\++	Double Plus	++
U+29FB	⧻	\+++	Triple Plus	+++
U+2AEB	⫫	\indep, \independence, \independent	Independence	
U+2E28	⸨	\bb), \((, \bblparen	Left Double Parenthesis	((
U+2E29	⸩	\bb(, \)), \bbrparen	Right Double Parenthesis	))
U+1D78	ᵸ	\hermitian, \htp	Modifier Letter Cyrillic En	H
U+1E040	𞁀	\transpose, \tp	Modifier Letter Cyrillic Small Te	T
