Code point(s)	Character(s)	Tab completion sequence(s)	Unicode name(s)	base
U+0262	ɢ	\scG	Latin Letter Small Capital G	G
U+026A	ɪ	\scI	Latin Letter Small Capital I	I
U+0274	ɴ	\scN	Latin Letter Small Capital N	N
U+0276	ɶ	\scOE	Latin Letter Small Capital Oe	Œ
U+0280	ʀ	\scR	Latin Letter Small Capital R	R
U+028F	ʏ	\scY	Latin Letter Small Capital Y	Y
U+0299	ʙ	\scB	Latin Letter Small Capital B	B
U+029C	ʜ	\scH	Latin Letter Small Capital H	H
U+029F	ʟ	\scL	Latin Letter Small Capital L	L
U+1D00	ᴀ	\scA	Latin Letter Small Capital A	A
U+1D01	ᴁ	\scAE	Latin Letter Small Capital Ae	Æ
U+1D04	ᴄ	\scC	Latin Letter Small Capital C	C
U+1D05	ᴅ	\scD	Latin Letter Small Capital D	D
U+1D06	ᴆ	\scDH	Latin Letter Small Capital Eth	Ð
U+1D07	ᴇ	\scE	Latin Letter Small Capital E	E
U+1D0A	ᴊ	\scJ	Latin Letter Small Capital J	J
U+1D0B	ᴋ	\scK	Latin Letter Small Capital K	K
U+1D0C	ᴌ	\sc\L	Latin Letter Small Capital L with Stroke	Ł
U+1D0D	ᴍ	\scM	Latin Letter Small Capital M	M
U+1D0F	ᴏ	\scO	Latin Letter Small Capital O	O
U+1D18	ᴘ	\scP	Latin Letter Small Capital P	P
U+1D1B	ᴛ	\scT	Latin Letter Small Capital T	T
U+1D1C	ᴜ	\scU	Latin Letter Small Capital U	U
U+1D20	ᴠ	\scV	Latin Letter Small Capital V	V
U+1D21	ᴡ	\scW	Latin Letter Small Capital W	W
U+1D22	ᴢ	\scZ	Latin Letter Small Capital Z	Z
U+A730	ꜰ	\scF	Latin Letter Small Capital F	F
U+A731	ꜱ	\scS	Latin Letter Small Capital S	S
U+A7AF	ꞯ	\scQ	Latin Letter Small Capital Q	Q
