code_point	symbol	block	block_name	name	tab_completion	latex_code
U+0180	ƀ	0180..024F	Latin Extended-B	Latin small letter b with stroke		
U+0181	Ɓ	0180..024F	Latin Extended-B	Latin capital letter b with hook		
U+0182	Ƃ	0180..024F	Latin Extended-B	Latin capital letter b with topbar		
U+0183	ƃ	0180..024F	Latin Extended-B	Latin small letter b with topbar		
U+0184	Ƅ	0180..024F	Latin Extended-B	Latin capital letter tone six		
U+0185	ƅ	0180..024F	Latin Extended-B	Latin small letter tone six		
U+0186	Ɔ	0180..024F	Latin Extended-B	Latin capital letter open o		
U+0187	Ƈ	0180..024F	Latin Extended-B	Latin capital letter c with hook		
U+0188	ƈ	0180..024F	Latin Extended-B	Latin small letter c with hook		
U+0189	Ɖ	0180..024F	Latin Extended-B	Latin capital letter african d		
U+018A	Ɗ	0180..024F	Latin Extended-B	Latin capital letter d with hook		
U+018B	Ƌ	0180..024F	Latin Extended-B	Latin capital letter d with topbar		
U+018C	ƌ	0180..024F	Latin Extended-B	Latin small letter d with topbar		
U+018D	ƍ	0180..024F	Latin Extended-B	Latin small letter turned delta		
U+018E	Ǝ	0180..024F	Latin Extended-B	Latin capital letter reversed e		
U+018F	Ə	0180..024F	Latin Extended-B	Latin capital letter schwa		
U+0190	Ɛ	0180..024F	Latin Extended-B	Latin capital letter open e		
U+0191	Ƒ	0180..024F	Latin Extended-B	Latin capital letter f with hook		
U+0192	ƒ	0180..024F	Latin Extended-B	Latin small letter f with hook		
U+0193	Ɠ	0180..024F	Latin Extended-B	Latin capital letter g with hook		
U+0194	Ɣ	0180..024F	Latin Extended-B	Latin capital letter gamma		
U+0195	ƕ	0180..024F	Latin Extended-B	Latin small letter hv		
U+0196	Ɩ	0180..024F	Latin Extended-B	Latin capital letter iota		
U+0197	Ɨ	0180..024F	Latin Extended-B	Latin capital letter i with stroke		
U+0198	Ƙ	0180..024F	Latin Extended-B	Latin capital letter k with hook		
U+0199	ƙ	0180..024F	Latin Extended-B	Latin small letter k with hook		
U+019A	ƚ	0180..024F	Latin Extended-B	Latin small letter l with bar		
U+019B	ƛ	0180..024F	Latin Extended-B	Latin small letter lambda with stroke		
