code_point	symbol	block	block_name	name	tab_completion	latex_code
U+0250	ɐ	0250..02AF	IPA Extensions	Latin small letter turned a		
U+0251	ɑ	0250..02AF	IPA Extensions	Latin small letter alpha		
U+0252	ɒ	0250..02AF	IPA Extensions	Latin small letter turned alpha		
U+0253	ɓ	0250..02AF	IPA Extensions	Latin small letter b with hook		
U+0254	ɔ	0250..02AF	IPA Extensions	Latin small letter open o		
U+0255	ɕ	0250..02AF	IPA Extensions	Latin small letter c with curl		
U+0256	ɖ	0250..02AF	IPA Extensions	Latin small letter d with tail		
U+0257	ɗ	0250..02AF	IPA Extensions	Latin small letter d with hook		
U+0258	ɘ	0250..02AF	IPA Extensions	Latin small letter reversed e		
U+0259	ə	0250..02AF	IPA Extensions	Latin small letter schwa		
U+025A	ɚ	0250..02AF	IPA Extensions	Latin small letter schwa with hook		
U+025B	ɛ	0250..02AF	IPA Extensions	Latin small letter open e		
U+025C	ɜ	0250..02AF	IPA Extensions	Latin small letter reversed open e		
U+025D	ɝ	0250..02AF	IPA Extensions	Latin small letter reversed open e with hook		
U+025E	ɞ	0250..02AF	IPA Extensions	Latin small letter closed reversed open e		
U+025F	ɟ	0250..02AF	IPA Extensions	Latin small letter dotless j with stroke		
U+0260	ɠ	0250..02AF	IPA Extensions	Latin small letter g with hook		
U+0261	ɡ	0250..02AF	IPA Extensions	Latin small letter script g		
U+0262	ɢ	0250..02AF	IPA Extensions	Latin letter small capital g		
U+0263	ɣ	0250..02AF	IPA Extensions	Latin small letter gamma		
U+0264	ɤ	0250..02AF	IPA Extensions	Latin small letter rams horn		
U+0265	ɥ	0250..02AF	IPA Extensions	Latin small letter turned h		
U+0266	ɦ	0250..02AF	IPA Extensions	Latin small letter h with hook		
U+0267	ɧ	0250..02AF	IPA Extensions	Latin small letter heng with hook		
U+0268	ɨ	0250..02AF	IPA Extensions	Latin small letter i with stroke		
U+0269	ɩ	0250..02AF	IPA Extensions	Latin small letter iota		
U+026A	ɪ	0250..02AF	IPA Extensions	Latin letter small capital i		
U+026B	ɫ	0250..02AF	IPA Extensions	Latin small letter l with middle tilde		
U+026C	ɬ	0250..02AF	IPA Extensions	Latin small letter l with belt		
U+026D	ɭ	0250..02AF	IPA Extensions	Latin small letter l with retroflex hook		
U+026E	ɮ	0250..02AF	IPA Extensions	Latin small letter lezh		
U+026F	ɯ	0250..02AF	IPA Extensions	Latin small letter turned m		
U+0270	ɰ	0250..02AF	IPA Extensions	Latin small letter turned m with long leg		
U+0271	ɱ	0250..02AF	IPA Extensions	Latin small letter m with hook		
U+0272	ɲ	0250..02AF	IPA Extensions	Latin small letter n with left hook		
U+0273	ɳ	0250..02AF	IPA Extensions	Latin small letter n with retroflex hook		
U+0274	ɴ	0250..02AF	IPA Extensions	Latin letter small capital n		
U+0275	ɵ	0250..02AF	IPA Extensions	Latin small letter barred o		
U+0276	ɶ	0250..02AF	IPA Extensions	Latin letter small capital oe		
U+0277	ɷ	0250..02AF	IPA Extensions	Latin small letter closed omega		
